Id,EmblemNameKey,EmblemType,ImageTexture,HasType,SmallImageTexture
1001,601000001001,Background,Icon_GuildEmblem_Frame_01,Base,Icon_GuildEmblem_Frame_01_small
1002,601000001001,Background,Icon_GuildEmblem_Frame_02,Base,Icon_GuildEmblem_Frame_02_small
1003,601000001001,Background,Icon_GuildEmblem_Frame_03,Base,Icon_GuildEmblem_Frame_03_small
1004,601000001001,Background,Icon_GuildEmblem_Frame_04,Base,Icon_GuildEmblem_Frame_04_small
1005,601000001001,Background,Icon_GuildEmblem_Frame_05,Base,Icon_GuildEmblem_Frame_05_small
1006,601000001001,Background,Icon_GuildEmblem_Frame_06,Base,Icon_GuildEmblem_Frame_06_small
1007,601000001001,Background,Icon_GuildEmblem_Frame_07,Base,Icon_GuildEmblem_Frame_07_small
1008,601000001001,Background,Icon_GuildEmblem_Frame_08,Base,Icon_GuildEmblem_Frame_08_small
2001,601000002001,Symbol,Icon_Guild_Emblem_Symbol_01,Base,Icon_Guild_Emblem_Symbol_01_small
2002,601000002001,Symbol,Icon_Guild_Emblem_Symbol_02,Base,Icon_Guild_Emblem_Symbol_02_small
2003,601000002001,Symbol,Icon_Guild_Emblem_Symbol_03,Base,Icon_Guild_Emblem_Symbol_03_small
2004,601000002001,Symbol,Icon_Guild_Emblem_Symbol_04,Base,Icon_Guild_Emblem_Symbol_04_small
2005,601000002001,Symbol,Icon_Guild_Emblem_Symbol_05,Base,Icon_Guild_Emblem_Symbol_05_small
2006,601000002001,Symbol,Icon_Guild_Emblem_Symbol_06,Base,Icon_Guild_Emblem_Symbol_06_small
2007,601000002001,Symbol,Icon_Guild_Emblem_Symbol_07,Base,Icon_Guild_Emblem_Symbol_07_small
2008,601000002001,Symbol,Icon_Guild_Emblem_Symbol_08,Base,Icon_Guild_Emblem_Symbol_08_small
2009,601000002001,Symbol,Icon_Guild_Emblem_Symbol_09,Base,Icon_Guild_Emblem_Symbol_09_small
2010,601000002001,Symbol,Icon_Guild_Emblem_Symbol_10,Base,Icon_Guild_Emblem_Symbol_10_small
2011,601000002001,Symbol,Icon_Guild_Emblem_Symbol_11,Base,Icon_Guild_Emblem_Symbol_11_small
2012,601000002001,Symbol,Icon_Guild_Emblem_Symbol_12,Base,Icon_Guild_Emblem_Symbol_12_small
2013,601000002001,Symbol,Icon_Guild_Emblem_Symbol_13,Base,Icon_Guild_Emblem_Symbol_13_small
2014,601000002001,Symbol,Icon_Guild_Emblem_Symbol_14,Base,Icon_Guild_Emblem_Symbol_14_small
2015,601000002001,Symbol,Icon_Guild_Emblem_Symbol_15,Base,Icon_Guild_Emblem_Symbol_15_small
2016,601000002001,Symbol,Icon_Guild_Emblem_Symbol_16,Base,Icon_Guild_Emblem_Symbol_16_small
2017,601000002001,Symbol,Icon_Guild_Emblem_Symbol_17,Base,Icon_Guild_Emblem_Symbol_17_small
2018,601000002001,Symbol,Icon_Guild_Emblem_Symbol_18,Base,Icon_Guild_Emblem_Symbol_18_small
2019,601000002001,Symbol,Icon_Guild_Emblem_Symbol_19,Base,Icon_Guild_Emblem_Symbol_19_small
2020,601000002001,Symbol,Icon_Guild_Emblem_Symbol_20,Base,Icon_Guild_Emblem_Symbol_20_small
2021,601000002001,Symbol,Icon_Guild_Emblem_Symbol_21,Base,Icon_Guild_Emblem_Symbol_21_small
2022,601000002001,Symbol,Icon_Guild_Emblem_Symbol_22,Base,Icon_Guild_Emblem_Symbol_22_small
2023,601000002001,Symbol,Icon_Guild_Emblem_Symbol_23,Base,Icon_Guild_Emblem_Symbol_23_small
2024,601000002001,Symbol,Icon_Guild_Emblem_Symbol_24,Base,Icon_Guild_Emblem_Symbol_24_small
2025,601000002001,Symbol,Icon_Guild_Emblem_Symbol_25,Base,Icon_Guild_Emblem_Symbol_25_small
