EventId,EventGroupId,DiceRewardType,BoardId,RewardItemType,RewardItemInfoId,RewardItemCount
1,1,Dice,1,None,,
2,1,Dice,2,Item,400001,200
3,1,Dice,3,Item,400002,30
4,1,Dice,4,Item,490005,10
5,1,Dice,5,Item,440001,7
6,1,Dice,6,Item,440011,7
7,1,Dice,7,Item,490005,10
8,1,Dice,8,Item,490049,20
9,1,Dice,9,Adena,,5000
10,1,Dice,10,Item,490066,20
11,1,Dice,11,Item,910302,1
12,1,Dice,12,Item,1001201,2
13,1,Dice,13,Item,910007,2
14,1,Dice,14,Item,1001202,2
15,1,Dice,15,Item,490066,20
16,1,Dice,16,Item,400001,200
17,1,Dice,17,Item,400002,30
18,1,Dice,18,Item,490005,10
19,1,Dice,19,Item,440001,7
20,1,Dice,20,Item,440011,7
21,1,Dice,21,Item,490005,10
22,1,Dice,22,Item,490049,20
23,1,Dice,23,Adena,,5000
24,1,Dice,24,Item,490066,20
25,1,Dice,25,Item,900012,1
26,1,Dice,26,Item,1001202,2
27,1,Dice,27,Item,911178,1
28,1,Dice,28,Item,1001201,2
101,100,CompleteReward,1,Item,910008,1
102,100,CompleteReward,2,Adena,,10000
103,100,CompleteReward,3,Item,900007,3
104,100,CompleteReward,4,Item,910006,1
105,100,CompleteReward,5,Item,400000,1
106,100,CompleteReward,6,Adena,,20000
107,100,CompleteReward,7,Item,910222,1
108,100,CompleteReward,8,Adena,,30000
109,100,CompleteReward,9,Item,490030,1
110,100,CompleteReward,10,FreeDiamond,,300
111,100,CompleteReward,11,Adena,,50000
112,100,CompleteReward,12,Item,910219,1
113,100,CompleteReward,13,Adena,,100000
114,100,CompleteReward,14,Item,900011,2
115,100,CompleteReward,15,Item,400000,1
201,2,Dice,1,None,,
202,2,Dice,2,Item,400001,200
203,2,Dice,3,Item,400002,30
204,2,Dice,4,Item,490005,10
205,2,Dice,5,Item,440001,7
206,2,Dice,6,Item,440011,7
207,2,Dice,7,Item,490111,1
208,2,Dice,8,Item,490049,20
209,2,Dice,9,Adena,,5000
210,2,Dice,10,Item,490066,20
211,2,Dice,11,Item,910302,1
212,2,Dice,12,Item,1001201,2
213,2,Dice,13,Item,910007,2
214,2,Dice,14,Item,1001202,2
215,2,Dice,15,Item,490066,20
216,2,Dice,16,Item,400001,200
217,2,Dice,17,Item,490131,1
218,2,Dice,18,Item,490005,10
219,2,Dice,19,Item,440001,7
220,2,Dice,20,Item,440011,7
221,2,Dice,21,Item,490005,10
222,2,Dice,22,Item,490049,20
223,2,Dice,23,Adena,,5000
224,2,Dice,24,Item,490066,20
225,2,Dice,25,Item,900012,1
226,2,Dice,26,Item,1001202,2
227,2,Dice,27,Item,490101,1
228,2,Dice,28,Item,910222,1
229,200,CompleteReward,1,Item,490033,200
230,200,CompleteReward,2,Adena,,20000
231,200,CompleteReward,3,Item,900007,3
232,200,CompleteReward,4,Item,911010,3
233,200,CompleteReward,5,Item,400000,1
234,200,CompleteReward,6,Adena,,30000
235,200,CompleteReward,7,Item,910222,1
236,200,CompleteReward,8,Adena,,50000
237,200,CompleteReward,9,Item,400101,1
238,200,CompleteReward,10,FreeDiamond,,500
239,200,CompleteReward,11,Adena,,50000
240,200,CompleteReward,12,Item,910219,1
241,200,CompleteReward,13,Adena,,100000
242,200,CompleteReward,14,Item,900011,3
243,200,CompleteReward,15,Item,400000,1
301,3,Dice,1,None,,
302,3,Dice,2,Item,400001,200
303,3,Dice,3,Item,490066,10
304,3,Dice,4,Item,510103,1
305,3,Dice,5,Item,452001,1
306,3,Dice,6,Item,440011,10
307,3,Dice,7,Item,490066,10
308,3,Dice,8,Item,490049,20
309,3,Dice,9,Adena,,5000
310,3,Dice,10,Item,490066,10
311,3,Dice,11,Item,452002,1
312,3,Dice,12,Item,510103,1
313,3,Dice,13,FreeDiamond,,30
314,3,Dice,14,Item,490066,10
315,3,Dice,15,Adena,,5000
316,3,Dice,16,Item,490066,10
317,3,Dice,17,Item,400001,200
318,3,Dice,18,Item,452003,1
319,3,Dice,19,FreeDiamond,,30
320,3,Dice,20,Item,490066,10
321,3,Dice,21,Item,510103,1
322,3,Dice,22,Item,490049,20
323,3,Dice,23,Item,490066,10
324,3,Dice,24,Adena,,5000
325,3,Dice,25,Item,440001,10
326,3,Dice,26,FreeDiamond,,30
327,3,Dice,27,Item,490066,10
328,3,Dice,28,Item,510103,1
329,300,CompleteReward,1,Item,490030,2
330,300,CompleteReward,2,Item,900007,3
