Id,Vlue
1,10발넘
2,10발년
3,10발놈
4,10발눔
5,10밸넘
6,10밸놈
7,10밸늠
8,10새끼
9,10새리
10,10쎄끼
11,10알
12,10앨넘
13,10앨놈
14,10앨늠
15,10팔년
16,10팔놈
17,10팔연
18,10할년
19,10할연
20,18냔
21,18넘
22,18년
23,18놈
24,18눔
25,18늠
26,18새끼
27,18세끼
28,18쇠끼
29,18쉑끼
30,18쎄리
31,18쒜끼
32,18쒜리
33,18쒝끼
34,18씨끼
35,69전문
36,ABUSE
37,anal
38,annal
39,anul
40,APFHD
41,arabozi
42,asshole
43,bastard
44,BDSM
45,Beaber
46,BESTBOZI
47,BINYA
48,BITCH
49,bo지
50,callgirl
51,CARPORNO
52,CJE&M
53,CLUBERO
54,COMESEK
55,CONDOM
56,c발
57,c팔
58,ECSTASY
59,Faggot
60,fellatio
61,FEMSUB
62,fetish
63,FUCK
64,Fucker
65,fucking
66,FuckingAsshole
67,FuckingBastard
68,fucku
69,fuckyou
70,fuck-you
71,GABOZI
72,GM
73,g랄
74,homo
75,HOTBOJY
76,ja지
77,jiral
78,jokka
79,lesbian
80,lesbo
81,lessy
82,Meatpuppet
83,MotherFucker
84,nigimi
85,nude
86,oral
87,orgasm
88,panis
89,penis
90,PETISH
91,PHONE색
92,porno
93,SausageJockey
94,sex
95,sex하자
96,sex해
97,ssiba
98,ssibal
99,strip
100,swaping
101,test
102,TVBOZI
103,UncleFucker
104,YAHANNOM
105,가랑이
106,가슴
107,가슴만져
108,가슴빨아
109,가슴빨어
110,가슴조물락
111,가슴주물럭
112,가슴쪼물딱
113,가슴쪼물락
114,가슴핧아
115,가슴핧어
116,간철수
117,갈보
118,갓카
119,강간
120,강간한다
121,개가턴
122,개가튼
123,개가튼년
124,개가튼뇬
125,개갈보
126,개같은
127,개같은년
128,개같은놈
129,개같은뇬
130,개거얼래
131,개거얼레
132,개걸래
133,개걸레
134,개고치
135,개너마
136,개너미
137,개넘
138,개년
139,개노마
140,개놈
141,개농아
142,개뇨나
143,개뇬
144,개눔
145,개느마
146,개늠
147,개또라이
148,개라슥
149,개발사
150,개발자
151,개발진
152,개발팀
153,개보지
154,개보지년
155,개부달
156,개부랄
157,개부럴
158,개부알
159,개불랄
160,개불알
161,개붕알
162,개새
163,개새꺄
164,개새끼
165,개새리
166,개새야
167,개새이
168,개색
169,개색기
170,개색꺄
171,개색뀌
172,개색끼
173,개색휘
174,개색히
175,개샛끼
176,개샛키
177,개샠
178,개샤끼
179,개샤킥
180,개샥
181,개세
182,개세끼
183,개세이
184,개섹
185,개섺
186,개셃
187,개셋키
188,개셐
189,개셰이
190,개솩
191,개쇄끼
192,개쇅
193,개쇅갸
194,개쇅기
195,개쇅꺄
196,개쇅끼
197,개쇅캬
198,개쇅키
199,개쇗
200,개쇗기
201,개쇸
202,개쉐
203,개쉐뀌
204,개쉐끼
205,개쉐리
206,개쉐이
207,개쉐키
208,개쉑
209,개쉑갸
210,개쉑기
211,개쉑꺄
212,개쉑끼
213,개쉑아
214,개쉑이
215,개쉑캬
216,개쉑키
217,개쉑히
218,개쉢
219,개쉨
220,개스래기
221,개스레기
222,개싀기
223,개싀끼
224,개싀밸
225,개싀킈
226,개싀키
227,개싏
228,개싘
229,개시키
230,개십팔
231,개싯기
232,개싯끼
233,개싴
234,개쌍넘
235,개쌍년
236,개쌍놈
237,개쌍눔
238,개쌍늠
239,개쌍연
240,개쌍영
241,개쌔
242,개쌔꺄
243,개쌔끼
244,개쌕
245,개쌕끼
246,개썅넘
247,개썅년
248,개썅놈
249,개썅늠
250,개썅연
251,개쎄
252,개쎅
253,개쐐리
254,개쒜
255,개쒜끼
256,개쒜리
257,개쒝
258,개쒝갸
259,개쒝기
260,개쒝꺄
261,개쒝끼
262,개쒝캬
263,개쒝키
264,개쒯
265,개쒸
266,개쒹기
267,개쓰래기
268,개쓰레기
269,개씁년
270,개씁블
271,개씁자지
272,개씌끼
273,개씨끼
274,개씨발
275,개씨발넘
276,개씨발뇸
277,개씨발자슥
278,개씨블
279,개씨팕
280,개씹
281,개씹창
282,개씹팔
283,개애걸래
284,개에가튼
285,개에걸래
286,개염창
287,개자슥
288,개자싁
289,개자식
290,개자지
291,개작두넘
292,개작두년
293,개잡년
294,개잡놈
295,개잡뇬
296,개잡지랄
297,개저가튼
298,개저엇
299,개젓
300,개젓가튼넘
301,개젖
302,개졋
303,개졎
304,개조옷
305,개좆
306,개좆같은
307,개좆같은넘
308,개지랄
309,개지랄넘
310,개지랄놈
311,개팔
312,개호로년
313,개호로새끼
314,개후라
315,개후라년
316,개후라들놈
317,개후라새끼
318,개후랄
319,개후레
320,개후장
321,갸슴
322,걔잡넘
323,걔잡년
324,걔잡뇬
325,걔잡지랄
326,거래
327,거시기
328,걸래가튼뇬
329,걸래같은년
330,걸래넘
331,걸래년
332,걸래놈
333,걸레
334,걸레가튼넘
335,걸레가튼뇸
336,걸레같은년
337,걸레같은놈
338,걸레년
339,걸레보지
340,걸레핀년
341,겁탈
342,게가튼
343,게같은
344,게너마
345,게넘
346,게년
347,게노마
348,게놈
349,게뇨나
350,게뇬
351,게뇸
352,게느마
353,게띠발넘
354,게보지
355,게부랄
356,게부럴
357,게부알
358,게새
359,게새끼
360,게새리
361,게새이
362,게색
363,게색기
364,게색끼
365,게세
366,게세꺄
367,게세끼
368,게쉐리
369,게쉐이
370,게쉑
371,게쉑아
372,게쉑캬
373,게쉑키
374,게스끼
375,게스래기
376,게스키
377,게시끼
378,게시퀴
379,게쌔
380,게쌔기
381,게쌕
382,게쌕끼
383,게쎄
384,게쎅
385,게쒝
386,게쓰래기
387,게쓰레기
388,게씨발넘
389,게에가튼
390,게임운영
391,게임운영자
392,게자지
393,게잡넘
394,게잡년
395,게잡뇬
396,게저엇
397,게젓
398,게젓가튼넘
399,게좆
400,게지랄
401,게지랄놈
402,게호로년
403,게호로놈
404,게호로새끼
405,경상디언
406,고공섹스
407,고우섹스
408,고투에로
409,고패티쉬
410,고환
411,공짜 버그
412,공짜 캐쉬
413,공짜 캐시
414,공짜버그
415,공짜충전
416,공짜캐쉬
417,과부촌
418,광년
419,광뇨니
420,광뇬
421,괴가튼
422,교성
423,구멍에쑤실까
424,굴래머
425,굴레머
426,굿보지
427,굿섹스클럽
428,귀두
429,그룹섹
430,그룹섹스
431,근친
432,근친상간
433,근친충
434,기분좋다
435,김대중
436,김치녀
437,까보전
