GroupId,DisplaySKillLevel,RealSkillLevel
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
1,7,7
1,8,8
1,9,9
1,10,10
1,11,11
1,12,12
1,13,13
1,14,14
1,15,15
1,16,16
1,17,17
1,18,18
1,19,19
1,20,20
1,21,21
1,22,22
1,23,23
1,24,24
1,25,25
1,26,26
1,27,27
1,28,28
1,29,29
1,30,30
1,31,31
1,32,32
1,33,33
1,34,34
1,35,35
1,36,36
1,37,37
1,38,38
1,39,39
1,40,40
1,41,41
1,42,42
1,43,43
1,44,44
1,45,45
1,46,46
1,47,47
1,48,48
1,49,49
1,50,50
1,51,51
1,52,52
1,53,53
1,54,54
1,55,55
1,56,56
1,57,57
1,58,58
1,59,59
1,60,60
1,61,61
1,62,62
1,63,63
1,64,64
1,65,65
1,66,66
1,67,67
1,68,68
1,69,69
1,70,70
1,71,71
1,72,72
1,73,73
1,74,74
1,75,75
1,76,76
1,77,77
1,78,78
1,79,79
1,80,80
1,81,81
1,82,82
1,83,83
1,84,84
1,85,85
1,86,86
1,87,87
1,88,88
1,89,89
1,90,90
1,91,91
1,92,92
1,93,93
1,94,94
1,95,95
1,96,96
1,97,97
1,98,98
1,99,99
1,100,100
11,1,1
11,2,13
11,3,28
11,4,43
11,5,58
11,6,73
11,7,88
11,8,103
11,9,113
11,10,122
11,11,130
11,12,137
11,13,143
11,14,148
11,15,152
11,16,155
11,17,158
11,18,161
11,19,164
11,20,167
11,21,170
11,22,173
11,23,176
11,24,179
11,25,182
11,26,185
11,27,188
11,28,191
11,29,194
11,30,197
11,31,200
11,32,203
11,33,206
11,34,209
11,35,212
11,36,214
11,37,216
11,38,218
11,39,220
11,40,222
11,41,224
11,42,226
11,43,228
11,44,230
11,45,232
11,46,234
11,47,236
11,48,238
11,49,240
11,50,242
11,51,244
11,52,246
11,53,248
11,54,250
11,55,252
11,56,254
11,57,256
11,58,258
11,59,260
11,60,262
11,61,264
11,62,266
11,63,268
11,64,270
11,65,272
11,66,274
11,67,276
11,68,278
11,69,280
11,70,281
11,71,282
11,72,283
11,73,284
11,74,285
11,75,287
11,76,288
11,77,290
11,78,291
11,79,293
11,80,294
11,81,296
11,82,297
11,83,299
11,84,300
11,85,301
11,86,303
11,87,304
11,88,305
11,89,307
11,90,308
11,91,309
11,92,311
11,93,312
11,94,313
11,95,314
11,96,315
11,97,316
11,98,317
11,99,318
11,100,319
12,1,1
12,2,16
12,3,27
12,4,35
12,5,42
12,6,48
12,7,53
12,8,57
12,9,60
12,10,64
12,11,67
12,12,70
12,13,73
12,14,76
12,15,80
12,16,83
12,17,86
12,18,89
12,19,92
12,20,96
12,21,99
12,22,102
12,23,105
12,24,108
12,25,112
12,26,115
12,27,118
12,28,121
12,29,123
12,30,125
12,31,127
12,32,129
12,33,131
12,34,133
12,35,135
12,36,137
12,37,139
12,38,141
12,39,143
12,40,145
12,41,147
12,42,149
12,43,151
12,44,153
12,45,155
12,46,157
12,47,159
12,48,161
12,49,163
12,50,165
12,51,167
12,52,169
12,53,171
12,54,173
12,55,175
12,56,177
12,57,179
12,58,181
12,59,183
12,60,185
12,61,187
12,62,189
12,63,191
12,64,193
12,65,194
12,66,195
12,67,196
12,68,197
12,69,198
12,70,200
12,71,201
12,72,202
12,73,203
12,74,204
12,75,206
12,76,207
12,77,208
12,78,209
12,79,210
12,80,212
12,81,213
12,82,214
12,83,215
12,84,216
12,85,218
12,86,219
12,87,220
12,88,221
12,89,222
12,90,224
12,91,225
12,92,226
12,93,227
12,94,228
12,95,230
12,96,231
12,97,232
12,98,233
12,99,234
12,100,236
13,1,1
13,2,2
13,3,3
13,4,4
13,5,5
13,6,6
13,7,7
13,8,8
13,9,9
13,10,10
13,11,11
13,12,12
13,13,13
13,14,14
13,15,15
13,16,16
13,17,17
13,18,18
13,19,19
13,20,20
13,21,21
13,22,22
13,23,23
13,24,24
13,25,25
13,26,26
13,27,27
13,28,28
13,29,29
13,30,30
13,31,31
13,32,32
13,33,33
13,34,34
13,35,35
13,36,36
13,37,37
13,38,38
13,39,39
13,40,40
13,41,41
13,42,42
13,43,43
13,44,44
13,45,45
13,46,46
13,47,47
13,48,48
13,49,49
13,50,50
13,51,51
13,52,52
13,53,53
13,54,54
13,55,55
13,56,56
13,57,57
13,58,58
13,59,59
13,60,60
13,61,61
13,62,62
13,63,63
13,64,64
13,65,65
13,66,66
13,67,67
13,68,68
13,69,69
13,70,70
13,71,71
13,72,72
13,73,73
13,74,74
13,75,75
13,76,76
13,77,77
13,78,78
13,79,79
13,80,80
13,81,81
13,82,82
13,83,83
13,84,84
13,85,85
13,86,86
13,87,87
13,88,88
13,89,89
13,90,90
13,91,91
13,92,92
13,93,93
13,94,94
13,95,95
13,96,96
13,97,97
13,98,98
13,99,99
13,100,100
