Id,PreQuestId,TaskId,NameKey,SpotInfoId,TargetSpotInfoId,Type,RequirePlayerLevel,TaskNameKey,DialogOnly,MiniDialogId,StartNpcSpawnInfoId,StartNpcSpotInfoId,QuestNpcPortrait,QuestNpcNameKey,QuestNpcDialogKey,FinishNpcSpawnInfoId,FinishNpcSpotInfoId,QuestNpcPortrait2,QuestNpcName2Key,QuestNpcDialog2Key,LimitTime,NeverDie,TaskRunInInstance,RemainInstanceWorldEndTask,TaskType,TaskParam,TaskStartPosX,TaskStartPosY,TaskPerformancePosX,TaskPerformancePosY,TaskPerformanceRadius,QuestInitParam,TaskActionConditionType1,TaskActionConditionParam1,TaskActionType1,TaskActionParam1,TaskActionConditionType2,TaskActionConditionParam2,TaskActionType2,TaskActionParam2,TaskActionConditionType3,TaskActionConditionParam3,TaskActionType3,TaskActionParam3,RewardExp,RewardAdena,RewardParam1,RewardCount1,RewardParam2,RewardCount2,RewardParam3,RewardCount3,QuestBGM,BGMFinish,BGMRemain,StartNpcId,FinishNpcId,VisitNpcId,SortId
1001,,1,9910000100101,101,101,Scenario,,9920000100101,0,,10001,101,Noble_03,181000000001,9940000100101,,,,0,0,,0,0,0,VisitNpc,"""npcSpawnInfoId"" : 10006",13029,34960,13029,34960,,,,,,,,,,,,,,,122,145,440001,1,,,,,,,,10105,,10149,1018
1002,1001,1,9910000100201,101,101,Scenario,,9920000100201,0,,10006,101,Resident_04_03,181000000002,9940000100201,10006,101,,0,0,,0,0,0,KillMonster,"""npcInfoIdList"":""20105"",
""targetName"":""검은 늑대"",
""totalCount"":5,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",10653,34124,10653,34124,,,,,,,,,,,,,,,235,155,440001,1,,,,,,,,10149,10149,,1019
1003,1002,1,9910000100301,101,101,Scenario,,9920000100301,0,,10006,101,Resident_04_03,181000000002,9940000100301,,,Resident_04_03,181000000002,9960000100301,,0,0,0,KillMonster,"""npcInfoIdList"":""20104"",
""targetName"":""불곰"",
""totalCount"":6,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",8849,34199,8849,34199,,,,,,,,,,,,,,,310,190,911104,1,,,,,,,,10149,,,1020
,,2,9910000100301,101,101,Scenario,,9920000100101,0,,,,,0,0,,,,0,0,,0,0,0,VisitPlace,"""destPos"":""12916, 34964""",12916,34964,12916,34964,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1021
,,3,9910000100301,101,101,Scenario,,392000000059,0,,,,,0,0,,,,0,0,,0,0,0,CutScene,"""name"":""OrcsAttack""",12916,34964,12916,34964,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1022
,,4,9910000100301,101,101,Scenario,,392000000059,0,,,,,0,0,,,,0,0,,0,0,0,VisitNpc,"""npcSpawnInfoId"" : 10006",13029,34960,13029,34960,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9,,1,,,10149,1023
1004,1003,1,392000000019,101,101,Scenario,,9920000100401,0,,10006,101,Resident_04_03,181000000002,9940000100401,,,,0,0,,0,0,0,VisitNpc,"""npcSpawnInfoId"" : 10002",12146,36045,12146,36045,,,,,,,,,,,,,,,156,135,440001,2,,,,,9,,1,10149,,10144,1024
1005,1004,1,9910000100501,101,101,Scenario,,9920000100501,0,,10002,101,Officer,181000000003,9940000100501,10002,101,,0,0,,0,1,1,KillMonster,"""npcInfoIdList"":""220131"",
""targetName"":""오크 전사"",
""totalCount"":4,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",12468,39067,12468,39067,,,QuestTaskStarted,,StartSpawnNpc,"""npcSpawnGroupIdList"" : ""100101, 100117""",QuestTaskStarted,,SpawnGadget,"{""weight"" : 1, ""gadgetGroupIdList"" :""194""}",,,,,234,235,480002,1,,,,,9,,1,10144,10144,,1025
,,3,9910000100501,101,101,Scenario,,9920000100503,0,127,,,,0,0,,,,0,0,,0,1,1,KillMonster,"""npcInfoIdList"":""220132"",
""targetName"":""오크 호위병"",
""totalCount"":4,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",13512,41725,13512,41725,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9,,1,,,,1026
,,6,9910000100501,101,101,Scenario,,9920000100506,0,128,,,,0,0,,,,0,0,,0,1,1,VisitPlace,"""destPos"" : ""14046, 41036"",
""radius"" : 400",14046,41036,14046,41036,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9,,1,,,,1027
