Key,ValueKey
InvalidPacketVersion,351000000001
InvalidAssetVersion,351000000002
DatabaseQueryError,351000000003
LuaScriptError,351000000004
ExcelTableError,351000000005
InvalidParameter,351000000006
LogicError,351000000007
NoMainResultPacket,351000000008
AccountNotLoggedIn,351000000009
AlreadyConnectedUser,351000000010
NoKickoutTarget,351000000011
InvalidAuth,351000000012
InvalidCharacterId,351000000013
InvalidClassInfoId,351000000014
InvalidGender,351000000015
InvalidName,351000000016
InvalidNpcInfoId,351000000017
InvalidPlayerId,351000000018
InvalidRaceInfoId,351000000019
InvalidSkillInfoId,351000000020
InvalidSkillTarget,351000000021
InvalidState,351000000022
InvalidWorldId,351000000023
EmptyDeviceId,351000000024
AlreadyUsingName,351000000025
SkillCasting,351000000026
Stunned,351000000064
NotDied,351000000028
NotEnoughMp,351000000029
errSession,1030000000030
errNotLastestGameToken,1030000000031
errProtocol,1030000000032
errSystem,1030000000033
errInvalidDataFormat,1030000000034
errNotExistGameToken,1030000000035
IsInspect,1030000000036
EmptyAccount,1030000000037
YetPreparing,1030000000038
IsRestrict,1030000000039
NsVerifyFailed,1030000000040
WithdrawUser,1030000000041
BlockedIp,1030000000042
