Id,KOValue,ENValue,TWValue,THValue
1,10새,$ex,8591,[GM]
2,10색,$hit,$,0rgasim
3,10섹,( . Y . ),【,0rgasims
4,10쉑,(.Y.),【系統】,0rgasm
5,10알,*damn,【國家】,0rgasms
6,10창,*dyke,【屏顯】,3jaculate
7,10챵,*fuck*,【私聊】,3jaculated
8,10팍,*shit*,】,3jaculates
9,10팔,*sucker,200萬,3jaculating
10,10펄,@$$,a$shole,3jaculatings
11,10할,@nal,admin,3jaculation
12,18넘,@nalhole,administrator,admin
13,18뇬,2girls1cup,aids,administrator
14,18늠,5h1t,alta,africoon
15,18새,5hit,as$hole,aids
16,18색,A$$,ASS,anal
17,18색끼,A$$whipe,asshole,analbleed
18,18샹놈,A$$wipe,av,analcavity
19,18샹늠,a_s_s,a級,analcrevass
20,18쉐키,a55,a漫,analfuck
21,1o새,AdolphHitler,a書,analingus
22,1o새끼,adultery,a片,analinvade
23,1o세,ADULTSEXSHOP,bastard,analjuice
24,1o세끼,adultsonly,bitch,analleakage
25,4kkasi,ADULTVIDEO,blow job,anallovin
26,4까시,ADULTZONE,bug,analmunch
27,bitch,afric00n,bug回報人員,analorafice
28,byuntae,africoon,butthead,analorgy
29,c8,aftercum,butthole,analpirate
30,ccibal,ahole,B央,analprobe
31,ccipal,aids,B央  ,analrape
32,ccival,aidsbearer,b樣,analsex
33,cibal,alphanigg,CEO,analspew
34,cipal,americ00n,cn,analspray
35,cival,americunt,com,analtail
36,Cybercrime,amerikkkan,dick,analtroop
37,c발,anal,erect,analungus
38,c부랄,analcumdrip,falundafa,analviolate
39,c팔,analdoctor,FM2,analwart
40,fuck,analpunisher,fuck,analwhore
41,fucker,angeladevi,ＦＵＣＫ,analzone
42,Fucking,angeldust,fuckyou,animalsex
43,fuckyou,annal,fuk,anus
44,gotdamn,annaslut,G M,arse
45,gotohell,anolinctus,game,arsebandit
46,g랄,antichrist,GameMaster,arsefuck
47,ho로쉐끼,anul,GＭ,arsephuck
48,jamji,anus,ｇm,arsephuk
49,ja위,aperape,ｇＭ,arsepiece
50,jiral,arschloch,G掰 ,arsestab
51,ji랄,arsehole,HK,arsewipe
52,kissmyass,aryan,http,asphinct
53,motherfucker,ash0le,h站,ass
54,nigimi,ash0les,JB,ass hole
55,penis,asholes,ｊｂ,ass lick
56,pennis,asiacarrera,JoyBomb,assbeat
57,pervert,assbandit,kiss my ass,assbite
58,phonesex,assbasher,K粉,assbiteme
59,playbog,asses,K藥,assblast
60,playbozi,assface,k仔,assboy
61,pleybog,assfucker,K他命,assbutt
62,pleyboy,ass-fucker,lager,assbyte
63,porner,assfukka,master,asscheek
64,porno,assh0le,net,asscheese
65,pthc,assh0lez,netmarble,assclown
66,sex,asshat,NT,asscock
67,sibal,asshole,ＮＴ,asscrack
68,sipal,assholes,orgasmus,asscream
69,siutty,assholz,PC蛋蛋,assenlarge
70,sival,asshunter,penis,assenmunch
71,si팔,asskiss,pig,asses
72,slutty,asslick,piss,assface
73,ssibal,assman,playboy,assfish
74,ssibbal,assmaster,PUSSY,assfuck
75,ssival,asspound,RMB,assfuk
76,suck,assram,ＲＭＢ,assfunk
77,sucks,assrammer,screw,assgoblin
78,yamad,assrape,sex,assgrab
79,zasal,asswhole,SGM,assh0le
80,ㄱㅅㄷ,asswipe,SHIT,assh0les
81,갈보,aurorasnow,ＳＨＩＴ,asshair
82,강간,azzhole,sm,asshead
83,개가튼,b!+ch,snk.ni8.net,assho
84,개갈보,b!nl@den,SUCK,asshoe
85,개같은,b!tch,surpervisor,asshol
