Index,Id,NameKey,Type,Operation,Parameter,StartAttack,FireOnFinish
1,10112,0,Sequence,Wait,Section:Start,1,0
2,10112,0,Sequence,Move,"Type:Direct, Dist:5, Speed:20, Acc:20",0,1
3,11113,0,Sequence,Wait,Section:Start,1,0
4,11113,0,Sequence,Move,"Type:Direct, Dist:5, Speed:20, Acc:20",0,1
5,12113,0,Sequence,Wait,Section:Start,1,0
6,12113,0,Sequence,Move,"Type:Direct, Dist:5, Speed:20, Acc:20",0,1
7,13113,0,Sequence,Wait,Section:Start,1,0
8,13113,0,Sequence,Move,"Type:Direct, Dist:5, Speed:20, Acc:20",0,1
9,14113,0,Sequence,Wait,Section:Start,1,0
10,14113,0,Sequence,Move,"Type:Direct, Dist:5, Speed:20, Acc:20",0,1
11,10122,0,Group,Collision,Name:Ghost,0,0
12,10122,0,Group,HitState,,0,0
13,10122,0,Sequence,Wait,Section:Start,1,0
14,10122,0,Sequence,PiercingMove,"Type:Direct, Dist:5, Speed:20, Acc:20",0,1
15,11123,0,Group,Collision,Name:Ghost,0,0
16,11123,0,Group,HitState,,0,0
17,11123,0,Sequence,Wait,Section:Start,1,0
18,11123,0,Sequence,PiercingMove,"Type:Direct, Dist:5, Speed:20, Acc:20",0,1
19,12123,0,Group,Collision,Name:Ghost,0,0
20,12123,0,Group,HitState,,0,0
21,12123,0,Sequence,Wait,Section:Start,1,0
22,12123,0,Sequence,PiercingMove,"Type:Direct, Dist:5, Speed:20, Acc:20",0,1
23,13123,0,Group,Collision,Name:Ghost,0,0
24,13123,0,Group,HitState,,0,0
25,13123,0,Sequence,Wait,Section:Start,1,0
26,13123,0,Sequence,PiercingMove,"Type:Direct, Dist:5, Speed:20, Acc:20",0,1
27,14123,0,Group,Collision,Name:Ghost,0,0
28,14123,0,Group,HitState,,0,0
29,14123,0,Sequence,Wait,Section:Start,1,0
30,14123,0,Sequence,PiercingMove,"Type:Direct, Dist:5, Speed:20, Acc:20",0,1
31,14231,0,Group,Collision,Name:Ghost,0,0
32,14231,0,Group,HitState,,0,0
33,14231,0,Sequence,Fade,"Type:Out, Time:0",0,0
34,14231,0,Sequence,Wait,Section:Start,1,0
35,14231,0,Sequence,Fade,"Type:In, Time:0",0,0
36,14231,0,Sequence,PiercingMove,"Type:Direct, Dist:5, Speed:20, Acc:20",0,1
37,11232,0,Sequence,Fade,"Type:Out, Time:0",1,0
38,11232,0,Sequence,Wait,Time:0.5,0,0
39,11232,0,Sequence,Fade,"Type:In, Time:0",0,0
40,11232,0,Sequence,Teleport,Rear,0,1
41,13212,0,Group,Shift,"Dist:5, Duration:0.3",1,0
42,14222,0,Sequence,Wait,Section:Start,1,0
43,14222,0,Sequence,Jump,"Dist:5, Duration:0.5, Height:5, RatioA:0.4, RatioB:0.6",0,1
44,13222,0,Sequence,Wait,Section:Start,1,0
45,13222,0,Sequence,Channeling,"Type:Move, MoveSpeed:500, Tick:1.0",0,0
46,13251,0,Sequence,Wait,Section:Start,1,0
47,13251,0,Sequence,Channeling,"Type:Rotate, RotateSpeed:500, Tick:1.0",0,0
48,60110,0,Sequence,Wait,Section:Start,1,0
49,60110,0,Sequence,Channeling,"Type:Move, MoveSpeed:500, Tick:1.0",0,0
50,74052,0,Group,Shift,"Dist:5, Duration:0.3",1,0
51,74112,0,Sequence,Wait,Section:Start,1,0
52,74112,0,Sequence,Move,"Type:Direct, Dist:10, Speed:20, Acc:100",0,1
53,74132,0,Sequence,Wait,Section:Start,1,0
54,74132,0,Sequence,Move,"Type:Direct, Dist:10, Speed:20, Acc:100",0,1
55,200016,0,Group,Attach,,0,0
56,72034,0,Sequence,Wait,Section:Start,1,0
57,72034,0,Sequence,Move,"Type:Direct, Dist:5, Speed:20, Acc:20",0,1
58,74135,0,Sequence,Wait,Section:Start,1,0
59,74135,0,Sequence,Move,"Type:Direct, Dist:5, Speed:20, Acc:20",0,1
60,60127,0,Sequence,Wait,Section:Start,1,0
61,60127,0,Sequence,Move,"Type:Direct, Dist:5, Speed:20, Acc:20",0,1
62,74114,0,Sequence,Fade,"Type:Out, Time:0.7",1,0
63,74114,0,Sequence,Wait,Time:0.7,0,0
64,74114,0,Sequence,Fade,"Type:In, Time:0.0",0,0
65,74114,0,Sequence,Teleport,Front,0,1
66,401036,0,Sequence,Fade,"Type:In, Time:0.5",1,0
67,401036,0,Sequence,Teleport,Rear,0,0
68,401036,0,Sequence,Fade,"Type:Out, Time:0.5",0,1
69,401204,0,Sequence,Fade,"Type:Out, Time:0.7",1,0
70,401204,0,Sequence,Teleport,Rear,0,0
71,401204,0,Sequence,Fade,"Type:In, Time:0.7",0,1
72,401207,0,Sequence,Fade,"Type:Out, Time:0.7",1,0
73,401207,0,Sequence,Teleport,Rear,0,0
74,401207,0,Sequence,Fade,"Type:In, Time:0.7",0,1
75,401216,0,Sequence,Fade,"Type:Out, Time:0.7",1,0
76,401216,0,Sequence,Teleport,Rear,0,0
77,401216,0,Sequence,Fade,"Type:In, Time:0.7",0,1
400201371,40020137,0,Group,Shift,"Dist:30, Duration:0.3",1,0
400201381,40020138,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400201382,40020138,0,Sequence,Teleport,Rear,0,0
400201383,40020138,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400201451,40020145,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400201452,40020145,0,Sequence,Teleport,Rear,0,0
400201453,40020145,0,Sequence,Fade,"Type:In, Time:0.7",0,1
400201791,40020179,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400201792,40020179,0,Sequence,Teleport,Rear,0,0
400201793,40020179,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400201801,40020180,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400201802,40020180,0,Sequence,Teleport,Rear,0,0
400201803,40020180,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400201811,40020181,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400201812,40020181,0,Sequence,Teleport,Rear,0,0
400201813,40020181,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400201821,40020182,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400201822,40020182,0,Sequence,Teleport,Rear,0,0
400201823,40020182,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400201831,40020183,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400201832,40020183,0,Sequence,Teleport,Rear,0,0
400201833,40020183,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400201841,40020184,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400201842,40020184,0,Sequence,Teleport,Rear,0,0
400201843,40020184,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400201851,40020185,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400201852,40020185,0,Sequence,Teleport,Rear,0,0
400201853,40020185,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400201861,40020186,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400201862,40020186,0,Sequence,Teleport,Rear,0,0
400201863,40020186,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400201871,40020187,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400201872,40020187,0,Sequence,Teleport,Rear,0,0
400201873,40020187,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400201881,40020188,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400201882,40020188,0,Sequence,Teleport,Rear,0,0
400201883,40020188,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400201891,40020189,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400201892,40020189,0,Sequence,Teleport,Rear,0,0
400201893,40020189,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400201901,40020190,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400201902,40020190,0,Sequence,Teleport,Rear,0,0
400201903,40020190,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400201911,40020191,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400201912,40020191,0,Sequence,Teleport,Rear,0,0
400201913,40020191,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400201921,40020192,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400201922,40020192,0,Sequence,Teleport,Rear,0,0
400201923,40020192,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400201931,40020193,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400201932,40020193,0,Sequence,Teleport,Rear,0,0
400201933,40020193,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400201941,40020194,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400201942,40020194,0,Sequence,Teleport,Rear,0,0
400201943,40020194,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400201951,40020195,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400201952,40020195,0,Sequence,Teleport,Rear,0,0
400201953,40020195,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400201961,40020196,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400201962,40020196,0,Sequence,Teleport,Rear,0,0
400201963,40020196,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400201981,40020198,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400201982,40020198,0,Sequence,Teleport,Rear,0,0
400201983,40020198,0,Sequence,Fade,"Type:In, Time:0.7",0,1
400202371,40020237,0,Group,Shift,"Dist:30, Duration:0.3",1,0
400202381,40020238,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400202382,40020238,0,Sequence,Teleport,Rear,0,0
400202383,40020238,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400202451,40020245,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400202452,40020245,0,Sequence,Teleport,Rear,0,0
400202453,40020245,0,Sequence,Fade,"Type:In, Time:0.7",0,1
400202791,40020279,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400202792,40020279,0,Sequence,Teleport,Rear,0,0
400202793,40020279,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400202801,40020280,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400202802,40020280,0,Sequence,Teleport,Rear,0,0
400202803,40020280,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400202811,40020281,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400202812,40020281,0,Sequence,Teleport,Rear,0,0
400202813,40020281,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400202821,40020282,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400202822,40020282,0,Sequence,Teleport,Rear,0,0
400202823,40020282,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400202831,40020283,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400202832,40020283,0,Sequence,Teleport,Rear,0,0
400202833,40020283,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400202841,40020284,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400202842,40020284,0,Sequence,Teleport,Rear,0,0
400202843,40020284,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400202851,40020285,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400202852,40020285,0,Sequence,Teleport,Rear,0,0
400202853,40020285,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400202861,40020286,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400202862,40020286,0,Sequence,Teleport,Rear,0,0
400202863,40020286,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400202871,40020287,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400202872,40020287,0,Sequence,Teleport,Rear,0,0
400202873,40020287,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400202881,40020288,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400202882,40020288,0,Sequence,Teleport,Rear,0,0
400202883,40020288,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400202891,40020289,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400202892,40020289,0,Sequence,Teleport,Rear,0,0
400202893,40020289,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400202901,40020290,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400202902,40020290,0,Sequence,Teleport,Rear,0,0
400202903,40020290,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400202911,40020291,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400202912,40020291,0,Sequence,Teleport,Rear,0,0
400202913,40020291,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400202921,40020292,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400202922,40020292,0,Sequence,Teleport,Rear,0,0
400202923,40020292,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400202931,40020293,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400202932,40020293,0,Sequence,Teleport,Rear,0,0
400202933,40020293,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400202941,40020294,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400202942,40020294,0,Sequence,Teleport,Rear,0,0
400202943,40020294,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400202951,40020295,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400202952,40020295,0,Sequence,Teleport,Rear,0,0
400202953,40020295,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400202961,40020296,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400202962,40020296,0,Sequence,Teleport,Rear,0,0
400202963,40020296,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400202981,40020298,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400202982,40020298,0,Sequence,Teleport,Rear,0,0
400202983,40020298,0,Sequence,Fade,"Type:In, Time:0.7",0,1
400203371,40020337,0,Group,Shift,"Dist:30, Duration:0.3",1,0
400203381,40020338,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400203382,40020338,0,Sequence,Teleport,Rear,0,0
400203383,40020338,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400203451,40020345,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400203452,40020345,0,Sequence,Teleport,Rear,0,0
400203453,40020345,0,Sequence,Fade,"Type:In, Time:0.7",0,1
400203791,40020379,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400203792,40020379,0,Sequence,Teleport,Rear,0,0
400203793,40020379,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400203801,40020380,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400203802,40020380,0,Sequence,Teleport,Rear,0,0
400203803,40020380,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400203811,40020381,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400203812,40020381,0,Sequence,Teleport,Rear,0,0
400203813,40020381,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400203821,40020382,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400203822,40020382,0,Sequence,Teleport,Rear,0,0
400203823,40020382,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400203831,40020383,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400203832,40020383,0,Sequence,Teleport,Rear,0,0
400203833,40020383,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400203841,40020384,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400203842,40020384,0,Sequence,Teleport,Rear,0,0
400203843,40020384,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400203851,40020385,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
