ItemGrade,SealedCount,RequiredCrystalCount,RequiredAdena
1,1,1,200
1,2,2,300
1,3,4,450
1,4,8,680
1,5,16,1020
1,6,32,1530
1,7,64,2300
1,8,128,3450
1,9,256,5180
1,10,512,7770
1,11,1024,11660
1,12,2048,17490
1,13,4096,26240
1,14,8192,39360
1,15,16384,59040
1,16,32768,88560
1,17,65536,132840
1,18,131072,199260
1,19,262144,298890
1,20,524288,448340
1,21,1048576,672510
2,1,3,500
2,2,6,750
2,3,12,1130
2,4,24,1700
2,5,48,2550
2,6,96,3830
2,7,192,5750
2,8,384,8630
2,9,768,12950
2,10,1536,19430
2,11,3072,29150
2,12,6144,43730
2,13,12288,65600
2,14,24576,98400
2,15,49152,147600
2,16,98304,221400
2,17,196608,332100
2,18,393216,498150
2,19,786432,747230
2,20,1572864,1120850
2,21,3145728,1681280
3,1,5,5000
3,2,10,7500
3,3,20,11300
3,4,40,17000
3,5,80,25500
3,6,160,38300
3,7,320,57500
3,8,640,86300
3,9,1280,129500
3,10,2560,194300
3,11,5120,291500
3,12,10240,437300
3,13,20480,656000
3,14,40960,984000
3,15,81920,1476000
3,16,163840,2214000
3,17,327680,3321000
3,18,655360,4981500
3,19,1310720,7472300
3,20,2621440,11208500
3,21,5242880,16812800
4,1,10,20000
4,2,20,30000
4,3,40,45000
4,4,80,67500
4,5,160,101300
4,6,320,152000
4,7,640,228000
4,8,1280,342000
4,9,2560,513000
4,10,5120,769500
4,11,10240,1154300
4,12,20480,1731500
4,13,40960,2597300
4,14,81920,3896000
4,15,163840,5844000
4,16,327680,8766000
4,17,655360,13149000
4,18,1310720,19723500
4,19,2621440,29585300
4,20,5242880,44378000
4,21,10485760,66567000
5,1,20,80000
5,2,40,120000
5,3,80,180000
5,4,160,270000
5,5,320,405000
5,6,640,608000
5,7,1280,912000
5,8,2560,1368000
5,9,5120,2052000
5,10,10240,3078000
5,11,20480,4617000
5,12,40960,6926000
5,13,81920,10389000
5,14,163840,15584000
5,15,327680,23376000
5,16,655360,35064000
5,17,1310720,52596000
5,18,2621440,78894000
5,19,5242880,118341000
5,20,10485760,177512000
5,21,20971520,266268000
6,1,50,200000
6,2,100,300000
6,3,200,450000
6,4,400,675000
6,5,800,1013000
6,6,1600,1520000
6,7,3200,2280000
6,8,6400,3420000
6,9,12800,5130000
6,10,25600,7695000
6,11,51200,11543000
6,12,102400,17315000
6,13,204800,25973000
6,14,409600,38960000
6,15,819200,58440000
6,16,1638400,87660000
6,17,3276800,131490000
6,18,6553600,197235000
6,19,13107200,295853000
6,20,26214400,443780000
6,21,52428800,665670000
