BadgeType,BadgeConfirm,BadgeCustomConfirm
Rune,1,0
Inventory,1,0
Quest,1,1
MonsterBook,1,1
GuildAgitEnter,1,1
GuildQuest,1,0
MonsterBookBreak,1,0
Journey,1,1
PartyDungeon,1,0
PartyDungeonEnter,1,1
InventoryExpendable,1,0
MonsterCoreShop,1,0
GuildRelation,1,1
GuildAgitKeeper,1,0
GuildAgitQuest,1,1
GuildAgitDinner,1,0
GuildAgitLiquid,1,0
GuildAgitFireplace,1,1
GuildAgitDinnerSmall,1,0
GuildAgitDinnerMedium,1,0
GuildAgitDinnerLarge,1,0
GuildAgitLiquidPersonalTab,1,0
GuildAgitLiquidGuildTab,1,0
ShopEventMain,1,0
EventListBadgeNew,1,0
GuideQuest4,1,0
GuideQuest5,1,0
GuideQuest6,1,0
GuideQuest7,1,0
GuideQuest8,1,0
GuideQuest9,1,0
