GroupId,Id,DayCount,ProductType,ItemInfoId,ProductValue,KeyReward
10001,101,1,Item,110302307,1,0
10001,102,2,Item,110302307,1,0
10001,103,3,Item,110302307,1,0
10001,104,4,FreeDiamond,,100,0
10002,101,1,Item,110302307,2,0
10002,102,2,Item,110302307,2,0
10002,103,3,Item,110302307,2,0
10002,104,4,FreeDiamond,,200,0
10003,101,1,Item,110302307,3,0
10003,102,2,Item,110302307,3,0
10003,103,3,Item,110302307,3,0
10003,104,4,FreeDiamond,,300,0
10004,101,1,Item,110302307,4,0
10004,102,2,Item,110302307,4,0
10004,103,3,Item,110302307,4,0
10004,104,4,FreeDiamond,,400,0
