Id,MssionGrade,NameKey,DescKey,TaskType,TaskCount,AutoCompleteTime,PassCost,RewardExp,RewardAdena,RewardIcon,MissionIcon
1001,1,501000000001,502000000001,Count_KillMonster,50,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1002,1,501000000010,502000000010,Count_PlayRegularDungeon,1,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1003,1,501000001003,502000001003,Count_PlayGuildAgit,1,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1004,1,501000000004,502000000004,Count_AcquiredItem,3,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1005,1,501000000017,502000000017,Count_AcquiredItem,3,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1006,1,501000000005,502000000005,Count_AcquiredItem,30,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1007,2,501000000007,502000000007,Count_KillMonster_Region,70,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1008,2,501000000001,502000000001,Count_KillMonster,100,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1009,2,501000001009,502000000003,Count_UseItem,20,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1010,2,501000000009,502000000009,Count_AcquiredItem,3,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1011,2,501000000002,502000000002,If_MaxCombo,200,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1012,3,501000001012,502000001012,Count_Combination,1,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1013,3,501000000001,502000000001,Count_KillMonster,150,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1014,3,501000001014,502000001014,Count_BuyShopItem,1,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1015,3,501000000003,502000000014,Count_UseItem,45,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1016,3,501000000002,502000000002,If_MaxCombo,300,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1017,3,501000001017,502000001017,Count_Decomposition,1,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
