Difficulty,Level,Exp_C,Exp_B,Exp_A,Exp_S,Exp_SS,Exp_SSS,Adena_C,Adena_B,Adena_A,Adena_S,Adena_SS,Adena_SSS
Easy,1,10,20,30,40,50,60,70,80,90,100,110,120
Easy,2,20,30,40,50,60,70,80,90,100,110,120,130
Easy,3,30,40,50,60,70,80,90,100,110,120,130,140
Easy,4,40,50,60,70,80,90,100,110,120,130,140,150
Easy,5,50,60,70,80,90,100,110,120,130,140,150,160
Easy,6,60,70,80,90,100,110,120,130,140,150,160,170
Easy,7,70,80,90,100,110,120,130,140,150,160,170,180
Easy,8,80,90,100,110,120,130,140,150,160,170,180,190
Easy,9,90,100,110,120,130,140,150,160,170,180,190,200
Easy,10,100,110,120,130,140,150,160,170,180,190,200,210
Easy,11,110,120,130,140,150,160,170,180,190,200,210,220
Easy,12,120,130,140,150,160,170,180,190,200,210,220,230
Easy,13,130,140,150,160,170,180,190,200,210,220,230,240
Easy,14,140,150,160,170,180,190,200,210,220,230,240,250
Easy,15,150,160,170,180,190,200,210,220,230,240,250,260
Easy,16,160,170,180,190,200,210,220,230,240,250,260,270
Easy,17,170,180,190,200,210,220,230,240,250,260,270,280
Easy,18,180,190,200,210,220,230,240,250,260,270,280,290
Easy,19,190,200,210,220,230,240,250,260,270,280,290,300
Easy,20,200,210,220,230,240,250,260,270,280,290,300,310
Easy,21,210,220,230,240,250,260,270,280,290,300,310,320
Easy,22,220,230,240,250,260,270,280,290,300,310,320,330
Easy,23,230,240,250,260,270,280,290,300,310,320,330,340
Easy,24,240,250,260,270,280,290,300,310,320,330,340,350
Easy,25,250,260,270,280,290,300,310,320,330,340,350,360
Easy,26,260,270,280,290,300,310,320,330,340,350,360,370
Easy,27,270,280,290,300,310,320,330,340,350,360,370,380
Easy,28,280,290,300,310,320,330,340,350,360,370,380,390
Easy,29,290,300,310,320,330,340,350,360,370,380,390,400
Easy,30,300,310,320,330,340,350,360,370,380,390,400,410
Easy,31,310,320,330,340,350,360,370,380,390,400,410,420
Easy,32,320,330,340,350,360,370,380,390,400,410,420,430
Easy,33,330,340,350,360,370,380,390,400,410,420,430,440
Easy,34,340,350,360,370,380,390,400,410,420,430,440,450
Easy,35,350,360,370,380,390,400,410,420,430,440,450,460
Easy,36,360,370,380,390,400,410,420,430,440,450,460,470
Easy,37,370,380,390,400,410,420,430,440,450,460,470,480
Easy,38,380,390,400,410,420,430,440,450,460,470,480,490
Easy,39,390,400,410,420,430,440,450,460,470,480,490,500
Easy,40,400,410,420,430,440,450,460,470,480,490,500,510
Easy,41,410,420,430,440,450,460,470,480,490,500,510,520
Easy,42,420,430,440,450,460,470,480,490,500,510,520,530
Easy,43,430,440,450,460,470,480,490,500,510,520,530,540
Easy,44,440,450,460,470,480,490,500,510,520,530,540,550
Easy,45,450,460,470,480,490,500,510,520,530,540,550,560
Easy,46,460,470,480,490,500,510,520,530,540,550,560,570
Easy,47,470,480,490,500,510,520,530,540,550,560,570,580
Easy,48,480,490,500,510,520,530,540,550,560,570,580,590
Easy,49,490,500,510,520,530,540,550,560,570,580,590,600
Easy,50,500,510,520,530,540,550,560,570,580,590,600,610
Easy,51,510,520,530,540,550,560,570,580,590,600,610,620
Easy,52,520,530,540,550,560,570,580,590,600,610,620,630
Easy,53,530,540,550,560,570,580,590,600,610,620,630,640
Easy,54,540,550,560,570,580,590,600,610,620,630,640,650
Easy,55,550,560,570,580,590,600,610,620,630,640,650,660
Easy,56,560,570,580,590,600,610,620,630,640,650,660,670
Easy,57,570,580,590,600,610,620,630,640,650,660,670,680
Easy,58,580,590,600,610,620,630,640,650,660,670,680,690
Easy,59,590,600,610,620,630,640,650,660,670,680,690,700
Easy,60,600,610,620,630,640,650,660,670,680,690,700,710
Easy,61,610,620,630,640,650,660,670,680,690,700,710,720
Easy,62,620,630,640,650,660,670,680,690,700,710,720,730
Easy,63,630,640,650,660,670,680,690,700,710,720,730,740
Easy,64,640,650,660,670,680,690,700,710,720,730,740,750
Easy,65,650,660,670,680,690,700,710,720,730,740,750,760
Easy,66,660,670,680,690,700,710,720,730,740,750,760,770
Easy,67,670,680,690,700,710,720,730,740,750,760,770,780
Easy,68,680,690,700,710,720,730,740,750,760,770,780,790
Easy,69,690,700,710,720,730,740,750,760,770,780,790,800
Easy,70,700,710,720,730,740,750,760,770,780,790,800,810
Easy,71,710,720,730,740,750,760,770,780,790,800,810,820
Easy,72,720,730,740,750,760,770,780,790,800,810,820,830
Easy,73,730,740,750,760,770,780,790,800,810,820,830,840
Easy,74,740,750,760,770,780,790,800,810,820,830,840,850
Easy,75,750,760,770,780,790,800,810,820,830,840,850,860
Easy,76,760,770,780,790,800,810,820,830,840,850,860,870
