Id,Type,NameKey,WorldMove,ActivateType,ActivateValue,BpName,ControlPath,QuestPanelControlBlock,ItemRecommendPopup,AccountLinked,BpName2,ControlPath2,HelpUpdateGuideId,ActivatePopup
1,Essential,191000000001,1,PlayerCreated,,,,1,,0,,,,0
2,Essential,191000000002,1,Max,1,,,0,,0,,,,0
3,Essential,191000000003,1,Max,3,,,0,,0,,,,0
4,Optional,191000000004,0,QuestComplete,1001,,,0,,0,,,,0
6,Optional,191000000006,0,QuestComplete,1002,,,0,,0,,,,0
11,Optional,191000000011,1,QuestTaskStarted,,,,0,,0,,,,0
12,Optional,1019,1,QuestTaskStarted,,,,0,,0,,,,0
13,Optional,191000000013,0,QuestTaskStarted,,,,0,,0,,,,0
14,Optional,731000000002,1,QuestTaskStarted,,,,0,,0,,,,0
15,Optional,61000001739,1,QuestTaskStarted,,,,0,1,0,,,,0
16,Optional,731000004169,1,QuestTaskStarted,,,,0,,0,,,,0
17,Optional,731000001813,1,QuestTaskStarted,,,,0,,0,,,,0
18,Optional,2011,1,QuestTaskStarted,,,,0,,0,,,,0
19,Optional,731000000574,1,QuestTaskStarted,,,,0,,0,,,,0
20,Optional,731000000325,1,EssentialTutorialCompleted,14,BP_GuildEntranceUI,,0,,0,,,,1
21,Optional,191000000021,1,QuestTaskStarted,,,,0,,0,,,,0
22,Optional,191000000022,1,QuestTaskStarted,,,,0,,0,,,,0
23,Optional,4016,1,QuestTaskStarted,,,,0,,0,,,,0
24,Optional,2002,1,QuestTaskStarted,,,,0,,0,,,,0
25,Optional,731000000708,1,EssentialTutorialCompleted,17,BP_EquipmentEnhancementUI,CheckBoxUpgrade,0,,0,,,,1
26,Optional,731000000710,1,EssentialTutorialCompleted,13,BP_EquipmentEnhancementUI,CheckBoxEnchant,0,,0,,,,1
27,Optional,251000000115,1,QuestTaskStarted,,,,0,,0,,,,0
28,Optional,191000000028,1,QuestTaskStarted,,,,0,,0,,,,0
29,Optional,2003,1,QuestTaskStarted,,,,0,,0,,,,0
30,Optional,1024,1,QuestTaskStarted,,,,0,,0,,,,0
31,Optional,191000000119,1,QuestComplete,33,,,0,,0,,,,0
32,Optional,731000003912,1,QuestTaskStarted,,,,0,,0,,,,0
34,Optional,191000000207,1,EssentialTutorialCompleted,,BP_Class2ndTransferQuestUI,,0,,0,,,,0
