Id,Difficulty,ClearRewardItemID1,ClearRewardItemCount1,ClearRewardItemID2,ClearRewardItemCount2,ClearRewardItemID3,ClearRewardItemCount3
1,Easy,911001,1,911005,1,,
2,Easy,911001,1,911005,2,,
3,Easy,911001,1,911005,3,,
4,Normal,911002,1,911005,2,,
5,Normal,911002,1,911005,3,,
6,Normal,911002,1,911005,4,,
7,Hard,911003,1,911005,3,,
8,Hard,911003,1,911005,4,,
9,Hard,911003,1,911005,5,,
10,Hell,911004,1,911005,4,,
11,Hell,911004,1,911005,5,,
12,Hell,911004,1,911005,6,,
13,Difficulty5,911004,1,911005,4,,
14,Difficulty5,911004,1,911005,5,,
15,Difficulty5,911004,1,911005,6,,
