Id,TabId,TabNameKey,ChargeConsumeId,TargetRewardId,TargetEventDescKey,TargetEventDesc2Key,ContentType
100001,1,1251000000001,1001,10001,1252000100001,1253000100001,ChargeEventShopChargeTotal
100001,2,1251000000002,1002,10002,1252000100001,1253000100001,ChargeEventShopChargeDaily
100001,3,1251000000003,1003,10003,1252000100001,1253000100001,ChargeEventShopConsumeTotal
100001,4,1251000000004,1004,10004,1252000100001,1253000100001,ChargeEventShopConsumeDaily
100002,1,1251000000001,1001,10001,1252000100001,1253000100001,ChargeEventShopChargeTotal
100002,2,1251000000002,1002,10002,1252000100001,1253000100001,ChargeEventShopChargeDaily
100002,3,1251000000003,1003,10003,1252000100001,1253000100001,ChargeEventShopConsumeTotal
100002,4,1251000000004,1004,10004,1252000100001,1253000100001,ChargeEventShopConsumeDaily
100003,1,1251000000001,1001,10001,1252000100001,1253000100001,ChargeEventShopChargeTotal
100003,2,1251000000002,1002,10002,1252000100001,1253000100001,ChargeEventShopChargeDaily
100003,3,1251000000003,1003,10003,1252000100001,1253000100001,ChargeEventShopConsumeTotal
100003,4,1251000000004,1004,10004,1252000100001,1253000100001,ChargeEventShopConsumeDaily
