Id,EffectType,EffectParam,EffectGrowth1,EffectGrowth2,ExceptNpcGrade,ExceptPlayer,ApplyCastPlayer,PointCount
1001,Stun,,,,,0,0,
1002,Stun,,,,,0,0,
1003,Stun,,,,,0,0,
1004,Invincible,,,,,0,0,
1004,CCResistRate,"10000,  10000",,,,0,0,
1005,Invincible,,,,,0,0,
1005,CCResistRate,"10000,  10000",,,Icon_Buff_CriticalRate,0,0,
1011,Stun,,,,,0,0,
10111,Stun,,,,,0,0,
10122,MoveSpeedMul,"-4000, -5000",1,1,,0,0,
11211,AggroMul,"5000, 7000",,,,0,0,
112124,TargetFix,,,,,0,0,
112125,AttackPowerPhy,"-27, -5764",1.3,1,,0,0,
112126,TargetFix,,,,,1,0,
11213,DamageReflectionRate,"3000, 5000",1,1,,0,0,
11213,DefensePowerPhyMul,"4000, 6000",1.3,1,,0,0,
11213,DefensePowerMagMul,"4000, 6000",1.3,1,,0,0,
11221,DefensePowerPhy,"-100, -5150",1.3,1,,0,0,
11222,Stun,,,,,0,0,
112231,IncreaseSkillHitCount,"3, 3",1,1,,0,0,
112231,AttackSpeedMul,"300, 600",1,1,,0,0,3
11231,HitRate,"-3500, -5000",1,1,,0,0,
11232,Stun,,,,,0,0,
112331,AttackSpeedMul,"2000, 3000",1,1,,0,0,
112332,DodgeValueMul,"4500, 6500",1,1,,0,0,
11242,MoveSpeedMul,"-2000, -5000",1,1,,0,0,
11243,IncreaseSkillRange,"400, 400",1,1,,0,0,
11243,AttackPowerPhyMul,"3000, 5000",1.4,1,,0,0,
11243,HitValue,"233, 5317",1.5,1,,0,0,
11244,CriticalValue,"260, 14138",1.5,1,,0,0,
11244,IncreaseDamagePhyMul,"500, 1000",1,1,,0,0,3
11244,IncreaseDamageMagMul,"500, 1000",1,1,,0,0,3
11251,DotDamageMag,"12, 3016, 100, 100",1.3,1,,0,0,
112531,MPCostMul,"-5000, -2000",1,1,,0,0,
112531,NormalSkillDamageMul,"1500, 3000",1,1,,0,0,
11261,Stun,,,,,0,0,
11262,DotHeal,"582, 34632, 1500, 2500",1.35,1,,0,0,
12211,AggroMul,"3000, 3000",,,,0,0,
122121,IncreaseHealMul,"-5000, -5000",1,1,,0,0,
122131,Invincible,,,,,0,0,
122132,MoveSpeedMul,"3000, 5000",1,1,,0,0,
12221,MoveSpeedMul,"-2000, -4000",1,1,,0,0,
122231,AttackPowerPhy,"331, 18725",1.5,1,,0,0,
122231,AttackPowerMag,"331, 18725",1.5,1,,0,0,
122231,DefensePowerPhy,"331, 18725",1.5,1,,0,0,
122231,DefensePowerMag,"331, 18725",1.5,1,,0,0,
122241,CriticalRate,"700, 1500",1,1,,0,0,
122241,CriticalDamageMul,"1000, 2500",1,1,,0,0,
12231,DefensePowerPhyMul,"-1500, -2500",1,1,,0,0,
12231,DefensePowerMagMul,"-1500, -2500",1,1,,0,0,
12231,AttackSpeedMul,"-2000, -3500",1,1,,0,0,
12231,MoveSpeedMul,"-5000, -8000",1,1,,0,0,
12232,Stun,,,,,0,0,
