Id,GroupId,NameKey,PortraitTexture,MessageKey,Duration,Delay,Sound,GuideOnly,Type
1,1,10060024,DarkElf_Male_01,122000000001,3,,,0,Mini
2,2,121000000002,Human_Male_01,122000000002,3,,,0,Mini
3,2,10060015,Elf_Female_01,122000000003,3,,,0,Mini
4,2,121000000002,Human_Male_01,122000000004,3,6,,0,Mini
5,2,10060015,Elf_Female_01,122000000005,3,6,,0,Mini
6,3,0,,122000000006,1.5,,,0,Max
7,3,0,,122000000007,1.5,1,,0,Max
8,3,0,,122000000008,2,1,,0,Max
9,4,121000000002,Human_Male_01,122000000009,3,,,0,Mini
10,5,121000000002,Human_Male_01,122000000010,3,,,0,Mini
11,6,0,,122000000011,0.961,0.712,,0,Max
12,6,0,,122000000012,2.075,5.606,,0,Max
13,6,0,,122000000013,2.881,3.284,,0,Max
14,7,0,,122000000014,1.177,0,,0,Max
15,7,0,,122000000015,3.934,0.572,,0,Max
16,7,0,,122000000016,0.639,7.869,,0,Max
17,7,0,,122000000017,2.657,0,,0,Max
18,8,0,,122000000018,1.97,0,,0,Max
19,9,0,,122000000019,1.677,0,,0,Max
20,9,0,,122000000020,1.94,0.455,,0,Max
21,9,0,,122000000021,0.982,0,,0,Max
22,9,0,,122000000022,2.406,0.203,,0,Max
23,10,0,,122000000023,2.369,1.472,,0,Max
24,10,0,,122000000024,2.8,2.297,,0,Max
25,10,0,,122000000025,1.292,0,,0,Max
26,10,0,,122000000026,2.154,1.831,,0,Max
27,10,0,,122000000027,2.872,0.897,,0,Max
28,11,0,,122000000028,3.338,0,,0,Max
29,11,0,,122000000029,2.28,0,,0,Max
30,11,0,,122000000030,1.344,0.122,,0,Max
31,11,0,,122000000031,1.221,0,,0,Max
32,11,0,,122000000032,1.384,4.519,,0,Max
33,12,0,,122000000033,1.598,0,,0,Max
34,12,0,,122000000034,1.096,0.299,,0,Max
35,12,0,,122000000035,1.004,17.399,,0,Max
36,13,0,,122000000036,1.581,3.076,,0,Max
37,13,0,,122000000037,2.905,0.641,,0,Max
38,13,0,,122000000038,0.555,1.367,,0,Max
39,13,0,,122000000039,0.812,6.323,,0,Max
40,13,0,,122000000040,1.495,0,,0,Max
41,13,0,,122000000041,2.649,0,,0,Max
42,14,0,,122000000042,2.371,0,,0,Max
43,14,0,,122000000043,1.869,0,,0,Max
44,14,0,,122000000044,2.946,2.658,,0,Max
