Level,ContentsType,RewardType1,RewardCount1,RewardCount2
1,MissionDaily,Exp,360,510
1,MissionDaily,Adena,350,500
2,MissionDaily,Exp,460,660
2,MissionDaily,Adena,350,500
3,MissionDaily,Exp,520,740
3,MissionDaily,Adena,350,500
4,MissionDaily,Exp,570,810
4,MissionDaily,Adena,350,500
5,MissionDaily,Exp,720,1030
5,MissionDaily,Adena,350,500
6,MissionDaily,Exp,880,1250
6,MissionDaily,Adena,350,500
7,MissionDaily,Exp,1180,1690
7,MissionDaily,Adena,350,500
8,MissionDaily,Exp,1650,2350
8,MissionDaily,Adena,350,500
9,MissionDaily,Exp,2210,3160
9,MissionDaily,Adena,350,500
10,MissionDaily,Exp,3080,4400
10,MissionDaily,Adena,350,500
11,MissionDaily,Exp,4410,6300
11,MissionDaily,Adena,350,500
12,MissionDaily,Exp,5530,7900
12,MissionDaily,Adena,350,500
13,MissionDaily,Exp,1330,1900
13,MissionDaily,Adena,350,500
14,MissionDaily,Exp,1470,2100
14,MissionDaily,Adena,350,500
15,MissionDaily,Exp,1820,2600
15,MissionDaily,Adena,350,500
16,MissionDaily,Exp,2240,3200
16,MissionDaily,Adena,350,500
17,MissionDaily,Exp,2660,3800
17,MissionDaily,Adena,350,500
18,MissionDaily,Exp,3220,4600
18,MissionDaily,Adena,350,500
19,MissionDaily,Exp,3780,5400
19,MissionDaily,Adena,350,500
20,MissionDaily,Exp,4410,6300
20,MissionDaily,Adena,350,500
21,MissionDaily,Exp,4900,7000
21,MissionDaily,Adena,350,500
22,MissionDaily,Exp,5530,7900
22,MissionDaily,Adena,350,500
23,MissionDaily,Exp,6020,8600
23,MissionDaily,Adena,350,500
24,MissionDaily,Exp,6510,9300
24,MissionDaily,Adena,350,500
25,MissionDaily,Exp,6860,9800
25,MissionDaily,Adena,350,500
26,MissionDaily,Exp,6930,9900
26,MissionDaily,Adena,350,500
27,MissionDaily,Exp,6860,9800
27,MissionDaily,Adena,350,500
28,MissionDaily,Exp,6510,9300
28,MissionDaily,Adena,350,500
29,MissionDaily,Exp,7630,10900
29,MissionDaily,Adena,350,500
30,MissionDaily,Exp,8890,12700
30,MissionDaily,Adena,350,500
31,MissionDaily,Exp,9170,13100
31,MissionDaily,Adena,350,500
32,MissionDaily,Exp,9800,14000
32,MissionDaily,Adena,350,500
33,MissionDaily,Exp,10150,14500
33,MissionDaily,Adena,350,500
34,MissionDaily,Exp,10360,14800
34,MissionDaily,Adena,350,500
35,MissionDaily,Exp,10360,14800
35,MissionDaily,Adena,530,750
36,MissionDaily,Exp,10990,15700
36,MissionDaily,Adena,530,750
37,MissionDaily,Exp,11480,16400
37,MissionDaily,Adena,530,750
38,MissionDaily,Exp,11550,16500
38,MissionDaily,Adena,530,750
39,MissionDaily,Exp,11970,17100
39,MissionDaily,Adena,530,750
40,MissionDaily,Exp,12320,17600
40,MissionDaily,Adena,530,750
41,MissionDaily,Exp,12600,18000
41,MissionDaily,Adena,530,750
42,MissionDaily,Exp,12810,18300
42,MissionDaily,Adena,530,750
43,MissionDaily,Exp,13090,18700
43,MissionDaily,Adena,530,750
44,MissionDaily,Exp,13090,18700
44,MissionDaily,Adena,530,750
45,MissionDaily,Exp,13230,18900
45,MissionDaily,Adena,530,750
46,MissionDaily,Exp,13370,19100
46,MissionDaily,Adena,530,750
47,MissionDaily,Exp,13370,19100
47,MissionDaily,Adena,530,750
48,MissionDaily,Exp,13440,19200
48,MissionDaily,Adena,530,750
49,MissionDaily,Exp,13510,19300
49,MissionDaily,Adena,530,750
50,MissionDaily,Exp,13580,19400
50,MissionDaily,Adena,530,750
51,MissionDaily,Exp,13580,19400
51,MissionDaily,Adena,530,750
52,MissionDaily,Exp,13650,19500
52,MissionDaily,Adena,530,750
53,MissionDaily,Exp,13650,19500
53,MissionDaily,Adena,530,750
54,MissionDaily,Exp,13650,19500
54,MissionDaily,Adena,530,750
55,MissionDaily,Exp,13650,19500
55,MissionDaily,Adena,530,750
56,MissionDaily,Exp,13650,19500
56,MissionDaily,Adena,530,750
57,MissionDaily,Exp,13650,19500
57,MissionDaily,Adena,530,750
58,MissionDaily,Exp,13650,19500
58,MissionDaily,Adena,530,750
59,MissionDaily,Exp,13650,19500
59,MissionDaily,Adena,530,750
60,MissionDaily,Exp,13650,19500
60,MissionDaily,Adena,530,750
61,MissionDaily,Exp,13650,19500
61,MissionDaily,Adena,530,750
62,MissionDaily,Exp,13650,19500
62,MissionDaily,Adena,530,750
63,MissionDaily,Exp,13650,19500
63,MissionDaily,Adena,530,750
64,MissionDaily,Exp,13650,19500
64,MissionDaily,Adena,530,750
65,MissionDaily,Exp,13650,19500
65,MissionDaily,Adena,530,750
66,MissionDaily,Exp,13650,19500
66,MissionDaily,Adena,530,750
67,MissionDaily,Exp,13650,19500
67,MissionDaily,Adena,530,750
68,MissionDaily,Exp,13650,19500
68,MissionDaily,Adena,530,750
69,MissionDaily,Exp,13720,19600
69,MissionDaily,Adena,530,750
70,MissionDaily,Exp,13720,19600
70,MissionDaily,Adena,530,750
71,MissionDaily,Exp,13720,19600
71,MissionDaily,Adena,530,750
72,MissionDaily,Exp,13720,19600
72,MissionDaily,Adena,530,750
73,MissionDaily,Exp,13720,19600
73,MissionDaily,Adena,530,750
74,MissionDaily,Exp,13790,19700
74,MissionDaily,Adena,530,750
75,MissionDaily,Exp,13790,19700
75,MissionDaily,Adena,530,750
76,MissionDaily,Exp,13860,19800
76,MissionDaily,Adena,530,750
77,MissionDaily,Exp,13860,19800
77,MissionDaily,Adena,530,750
78,MissionDaily,Exp,13930,19900
78,MissionDaily,Adena,530,750
79,MissionDaily,Exp,14000,20000
79,MissionDaily,Adena,530,750
80,MissionDaily,Exp,14070,20100
80,MissionDaily,Adena,530,750
81,MissionDaily,Exp,14140,20200
81,MissionDaily,Adena,530,750
82,MissionDaily,Exp,14210,20300
82,MissionDaily,Adena,530,750
83,MissionDaily,Exp,14210,20300
83,MissionDaily,Adena,530,750
84,MissionDaily,Exp,14210,20300
84,MissionDaily,Adena,530,750
85,MissionDaily,Exp,14280,20400
85,MissionDaily,Adena,530,750
86,MissionDaily,Exp,14350,20500
86,MissionDaily,Adena,530,750
87,MissionDaily,Exp,14420,20600
87,MissionDaily,Adena,530,750
88,MissionDaily,Exp,14560,20800
88,MissionDaily,Adena,530,750
89,MissionDaily,Exp,14700,21000
89,MissionDaily,Adena,530,750
90,MissionDaily,Exp,14840,21200
90,MissionDaily,Adena,530,750
91,MissionDaily,Exp,15050,21500
91,MissionDaily,Adena,530,750
92,MissionDaily,Exp,15260,21800
92,MissionDaily,Adena,530,750
93,MissionDaily,Exp,15470,22100
93,MissionDaily,Adena,530,750
94,MissionDaily,Exp,15750,22500
94,MissionDaily,Adena,700,1000
95,MissionDaily,Exp,16030,22900
95,MissionDaily,Adena,700,1000
96,MissionDaily,Exp,16380,23400
96,MissionDaily,Adena,700,1000
97,MissionDaily,Exp,16730,23900
97,MissionDaily,Adena,700,1000
98,MissionDaily,Exp,17150,24500
98,MissionDaily,Adena,700,1000
99,MissionDaily,Exp,17570,25100
99,MissionDaily,Adena,700,1000
