Level,ItemId,Icon,NameKey,DescKey
5,492011,Icon_Box_Dia_04,511000492011,512000492011
10,492002,Icon_Box_Adena_01,511000492011,512000492011
15,492002,Icon_Box_Adena_01,511000492011,512000492011
20,492012,Icon_Box_Dia_04,511000492011,512000492011
25,492033,Icon_Box_Honor_01,511000492011,512000492011
26,492003,Icon_Box_Adena_01,511000492011,512000492011
27,492003,Icon_Box_Adena_01,511000492011,512000492011
28,492003,Icon_Box_Adena_01,511000492011,512000492011
29,492022,Icon_Box_Achievement_01,511000492011,512000492011
30,910254,Icon_Shop_Gacha_Weapon_01,511000492011,512000492011
31,492003,Icon_Box_Adena_01,511000492011,512000492011
32,492003,Icon_Box_Adena_01,511000492011,512000492011
33,492003,Icon_Box_Adena_01,511000492011,512000492011
34,492003,Icon_Box_Adena_01,511000492011,512000492011
35,910124,Icon_GachaItem_AccA,511000492011,512000492011
36,492003,Icon_Box_Adena_01,511000492011,512000492011
37,492003,Icon_Box_Adena_01,511000492011,512000492011
38,492003,Icon_Box_Adena_01,511000492011,512000492011
39,492003,Icon_Box_Adena_01,511000492011,512000492011
40,492031,Icon_Box_Honor_01,511000492011,512000492011
41,492003,Icon_Box_Adena_01,511000492011,512000492011
42,492003,Icon_Box_Adena_01,511000492011,512000492011
43,492003,Icon_Box_Adena_01,511000492011,512000492011
44,492003,Icon_Box_Adena_01,511000492011,512000492011
45,492021,Icon_Box_Achievement_01,511000492011,512000492011
46,492003,Icon_Box_Adena_01,511000492011,512000492011
47,492003,Icon_Box_Adena_01,511000492011,512000492011
48,492003,Icon_Box_Adena_01,511000492011,512000492011
49,492003,Icon_Box_Adena_01,511000492011,512000492011
50,492014,Icon_Box_Dia_04,511000492011,512000492011
51,492003,Icon_Box_Adena_01,511000492011,512000492011
52,492003,Icon_Box_Adena_01,511000492011,512000492011
53,492003,Icon_Box_Adena_01,511000492011,512000492011
54,492003,Icon_Box_Adena_01,511000492011,512000492011
55,492031,Icon_Box_Honor_01,511000492011,512000492011
56,492003,Icon_Box_Adena_01,511000492011,512000492011
57,492003,Icon_Box_Adena_01,511000492011,512000492011
58,492003,Icon_Box_Adena_01,511000492011,512000492011
59,492003,Icon_Box_Adena_01,511000492011,512000492011
60,492021,Icon_Box_Achievement_01,511000492011,512000492011
61,492004,Icon_Box_Adena_01,511000492011,512000492011
62,492004,Icon_Box_Adena_01,511000492011,512000492011
63,492004,Icon_Box_Adena_01,511000492011,512000492011
64,492004,Icon_Box_Adena_01,511000492011,512000492011
65,492015,Icon_Box_Dia_04,511000492011,512000492011
66,492004,Icon_Box_Adena_01,511000492011,512000492011
67,492004,Icon_Box_Adena_01,511000492011,512000492011
68,492004,Icon_Box_Adena_01,511000492011,512000492011
69,492004,Icon_Box_Adena_01,511000492011,512000492011
70,492032,Icon_Box_Honor_01,511000492011,512000492011
71,492004,Icon_Box_Adena_01,511000492011,512000492011
72,492004,Icon_Box_Adena_01,511000492011,512000492011
73,492004,Icon_Box_Adena_01,511000492011,512000492011
74,492004,Icon_Box_Adena_01,511000492011,512000492011
75,492022,Icon_Box_Achievement_01,511000492011,512000492011
76,492004,Icon_Box_Adena_01,511000492011,512000492011
77,492004,Icon_Box_Adena_01,511000492011,512000492011
78,492004,Icon_Box_Adena_01,511000492011,512000492011
79,492004,Icon_Box_Adena_01,511000492011,512000492011
80,492016,Icon_Box_Dia_04,511000492011,512000492011
81,492005,Icon_Box_Adena_01,511000492011,512000492011
82,492005,Icon_Box_Adena_01,511000492011,512000492011
83,492005,Icon_Box_Adena_01,511000492011,512000492011
84,492005,Icon_Box_Adena_01,511000492011,512000492011
85,492032,Icon_Box_Honor_01,511000492011,512000492011
86,492005,Icon_Box_Adena_01,511000492011,512000492011
87,492005,Icon_Box_Adena_01,511000492011,512000492011
88,492005,Icon_Box_Adena_01,511000492011,512000492011
89,492005,Icon_Box_Adena_01,511000492011,512000492011
90,492022,Icon_Box_Achievement_01,511000492011,512000492011
91,492005,Icon_Box_Adena_01,511000492011,512000492011
92,492005,Icon_Box_Adena_01,511000492011,512000492011
93,492005,Icon_Box_Adena_01,511000492011,512000492011
94,492005,Icon_Box_Adena_01,511000492011,512000492011
95,492017,Icon_Box_Dia_04,511000492011,512000492011
96,492005,Icon_Box_Adena_01,511000492011,512000492011
97,492005,Icon_Box_Adena_01,511000492011,512000492011
98,492005,Icon_Box_Adena_01,511000492011,512000492011
99,492005,Icon_Box_Adena_01,511000492011,512000492011
100,492033,Icon_Box_Honor_01,511000492011,512000492011
101,492006,Icon_Box_Adena_01,511000492011,512000492011
102,492006,Icon_Box_Adena_01,511000492011,512000492011
103,492006,Icon_Box_Adena_01,511000492011,512000492011
104,492006,Icon_Box_Adena_01,511000492011,512000492011
105,492023,Icon_Box_Achievement_01,511000492011,512000492011
106,492006,Icon_Box_Adena_01,511000492011,512000492011
107,492006,Icon_Box_Adena_01,511000492011,512000492011
108,492006,Icon_Box_Adena_01,511000492011,512000492011
109,492006,Icon_Box_Adena_01,511000492011,512000492011
110,492018,Icon_Box_Dia_04,511000492011,512000492011
111,492006,Icon_Box_Adena_01,511000492011,512000492011
112,492006,Icon_Box_Adena_01,511000492011,512000492011
113,492006,Icon_Box_Adena_01,511000492011,512000492011
114,492006,Icon_Box_Adena_01,511000492011,512000492011
115,492033,Icon_Box_Honor_01,511000492011,512000492011
116,492006,Icon_Box_Adena_01,511000492011,512000492011
117,492006,Icon_Box_Adena_01,511000492011,512000492011
118,492006,Icon_Box_Adena_01,511000492011,512000492011
119,492006,Icon_Box_Adena_01,511000492011,512000492011
120,492023,Icon_Box_Achievement_01,511000492011,512000492011
121,492007,Icon_Box_Adena_01,511000492011,512000492011
122,492007,Icon_Box_Adena_01,511000492011,512000492011
123,492007,Icon_Box_Adena_01,511000492011,512000492011
124,492007,Icon_Box_Adena_01,511000492011,512000492011
125,492019,Icon_Box_Dia_04,511000492011,512000492011
126,492007,Icon_Box_Adena_01,511000492011,512000492011
127,492007,Icon_Box_Adena_01,511000492011,512000492011
128,492007,Icon_Box_Adena_01,511000492011,512000492011
129,492007,Icon_Box_Adena_01,511000492011,512000492011
130,492033,Icon_Box_Honor_01,511000492011,512000492011
131,492007,Icon_Box_Adena_01,511000492011,512000492011
132,492007,Icon_Box_Adena_01,511000492011,512000492011
133,492007,Icon_Box_Adena_01,511000492011,512000492011
134,492007,Icon_Box_Adena_01,511000492011,512000492011
135,492023,Icon_Box_Achievement_01,511000492011,512000492011
136,492007,Icon_Box_Adena_01,511000492011,512000492011
137,492007,Icon_Box_Adena_01,511000492011,512000492011
138,492007,Icon_Box_Adena_01,511000492011,512000492011
139,492007,Icon_Box_Adena_01,511000492011,512000492011
140,492020,Icon_Box_Dia_04,511000492011,512000492011
141,492007,Icon_Box_Adena_01,511000492011,512000492011
142,492007,Icon_Box_Adena_01,511000492011,512000492011
143,492007,Icon_Box_Adena_01,511000492011,512000492011
144,492007,Icon_Box_Adena_01,511000492011,512000492011
145,492033,Icon_Box_Honor_01,511000492011,512000492011
146,492007,Icon_Box_Adena_01,511000492011,512000492011
147,492007,Icon_Box_Adena_01,511000492011,512000492011
148,492007,Icon_Box_Adena_01,511000492011,512000492011
149,492007,Icon_Box_Adena_01,511000492011,512000492011
150,492023,Icon_Box_Achievement_01,511000492011,512000492011
151,492007,Icon_Box_Adena_01,511000492011,512000492011
152,492007,Icon_Box_Adena_01,511000492011,512000492011
153,492007,Icon_Box_Adena_01,511000492011,512000492011
154,492007,Icon_Box_Adena_01,511000492011,512000492011
155,492101,Icon_Box_Dia_04,511000492011,512000492011
156,492007,Icon_Box_Adena_01,511000492011,512000492011
157,492007,Icon_Box_Adena_01,511000492011,512000492011
158,492007,Icon_Box_Adena_01,511000492011,512000492011
159,492007,Icon_Box_Adena_01,511000492011,512000492011
160,492033,Icon_Box_Honor_01,511000492011,512000492011
161,492007,Icon_Box_Adena_01,511000492011,512000492011
162,492007,Icon_Box_Adena_01,511000492011,512000492011
163,492007,Icon_Box_Adena_01,511000492011,512000492011
164,492007,Icon_Box_Adena_01,511000492011,512000492011
165,492113,Icon_Box_Dia_04,511000492011,512000492011
166,492007,Icon_Box_Adena_01,511000492011,512000492011
