GuildRecordType,GroupType,GuildRecordStringKey
DonationAdena,Donate,581000000001
DonationBloodCrystal,Donate,581000000002
BuffLevelUp,Growth,581000000003
GuildLevelUp,Growth,581000000004
HostileGuildWarDeclarations,Diplomacy,581000000005
GuildAlliance,Diplomacy,581000000006
GuildDestructionAlliance,Diplomacy,581000000007
GuildMemberGradeChange,Growth,581000000008
GuildMemberJoin,Growth,581000000009
GuildMemberWithdrawal,Growth,581000000010
GuildCastleCommissionReward,Grant,581000000011
GuildRaidClear,Activity,581000000012
GuildQuestClear,Activity,581000000013
CastleAcquired,Activity,581000000014
FortressAcquired,Activity,581000000014
Gift,Grant,581000000015
GrantOne,Grant,581000000016
GrantAll,Grant,581000000017
HostileWarWin,Diplomacy,581000000018
HostileWarLose,Diplomacy,581000000019
HostileWarDraw,Diplomacy,581000000020
MarketBuy,Grant,581000000021
DonationRedStarStone,Donate,581000000022
GuildMasterAbsent,Growth,581000000023
AgitBuy,Growth,581000000024
AgitLevelUp,Growth,581000000025
AgitCrystalLevelUp,Growth,581000000026
FortressGiveUpReserve,Activity,581000000027
FortressGiveUp,Activity,581000000028
HostileWarEndAgreement,Diplomacy,581000000029
