Id,GroupId,Param1,NameKey,DescriptionKey,Tire,Type,Grade,MaxLevel,LevelMatchGroupId,MinCastDistance,MaxCastDistance,PrevSkillId,FireCount,FireCondition,FireCondParam1,FireRate,MoveActionSpeed,LightningEffectInfoId,Attachable,MpMin,MpMax,MpGrowth,EffectApplyType,CastingTime,CoolTimeMin,PlaceType,CollisionUnitType,CollisionUnitParam,TargetType,IgnoreHitRate,MaxTargetCount,OffsetDistance,OffsetAngle,EffectFireConditionType,TotalTime,EffectFireConditionParam,AggroWeight,SkillDamageRatio,Animation,Rotatable,WeaponDependent,CameraShake,CameraShakeIntensity,CameraShakeObject,EffectDescriptionKey,Texture,HitFX,HitSocket,DirAlign,DirAlignRange,AddForceOnKill,Sound,BasicAttack,DetailType,ShowSkillArea,DashStart,SkillDialogueKey,AvailableUnderCC,SkillDialogGroupId,IsStunCancel,GroupRandomFireRate
1101,1101,1,0,292000001101,-1,Active,Max,,,0,200,,1,None,,,,,0,0,0,1,,0,1,CasterPosition,Fan,"""radius"":250,""angle"":120",Enemy,0,3,0,0,Time,667,433,1.2,6720,Attack_Sword_A,0,000001,Shake_UpAndDown,1,Caster,0,,,,1,2,0,,1,Attack,0,1,0,0,,0,10000
1102,1102,2,0,292000001101,-1,Active,Max,,,0,200,,1,None,,,,,0,0,0,1,,0,1,CasterPosition,Fan,"""radius"":250,""angle"":120",Enemy,0,3,0,0,Time,567,367,1.2,5712,Attack_Sword_B,0,000001,Shake_UpAndDown,1,Caster,0,,,,1,2,0,,1,Attack,0,0,0,0,,0,10000
1103,1103,3,0,292000001101,-1,Active,Max,,,0,200,,1,None,,,,,0,0,0,1,,0,1,CasterPosition,Fan,"""radius"":250,""angle"":120",Enemy,0,3,0,0,Time,667,333,1.2,6720,Attack_Sword_C,0,000001,Shake_UpAndDown,1,Caster,0,,,,1,2,0,,1,Attack,0,0,0,0,,0,10000
1104,1104,4,0,292000001101,-1,Active,Max,,,0,200,,1,None,,,,,0,0,0,1,,0,1,CasterPosition,Fan,"""radius"":250,""angle"":120",Enemy,0,3,0,0,Time,567,400,1.2,5712,Attack_Sword_D,0,000001,Shake_UpAndDown,1,Caster,0,,,,1,2,0,,1,Attack,0,0,0,0,,0,10000
1105,1105,5,0,292000001101,-1,Active,Max,,,0,200,,1,None,,,,,0,0,0,1,,0,1,CasterPosition,Fan,"""radius"":250,""angle"":120",Enemy,0,3,0,0,Time,567,367,1.2,5712,Attack_Sword_E,0,000001,Shake_UpAndDown,2,Caster,0,,,,1,2,0,,1,Attack,0,0,0,0,,0,10000
1106,1106,6,0,292000001101,-1,Active,Max,,,0,200,,1,None,,,,,0,0,0,1,,0,1,CasterPosition,Fan,"""radius"":250,""angle"":120",Enemy,0,3,0,0,Time,1267,667,1.2,12768,Attack_Sword_F,0,000001,Shake_UpAndDown,3,Caster,0,,,,1,2,0,,1,Attack,0,0,0,0,,0,10000
1201,1201,1,0,292000001101,-1,Active,Max,,,0,200,,1,None,,,,,0,0,0,1,,0,1,CasterPosition,Fan,"""radius"":250,""angle"":120",Enemy,0,3,0,0,Time,567,367,1.2,5712,Attack_Sword_A,0,000001,Shake_UpAndDown,1,Caster,0,,,,1,2,0,,1,Attack,0,1,0,0,,0,10000
1202,1202,2,0,292000001101,-1,Active,Max,,,0,200,,1,None,,,,,0,0,0,1,,0,1,CasterPosition,Fan,"""radius"":250,""angle"":120",Enemy,0,3,0,0,Time,433,300,1.2,4368,Attack_Sword_B,0,000001,Shake_UpAndDown,1,Caster,0,,,,1,2,0,,1,Attack,0,0,0,0,,0,10000
1203,1203,3,0,292000001101,-1,Active,Max,,,0,200,,1,None,,,,,0,0,0,1,,0,1,CasterPosition,Fan,"""radius"":250,""angle"":120",Enemy,0,3,0,0,Time,567,400,1.2,5712,Attack_Sword_C,0,000001,Shake_UpAndDown,1,Caster,0,,,,1,2,0,,1,Attack,0,0,0,0,,0,10000
1204,1204,4,0,292000001101,-1,Active,Max,,,0,200,,1,None,,,,,0,0,0,1,,0,1,CasterPosition,Fan,"""radius"":250,""angle"":120",Enemy,0,3,0,0,Time,633,300,1.2,6384,Attack_Sword_D,0,000001,Shake_UpAndDown,1,Caster,0,,,,1,2,0,,1,Attack,0,0,0,0,,0,10000
