Id,PvpResultType,RewardType,RewardItemInfoId,RewardCount,RewardIcon
101,Win,Adena,,1000,
101,Lose,Adena,,1000,
101,Draw,Adena,,1000,
102,Win,Adena,,1000,
102,Lose,Adena,,1000,
102,Draw,Adena,,1000,
103,Win,Adena,,1000,
103,Lose,Adena,,1000,
103,Draw,Adena,,1000,
104,Win,Adena,,2000,
104,Lose,Adena,,2000,
104,Draw,Adena,,2000,
105,Win,Adena,,2000,
105,Lose,Adena,,2000,
105,Draw,Adena,,2000,
106,Win,Adena,,2000,
106,Lose,Adena,,2000,
106,Draw,Adena,,2000,
107,Win,Adena,,3000,
107,Lose,Adena,,3000,
107,Draw,Adena,,3000,
108,Win,Adena,,3000,
108,Lose,Adena,,3000,
108,Draw,Adena,,3000,
