Id,Resource,MaxSpeed
1,BP_BlackBear_01,800
2,BP_BlackBear_02,800
3,BP_BlackBear_03,800
4,BP_BlackBear_04,800
5,BP_BlackBear_05,800
6,BP_BlackBear_06,800
7,BP_KnightHorse_01,900
8,BP_KnightHorse_02,900
9,BP_KnightHorse_03,900
10,BP_KnightHorse_04,900
11,BP_KnightHorse_05,900
12,BP_KnightHorse_06,900
13,BP_Kukurin_01,1000
14,BP_Kukurin_02,1000
15,BP_Kukurin_03,1000
16,BP_Kukurin_04,1000
17,BP_Kukurin_05,1000
18,BP_Kukurin_06,1000
19,BP_ManedLion_01,1100
20,BP_ManedLion_02,1100
21,BP_ManedLion_03,1100
22,BP_ManedLion_04,1100
23,BP_ManedLion_05,1100
24,BP_ManedLion_06,1100
25,BP_Strider_01,1200
26,BP_Strider_02,1200
27,BP_Strider_03,1200
28,BP_Strider_04,1200
29,BP_Strider_05,1200
30,BP_Strider_06,1200
