Id,Type,Grade,NameKey,ActivityType,ActivityVolatile,ActivityCondition1,ActivityCondition2,StatType1,StatValue1,StatType2,StatValue2,StatType3,StatValue3,StatType4,StatValue4,TitleIcon,TitleIcon2,FontColor,ReplaceString1Key,DescriptionKey,DisplayHide,BattlePointRating
1000100,Special,Normal,1061001000100,PlayerBattlePointRanking,0,10000000,,MaxHP,147,,0,,0,,0,UI_CharacterTitle01,,B7B7B7FF,0,1062001000100,0,220
1000800,Special,Normal,1061001000800,PvpRanking,0,10000,,MaxMP,164,,0,,0,,0,UI_CharacterTitle01,,B7B7B7FF,0,1062001000800,0,164
1000900,Special,Normal,1061001000900,PlayerBattlePointRanking,0,10000,,HPRecovery,87,,0,,0,,0,UI_CharacterTitle01,,B7B7B7FF,0,1062001000900,0,17
1001000,Special,Normal,1061001001000,PlayerLevelRanking,0,10000,,MPRecovery,87,,0,,0,,0,UI_CharacterTitle01,,B7B7B7FF,0,1062001001000,0,13
2000200,Special,Magic,1061002000200,PvpRanking,0,5000,,DefensePowerPhy,168,DefensePowerMag,168,,0,,0,UI_CharacterTitle02,,D2FFA5FF,0,1062001000800,0,504
2000300,Special,Magic,1061002000300,PlayerBattlePointRanking,0,5000,,MaxHP,246,HPRecovery,122,,0,,0,UI_CharacterTitle02,,D2FFA5FF,0,1062001000900,0,393
2000400,Special,Magic,1061002000400,PlayerLevelRanking,0,5000,,MaxMP,246,MPRecovery,122,,0,,0,UI_CharacterTitle02,,D2FFA5FF,0,1062001001000,0,264
3000200,Special,Rare,1061003000200,PvpRanking,0,100,,DefensePowerPhy,307,DefensePowerMag,307,MPRecovery,187,,0,UI_CharacterTitle03,,C5EFFFFF,0,1062001000800,0,949
3000300,Special,Rare,1061003000300,PlayerBattlePointRanking,0,100,,MaxHP,370,Penetration,106,HitValue,354,,0,UI_CharacterTitle03,,C5EFFFFF,0,1062001000900,0,1121
3000500,Special,Rare,1061003000500,PlayerLevelRanking,0,100,,MaxHP,366,Penetration,104,AddIgnoreDefenseDamage,9,,0,UI_CharacterTitle03,,C5EFFFFF,0,1062001001000,0,779
3100100,Special,Rare,1061003100100,FortressOccupationAssistantMaster,1,,,AttackPowerPhy,297,AttackPowerMag,297,HPRecovery,207,,0,UI_CharacterTitle05_Frame_FortressKing,UI_CharacterTitle05_Icon_FortressKing,C5EFFFFF,0,1062003100100,0,1526
3100200,Special,Rare,1061003100200,FortressOccupationMember,1,,,DefensePowerPhy,342,DefensePowerMag,342,MPRecovery,207,,0,UI_CharacterTitle05_Frame_FortressKing,UI_CharacterTitle05_Icon_FortressKing,C5EFFFFF,0,1062003100101,0,1057
4100100,Special,Hero,1061004100100,FortressOccupationMaster,1,,,AttackPowerPhy,477,AttackPowerMag,477,HitValue,545,HPRecovery,291,UI_CharacterTitle05_Frame_FortressKing,UI_CharacterTitle05_Icon_FortressKing,FFC9F8FF,0,1062003100102,0,2988
4100500,Special,Hero,1061004100500,CastleOccupationAssistantMaster,1,1,Darkness,AttackPowerPhy,485,AttackPowerMag,485,HitValue,554,HPRecovery,296,UI_CharacterTitle05_Frame_CastleAssistantRuler_Dark,UI_CharacterTitle05_Icon_CastleRuler_Gludior,ED1C24FF,1069004100500,1062004100500,0,3038
4100501,Special,Hero,1061004100501,CastleOccupationAssistantMaster,1,2,Darkness,AttackPowerPhy,485,AttackPowerMag,485,HitValue,554,HPRecovery,296,UI_CharacterTitle05_Frame_CastleAssistantRuler_Dark,UI_CharacterTitle05_Icon_CastleRuler_Dion,ED1C24FF,1069004100500,1062004100501,0,3038
4100502,Special,Hero,1061004100502,CastleOccupationAssistantMaster,1,3,Darkness,AttackPowerPhy,485,AttackPowerMag,485,HitValue,554,HPRecovery,296,UI_CharacterTitle05_Frame_CastleAssistantRuler_Dark,UI_CharacterTitle05_Icon_CastleRuler_Giran,ED1C24FF,1069004100500,1062004100502,0,3038
4100600,Special,Hero,1061004100600,CastleOccupationAssistantMaster,1,1,Light,DefensePowerPhy,558,DefensePowerMag,558,DodgeValue,554,MPRecovery,296,UI_CharacterTitle05_Frame_CastleAssistantRuler,UI_CharacterTitle05_Icon_CastleRuler_Gludior,FFC9F8FF,1069004100600,1062004100600,0,2272
4100601,Special,Hero,1061004100601,CastleOccupationAssistantMaster,1,2,Light,DefensePowerPhy,558,DefensePowerMag,558,DodgeValue,554,MPRecovery,296,UI_CharacterTitle05_Frame_CastleAssistantRuler,UI_CharacterTitle05_Icon_CastleRuler_Dion,FFC9F8FF,1069004100600,1062004100601,0,2272
4100602,Special,Hero,1061004100602,CastleOccupationAssistantMaster,1,3,Light,DefensePowerPhy,558,DefensePowerMag,558,DodgeValue,554,MPRecovery,296,UI_CharacterTitle05_Frame_CastleAssistantRuler,UI_CharacterTitle05_Icon_CastleRuler_Giran,FFC9F8FF,1069004100600,1062004100602,0,2272
4100700,Special,Hero,1061004100700,CastleOccupationMember,1,1,Darkness,MaxHP,545,Penetration,237,CriticalValue,594,AddIgnoreDefenseDamage,15,UI_CharacterTitle05_Frame_CastleGuardian_Dark,UI_CharacterTitle05_Icon_CastleRuler_Gludior,ED1C24FF,1069004100500,1062004100700,0,2220
4100701,Special,Hero,1061004100701,CastleOccupationMember,1,2,Darkness,MaxHP,545,Penetration,237,CriticalValue,594,AddIgnoreDefenseDamage,15,UI_CharacterTitle05_Frame_CastleGuardian_Dark,UI_CharacterTitle05_Icon_CastleRuler_Dion,ED1C24FF,1069004100500,1062004100701,0,2220
4100702,Special,Hero,1061004100702,CastleOccupationMember,1,3,Darkness,MaxHP,545,Penetration,237,CriticalValue,594,AddIgnoreDefenseDamage,15,UI_CharacterTitle05_Frame_CastleGuardian_Dark,UI_CharacterTitle05_Icon_CastleRuler_Giran,ED1C24FF,1069004100500,1062004100702,0,2220
4100800,Special,Hero,1061004100800,CastleOccupationMember,1,1,Light,MaxMP,545,Resilience,237,AntiCriticalValue,594,AddDecreaseDamage,15,UI_CharacterTitle05_Frame_CastleGuardian,UI_CharacterTitle05_Icon_CastleRuler_Gludior,FFC9F8FF,1069004100600,1062004100800,0,1947
4100801,Special,Hero,1061004100801,CastleOccupationMember,1,2,Light,MaxMP,545,Resilience,237,AntiCriticalValue,594,AddDecreaseDamage,15,UI_CharacterTitle05_Frame_CastleGuardian,UI_CharacterTitle05_Icon_CastleRuler_Dion,FFC9F8FF,1069004100600,1062004100801,0,1947
4100802,Special,Hero,1061004100802,CastleOccupationMember,1,3,Light,MaxMP,545,Resilience,237,AntiCriticalValue,594,AddDecreaseDamage,15,UI_CharacterTitle05_Frame_CastleGuardian,UI_CharacterTitle05_Icon_CastleRuler_Giran,FFC9F8FF,1069004100600,1062004100802,0,1947
4101000,Special,Hero,1061004101000,PvpRanking,1,10,,DefensePowerPhy,556,DefensePowerMag,556,DodgeValue,552,MPRecovery,294,UI_CharacterTitle04,,FFC9F8FF,0,1062004101000,0,2264
4101100,Special,Hero,1061004101100,PlayerBattlePointRanking,1,10,,MaxHP,543,Penetration,236,CriticalValue,591,AddIgnoreDefenseDamage,15,UI_CharacterTitle04,,FFC9F8FF,0,1062004101100,0,2210
4101200,Special,Hero,1061004101200,PlayerLevelRanking,1,10,,MaxMP,543,Resilience,236,AntiCriticalValue,591,AddDecreaseDamage,15,UI_CharacterTitle04,,FFC9F8FF,0,1062004101200,0,1939
5100200,Special,Legend,1061005100200,PvpRanking,1,1,,DefensePowerPhy,769,DefensePowerMag,769,DodgeValue,676,MPRecovery,375,UI_CharacterTitle05_Frame_RankOne_Challenge,UI_CharacterTitle05_Icon_RankOne_Challenge,FFE9AAFF,0,1062005100200,0,3039
5100300,Special,Legend,1061005100300,PlayerBattlePointRanking,1,1,,MaxHP,753,Penetration,360,CriticalValue,876,AddIgnoreDefenseDamage,22,UI_CharacterTitle05_Frame_RankOne_FightingPower,UI_CharacterTitle05_Icon_RankOne_FightingPower,FFE9AAFF,0,1062005100300,0,3218
5100400,Special,Legend,1061005100400,PlayerLevelRanking,1,1,,MaxMP,753,Resilience,360,AntiCriticalValue,876,AddDecreaseDamage,22,UI_CharacterTitle05_Frame_RankOne_Level,UI_CharacterTitle05_Icon_RankOne_Level,FFE9AAFF,0,1062005100400,0,2842
5101300,Special,Legend,1061005101300,CastleOccupationMaster,1,1,Darkness,AttackPowerPhy,670,AttackPowerMag,670,HitValue,678,HPRecovery,376,UI_CharacterTitle05_Frame_CastleRuler_Dark,UI_CharacterTitle05_Icon_CastleRuler_Gludior,ED1C24FF,1069004100500,1062005101300,0,4103
5101301,Special,Legend,1061005101301,CastleOccupationMaster,1,2,Darkness,AttackPowerPhy,670,AttackPowerMag,670,HitValue,678,HPRecovery,376,UI_CharacterTitle05_Frame_CastleRuler_Dark,UI_CharacterTitle05_Icon_CastleRuler_Dion,ED1C24FF,1069004100500,1062005101301,0,4103
5101302,Special,Legend,1061005101302,CastleOccupationMaster,1,3,Darkness,AttackPowerPhy,670,AttackPowerMag,670,HitValue,678,HPRecovery,376,UI_CharacterTitle05_Frame_CastleRuler_Dark,UI_CharacterTitle05_Icon_CastleRuler_Giran,ED1C24FF,1069004100500,1062005101302,0,4103
5101400,Special,Legend,1061005101400,CastleOccupationMaster,1,1,Light,DefensePowerPhy,771,DefensePowerMag,771,DodgeValue,678,MPRecovery,376,UI_CharacterTitle05_Frame_CastleRuler,UI_CharacterTitle05_Icon_CastleRuler_Gludior,FFE9AAFF,1069004100600,1062005101400,0,3047
5101401,Special,Legend,1061005101401,CastleOccupationMaster,1,2,Light,DefensePowerPhy,771,DefensePowerMag,771,DodgeValue,678,MPRecovery,376,UI_CharacterTitle05_Frame_CastleRuler,UI_CharacterTitle05_Icon_CastleRuler_Dion,FFE9AAFF,1069004100600,1062005101401,0,3047
5101402,Special,Legend,1061005101402,CastleOccupationMaster,1,3,Light,DefensePowerPhy,771,DefensePowerMag,771,DodgeValue,678,MPRecovery,376,UI_CharacterTitle05_Frame_CastleRuler,UI_CharacterTitle05_Icon_CastleRuler_Giran,FFE9AAFF,1069004100600,1062005101402,0,3047
1000200,Normal,Normal,1061001000200,Achievement,0,50710,,MaxMP,147,,,,,,,UI_CharacterTitle01,,B7B7B7FF,0,1062001000200,0,147
1000300,Normal,Normal,1061001000300,Achievement,0,21410,,HPRecovery,78,,,,,,,UI_CharacterTitle01,,B7B7B7FF,0,1062001000300,0,15
1000400,Normal,Normal,1061001000400,Achievement,0,50310,,MPRecovery,78,,,,,,,UI_CharacterTitle01,,B7B7B7FF,0,1062001000400,0,11
1000500,Normal,Normal,1061001000500,Achievement,0,40110,,HitValue,147,,,,,,,UI_CharacterTitle01,,B7B7B7FF,0,1062001000500,0,147
1000600,Normal,Normal,1061001000600,Achievement,0,10110,,DodgeValue,147,,,,,,,UI_CharacterTitle01,,B7B7B7FF,0,1062001000600,0,147
1001200,Normal,Normal,1061001001200,Achievement,0,42110,,DodgeValue,147,,,,,,,UI_CharacterTitle01,,B7B7B7FF,0,1062001001200,0,164
1001300,Normal,Normal,1061001001300,Achievement,0,41210,,MaxHP,173,,,,,,,UI_CharacterTitle01,,B7B7B7FF,0,1062001001300,0,259
1001400,Normal,Normal,1061001001400,Achievement,0,32810,,MaxMP,173,,,,,,,UI_CharacterTitle01,,B7B7B7FF,0,1062001001400,0,173
1001500,Normal,Normal,1061001001500,Achievement,0,30110,,HPRecovery,92,,,,,,,UI_CharacterTitle01,,B7B7B7FF,0,1062001001500,0,18
1001600,Normal,Normal,1061001001600,Achievement,0,41310,,MPRecovery,92,,,,,,,UI_CharacterTitle01,,B7B7B7FF,0,1062001001600,0,13
1001700,Normal,Normal,1061001001700,Achievement,0,11510,,HitValue,173,,,,,,,UI_CharacterTitle01,,B7B7B7FF,0,1062001001700,0,173
1001800,Normal,Normal,1061001001800,Achievement,0,21210,,DodgeValue,173,,,,,,,UI_CharacterTitle01,,B7B7B7FF,0,1062001001800,0,173
1001900,Normal,Normal,1061001001900,Achievement,0,41410,,MaxHP,170,,,,,,,UI_CharacterTitle01,,D2FFA5FF,0,1062001001900,0,255
2000600,Normal,Magic,1061002000600,Achievement,0,21010,,AddDecreaseDamage,6,DodgeValue,236,,,,,UI_CharacterTitle02,,D2FFA5FF,0,1062002000600,0,251
2000700,Normal,Magic,1061002000700,Achievement,0,30710,,AttackPowerPhy,144,AttackPowerMag,144,,,,,UI_CharacterTitle02,,D2FFA5FF,0,1062002000700,0,720
2000800,Normal,Magic,1061002000800,Achievement,0,32610,,DefensePowerPhy,166,DefensePowerMag,166,,,,,UI_CharacterTitle02,,D2FFA5FF,0,1062002000800,0,498
2000900,Normal,Magic,1061002000900,Achievement,0,31210,,MaxHP,243,HPRecovery,120,,,,,UI_CharacterTitle02,,D2FFA5FF,0,1062002000900,0,388
2001000,Normal,Magic,1061002001000,Achievement,0,32910,,MaxMP,243,MPRecovery,120,,,,,UI_CharacterTitle02,,D2FFA5FF,0,1062002001000,0,261
2001100,Normal,Magic,1061002001100,Achievement,0,41710,,AddIgnoreDefenseDamage,5,HitValue,233,,,,,UI_CharacterTitle02,,D2FFA5FF,0,1062002001100,0,245
2001200,Normal,Magic,1061002001200,Achievement,0,41110,,AddDecreaseDamage,5,DodgeValue,233,,,,,UI_CharacterTitle02,,D2FFA5FF,0,1062002001200,0,245
2001300,Normal,Magic,1061002001300,Achievement,0,41610,,AttackPowerPhy,147,AttackPowerMag,147,,,,,UI_CharacterTitle02,,D2FFA5FF,0,1062002001300,0,735
2001400,Normal,Magic,1061002001400,Achievement,0,31410,,DefensePowerPhy,169,DefensePowerMag,169,,,,,UI_CharacterTitle02,,D2FFA5FF,0,1062002001400,0,507
2001500,Normal,Magic,1061002001500,Achievement,0,40810,,MaxHP,247,HPRecovery,122,,,,,UI_CharacterTitle02,,D2FFA5FF,0,1062002001500,0,394
2001600,Normal,Magic,1061002001600,Achievement,0,40910,,MaxMP,247,MPRecovery,122,,,,,UI_CharacterTitle02,,D2FFA5FF,0,1062002001600,0,265
2001700,Normal,Magic,1061002001700,Achievement,0,20710,,AddIgnoreDefenseDamage,6,HitValue,237,,,,,UI_CharacterTitle02,,D2FFA5FF,0,1062002001700,0,252
2001800,Normal,Magic,1061002001800,Achievement,0,31510,,AddDecreaseDamage,6,DodgeValue,237,,,,,UI_CharacterTitle02,,D2FFA5FF,0,1062002001800,0,252
2001900,Normal,Magic,1061002001900,Achievement,0,41010,,MaxHP,246,HPRecovery,122,,,,,UI_CharacterTitle02,,D2FFA5FF,0,1062002001900,0,393
2002000,Normal,Magic,1061002002000,Achievement,0,10610,,MaxMP,246,MPRecovery,122,,,,,UI_CharacterTitle02,,D2FFA5FF,0,1062002002000,0,264
2002100,Normal,Magic,1061002002100,Achievement,0,31610,,AddIgnoreDefenseDamage,6,HitValue,236,,,,,UI_CharacterTitle02,,D2FFA5FF,0,1062002002100,0,251
3000900,Normal,Rare,1061003000900,Achievement,0,31810,,AttackPowerPhy,273,AttackPowerMag,273,HPRecovery,190,,,UI_CharacterTitle03,,C5EFFFFF,0,1062003000900,0,1403
3001000,Normal,Rare,1061003001000,Achievement,0,31710,,DefensePowerPhy,314,DefensePowerMag,314,MPRecovery,190,,,UI_CharacterTitle03,,C5EFFFFF,0,1062003001000,0,970
3503000,Special,Rare,1061003503000,UseCharacterTitleActivityItem,0,1200003,,,,,,,,,,UI_CharacterTitle03,,C5EFFFFF,1,1062003503000,0,3000
4503000,Special,Hero,1061004503000,UseCharacterTitleActivityItem,0,1200002,,,,,,,,,,UI_CharacterTitle04,,FFC9F8FF,1,1062004503000,0,3001
