AssetMode,Title,AssetVisibledMode,ProbabilityInfo
Character,COMMON_CHARACTER,13,0
Inventory,COMMON_INVENTORY,13,0
Skill,SKILL,16397,0
SkillBook,SKILL,16397,0
SoulshotCraft,SOULSHOT_CRAFT,64,0
Guild,GUILD,48,0
GuildCreate,GUILD_CREATE,13,0
GuildEmblemChange,GUILD,12,0
GuildEntrance,GUILD_ENTRANCE,0,0
GuildInfo,GUILD_INFO,0,0
GuildInventory,GUILD_WAREHOUSE,13,0
GuildJoin,GUILD_JOIN,0,0
GuildInvite,GUILD_INVITE,0,0
GuildMain,GUILD_MAIN,45,0
GuildAgit,AGIT_TEXT,1048592,0
GuildAgitKeeperHire,GUILD_AGIT_KEEPER_HIRE,29,0
GuildAgitCrystal,GUILD_AGIT_CRYSTAL,1048592,0
GuildAgitQuest,GUILD_AGIT_QUEST,1048592,0
GuildAgitDinner,DINNER_KEEPER,13,0
GuildAgitFireplace,GUILD_AGIT_FIREPLACE_TITLE,13,0
GuildAgitRelic,ARTIFACT_KEEPER,13,0
GuildAgitLiquid,POTION_KEEPER,45,0
GuildAgitAttend,GUILD_ATTEND_CHECK,13,0
GuildQuest,GUILD_QUEST,4137,0
GuildRelationShip,GUILD_RELATIONSHIP,4137,0
GuildMember,GUILD_MEMBER,4137,0
GuildMemberInfo,GUILD_MEMBER_INFO,0,0
GuildShop,GUILD_STORE,4137,0
GuildRank,GUILD_RANKING,0,0
Achievement,ACHIEVEMENT,13,0
ElixirCraft,ELIXIR_CRAFT,13,0
Friend,FRIEND,2061,0
CastleSiege,CASTLE_SIEGE,16,0
CastleSiegeFestival,CASTLE_SIEGE_FESTIVAL,525,0
FortressSiege,FORTRESS_SIEGE,16,0
Rune,RUNE,141,0
MonsterBook,MONSTER_BOOK,8388620,0
SoulCrystal,COMMON_SOULCRYSTAL,13,0
SoulCrystalLevelUp,COMMON_SOULCRYSTAL,13,0
ItemCrafting,ITEMWORKSHOP,13,0
AuctionHouse,AUCTION_HOUSE,13,0
Shop,SHOP,2061,0
ShopEquipment,SHOP,8205,0
ShopUnbindEquipment,SHOP,8205,0
ShopAdena,SHOP,13,0
ShopCash,SHOP,269,0
ShopTopaz,SHOP,269,0
ShopItem,SHOP,13,0
ShopMileage,SHOP,8205,0
ShopPackage,SHOP,13,0
DailyDungeon,,13,0
EliteDungeon,,13,0
ExpDungeon,,13,0
InfinityDungeon,,13,0
CollectDungeon,,13,0
AdenaDungeon,,13,0
EquipDungeon,,13,0
EnchantScrollDungeon,,13,0
SummonStoneDungeon,,13,0
RefinementDungeon,,13,0
GuildDungeon,,65536,0
