Lv,ExpToNextLv,StandardCombatPower,LimitedElixirCount1,LimitedElixirCount2,LimitedElixirCount3,LimitedElixirCount4,LimitedElixirCount5,LimitedElixirCount6,LimitedElixirCount7,LimitedElixirCount8,LimitedElixirCount9
1,700,2200,0,0,0,0,0,0,0,0,0
2,900,2200,0,0,0,0,0,0,0,0,0
3,1000,2300,0,0,0,0,0,0,0,0,0
4,1100,2500,0,0,0,0,0,0,0,0,0
5,1300,2700,0,0,0,0,0,0,0,0,0
6,1700,3000,0,0,0,0,0,0,0,0,0
7,2200,3300,0,0,0,0,0,0,0,0,0
8,3200,3700,0,0,0,0,0,0,0,0,0
9,4300,4500,0,0,0,0,0,0,0,0,0
10,5664,5500,0,0,0,0,0,0,0,0,0
11,7896,6800,0,0,0,0,0,0,0,0,0
12,10672,7800,0,0,0,0,0,0,0,0,0
13,13904,8700,0,0,0,0,0,0,0,0,0
14,15824,9300,0,0,0,0,0,0,0,0,0
15,20485,10100,0,0,0,0,0,0,0,0,0
16,26460,11300,0,0,0,0,0,0,0,0,0
17,33947,12200,0,0,0,0,0,0,0,0,0
18,43050,13100,0,0,0,0,0,0,0,0,0
19,53946,14000,0,0,0,0,0,0,0,0,0
20,66720,15200,0,0,0,0,0,0,0,0,0
21,80580,16500,0,0,0,0,0,0,0,0,0
22,94350,18300,0,0,0,0,0,0,0,0,0
23,114432,20000,40,0,0,0,0,0,0,0,0
24,137788,21800,40,0,0,0,0,0,0,0,0
25,164640,23700,40,0,0,0,0,0,0,0,0
26,193012,25900,40,0,0,0,0,0,0,0,0
27,229585,28800,40,0,0,0,0,0,0,0,0
28,269337,31300,40,0,0,0,0,0,0,0,0
29,314136,34300,40,0,0,0,0,0,0,0,0
30,362029,37100,40,0,0,0,0,0,0,0,0
31,374476,43400,40,0,0,0,0,0,0,0,0
32,403290,50600,40,0,0,0,0,0,0,0,0
33,423671,54300,40,0,0,0,0,0,0,0,0
34,451305,58200,40,0,0,0,0,0,0,0,0
35,474244,62200,40,0,0,0,0,0,0,0,0
36,492921,68200,40,0,0,0,0,0,0,0,0
37,507743,71000,40,0,0,0,0,0,0,0,0
38,514537,73700,40,0,0,0,0,0,0,0,0
39,517900,77900,40,0,0,0,0,0,0,0,0
40,561814,80900,40,60,0,0,0,0,0,0,0
41,595234,83900,40,60,0,0,0,0,0,0,0
42,627570,88400,40,60,0,0,0,0,0,0,0
43,658828,91700,40,60,0,0,0,0,0,0,0
44,689032,95100,40,60,0,0,0,0,0,0,0
45,718216,98200,40,60,0,0,0,0,0,0,0
46,746427,101300,40,60,0,0,0,0,0,0,0
47,773722,104200,40,60,0,0,0,0,0,0,0
48,800167,107100,40,60,0,0,0,0,0,0,0
49,825831,110900,40,60,0,0,0,0,0,0,0
50,850792,114800,40,60,0,0,0,0,0,0,0
51,864188,117900,40,60,0,0,0,0,0,0,0
52,876996,121000,40,60,0,0,0,0,0,0,0
53,900293,123900,40,60,0,0,0,0,0,0,0
54,923218,126800,40,60,0,0,0,0,0,0,0
55,945845,129600,40,60,0,0,0,0,0,0,0
56,968242,132200,40,60,0,0,0,0,0,0,0
57,990473,134700,40,60,0,0,0,0,0,0,0
58,1034606,137200,40,60,0,0,0,0,0,0,0
59,1078675,140200,40,60,0,0,0,0,0,0,0
60,1100699,143200,40,60,0,0,0,0,0,0,0
61,1100700,146200,40,60,0,0,0,0,0,0,0
62,1100700,148700,40,60,0,0,0,0,0,0,0
63,1100704,151000,40,60,0,0,0,0,0,0,0
64,1100720,153400,40,60,0,0,0,0,0,0,0
65,1100764,155900,40,60,0,0,0,0,0,0,0
66,1100855,158200,40,60,0,0,0,0,0,0,0
67,1101022,160400,40,60,0,0,0,0,0,0,0
68,1101297,162600,40,60,0,0,0,0,0,0,0
69,1101719,164900,40,60,0,0,0,0,0,0,0
70,1102331,167600,40,60,0,0,0,0,0,0,0
71,1103187,170300,40,60,0,0,0,0,0,0,0
72,1104341,173000,40,60,0,0,0,0,0,0,0
73,1105856,175700,40,60,0,0,0,0,0,0,0
74,1107802,177900,40,60,0,0,0,0,0,0,0
75,1110253,180000,40,60,0,0,0,0,0,0,0
76,1113289,182100,40,60,0,0,0,0,0,0,0
77,1116996,184300,40,60,0,0,0,0,0,0,0
78,1121468,186500,40,60,0,0,0,0,0,0,0
79,1126804,188700,40,60,0,0,0,0,0,0,0
80,1133106,190900,40,60,0,0,0,0,0,0,0
81,1140486,193200,40,60,0,0,0,0,0,0,0
82,1149060,195400,40,60,0,0,0,0,0,0,0
83,1158951,197700,40,60,0,0,0,0,0,0,0
84,1170286,199800,40,60,0,0,0,0,0,0,0
85,1183200,201700,40,60,0,0,0,0,0,0,0
86,1197833,203700,40,60,0,0,0,0,0,0,0
87,1214332,205700,40,60,0,0,0,0,0,0,0
88,1232849,207700,40,60,0,0,0,0,0,0,0
89,1253541,209800,40,60,0,0,0,0,0,0,0
90,1276574,212100,40,60,0,0,0,0,0,0,0
91,1302116,214500,40,60,0,0,0,0,0,0,0
92,1330344,216900,40,60,0,0,0,0,0,0,0
93,1361441,219300,40,60,0,0,0,0,0,0,0
94,1395593,221800,40,60,0,0,0,0,0,0,0
95,1432996,224200,40,60,0,0,0,0,0,0,0
96,1473848,226600,40,60,0,0,0,0,0,0,0
97,1518356,229100,40,60,0,0,0,0,0,0,0
98,1566732,231600,40,60,0,0,0,0,0,0,0
99,1619194,234000,40,60,0,0,0,0,0,0,0
100,1675964,236500,40,60,80,0,0,0,0,0,0
101,1737274,239100,40,60,80,0,0,0,0,0,0
102,1803359,241500,40,60,80,0,0,0,0,0,0
103,1874460,244000,40,60,80,0,0,0,0,0,0
104,1950825,246500,40,60,80,0,0,0,0,0,0
105,2032708,249600,40,60,80,0,0,0,0,0,0
106,2120369,252600,40,60,80,0,0,0,0,0,0
107,2214072,255700,40,60,80,0,0,0,0,0,0
108,2314090,258800,40,60,80,0,0,0,0,0,0
109,2420700,261900,40,60,80,0,0,0,0,0,0
110,2527310,265100,40,60,80,0,0,0,0,0,0
111,2627328,268200,40,60,80,0,0,0,0,0,0
112,2721031,271400,40,60,80,0,0,0,0,0,0
113,2808692,274600,40,60,80,0,0,0,0,0,0
114,2890575,277900,40,60,80,0,0,0,0,0,0
115,2966940,281200,40,60,80,0,0,0,0,0,0
116,3038041,284600,40,60,80,0,0,0,0,0,0
117,3104126,287800,40,60,80,0,0,0,0,0,0
118,3165436,291000,40,60,80,0,0,0,0,0,0
119,3222206,294300,40,60,80,0,0,0,0,0,0
120,3929602,297500,40,60,80,0,0,0,0,0,0
121,3987653,301100,40,60,80,0,0,0,0,0,0
122,4041062,304600,40,60,80,0,0,0,0,0,0
