SiegeWorIdId,AttackerRewardType1,AttackerRewardInfoId1,AttackerRewardMvpRate1,AttackerRewardType2,AttackerRewardInfoId2,AttackerRewardMvpRate2,AttackerRewardType3,AttackerRewardInfoId3,AttackerRewardMvpRate3,DefenderRewardType1,DefenderRewardInfoId1,DefenderRewardMvpRate1,DefenderRewardType2,DefenderRewardInfoId2,DefenderRewardMvpRate2,DefenderRewardType3,DefenderRewardInfoId3,DefenderRewardMvpRate3,WinnerRewardType1,WinnerRewardInfoId1,WinnerRewardMvpRate1,WinnerRewardType2,WinnerRewardInfoId2,WinnerRewardMvpRate2,WinnerRewardType3,WinnerRewardInfoId3,WinnerRewardMvpRate3
1,Adena,,5000,Item,500121,10000,,,,Adena,,5000,Item,500121,10000,,,,Adena,,5000,Item,500121,10000,,,
2,Adena,,5000,Item,500121,10000,,,,Adena,,5000,Item,500121,10000,,,,Adena,,5000,Item,500121,10000,,,
3,Adena,,5000,Item,500121,10000,,,,Adena,,5000,Item,500121,10000,,,,Adena,,5000,Item,500121,10000,,,
4,Adena,,5000,Item,500121,10000,,,,Adena,,5000,Item,500121,10000,,,,Adena,,5000,Item,500121,10000,,,
1001,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
1002,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
1003,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
1004,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
2001,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
2002,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
2003,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
2004,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
3001,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
3002,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
3003,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
3004,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
3005,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
4001,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
4002,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
4003,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
5001,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
5002,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
5003,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
5004,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
5005,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
5006,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
5007,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
5008,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,,Adena,,5000,Item,400002,5000,,,
