GroupId,Id,NameKey,DescKey,NpcAutoMoveID,TaskType,TaskCount,RewardExp,RewardAdena,RewardItemGroup,RewardCount
1,101,671000000001,672000000001,20001,Count_KillMonsterTarget,20,10000,3000,13100,1
1,102,671000000001,672000000001,20001,Count_KillMonsterTarget,20,10000,3000,13100,1
1,103,671000000001,672000000001,20001,Count_KillMonsterTarget,20,10000,3000,13100,1
1,104,671000000001,672000000004,20002,Count_KillMonsterTarget,20,10000,3000,13100,1
1,105,671000000001,672000000004,20002,Count_KillMonsterTarget,20,10000,3000,13100,1
1,106,671000000001,672000000004,20002,Count_KillMonsterTarget,20,10000,3000,13100,1
1,107,671000000001,672000000007,20003,Count_KillMonsterTarget,1,10000,3000,13100,1
1,108,671000000001,672000000008,20004,Count_KillMonsterTarget,1,10000,3000,13100,1
1,109,671000000001,672000000009,20005,Count_KillMonsterTarget,1,10000,3000,13100,1
1,110,671000000001,672000000010,20008,Count_AcquiredItem,2,10000,3000,13100,1
1,111,671000000001,672000000010,20009,Count_AcquiredItem,2,10000,3000,13100,1
1,112,671000000001,672000000012,20006,Count_KillMonster_Region,20,10000,3000,13100,1
1,113,671000000001,672000000012,20007,Count_KillMonster_Region,20,10000,3000,13100,1
2,201,671000000014,672000000014,20101,Count_KillMonsterTarget,50,20000,3000,13200,1
2,202,671000000014,672000000015,20102,Count_KillMonsterTarget,50,20000,3000,13200,1
2,203,671000000014,672000000016,20103,Count_KillMonsterTarget,50,20000,3000,13200,1
2,204,671000000014,672000000017,20104,Count_KillMonsterTarget,50,20000,3000,13200,1
2,205,671000000014,672000000018,20105,Count_KillMonsterTarget,50,20000,3000,13200,1
2,206,671000000014,672000000019,20106,Count_KillMonsterTarget,50,20000,3000,13200,1
2,207,671000000014,672000000014,20101,Count_KillMonsterTarget,50,20000,3000,13200,1
2,208,671000000014,672000000015,20102,Count_KillMonsterTarget,50,20000,3000,13200,1
2,209,671000000014,672000000016,20103,Count_KillMonsterTarget,50,20000,3000,13200,1
2,210,671000000014,672000000017,20104,Count_KillMonsterTarget,50,20000,3000,13200,1
2,211,671000000014,672000000018,20105,Count_KillMonsterTarget,50,20000,3000,13200,1
2,212,671000000014,672000000019,20106,Count_KillMonsterTarget,50,20000,3000,13200,1
2,213,671000000014,672000000026,20107,Count_KillMonsterTarget,1,20000,3000,13200,1
2,214,671000000014,672000000027,20108,Count_KillMonsterTarget,1,20000,3000,13200,1
2,215,671000000014,672000000028,20109,Count_KillMonsterTarget,1,20000,3000,13200,1
2,216,671000000014,672000000029,20110,Count_KillMonsterTarget,1,20000,3000,13200,1
2,217,671000000014,672000000010,20101,Count_AcquiredItem,2,20000,3000,13200,1
2,218,671000000014,672000000010,20105,Count_AcquiredItem,2,20000,3000,13200,1
2,219,671000000014,672000000010,20105,Count_AcquiredItem,2,20000,3000,13200,1
2,220,671000000014,672000000012,20111,Count_KillMonster_Region,50,20000,3000,13200,1
2,221,671000000014,672000000012,20112,Count_KillMonster_Region,50,20000,3000,13200,1
2,222,671000000014,672000000012,20113,Count_KillMonster_Region,50,20000,3000,13200,1
3,301,671000000036,672000000036,20201,Count_KillMonsterTarget,50,30000,5000,13300,1
3,302,671000000036,672000000037,20202,Count_KillMonsterTarget,50,30000,5000,13300,1
3,303,671000000036,672000000038,20203,Count_KillMonsterTarget,50,30000,5000,13300,1
3,304,671000000036,672000000039,20204,Count_KillMonsterTarget,50,30000,5000,13300,1
3,305,671000000036,672000000036,20201,Count_KillMonsterTarget,50,30000,5000,13300,1
3,306,671000000036,672000000037,20202,Count_KillMonsterTarget,50,30000,5000,13300,1
3,307,671000000036,672000000038,20203,Count_KillMonsterTarget,50,30000,5000,13300,1
3,308,671000000036,672000000043,20205,Count_KillMonsterTarget,1,30000,5000,13300,1
3,309,671000000036,672000000044,20206,Count_KillMonsterTarget,1,30000,5000,13300,1
3,310,671000000036,672000000010,20201,Count_AcquiredItem,2,30000,5000,13300,1
3,311,671000000036,672000000010,20207,Count_AcquiredItem,2,30000,5000,13300,1
3,312,671000000036,672000000010,20207,Count_AcquiredItem,2,30000,5000,13300,1
3,313,671000000036,672000000012,20207,Count_KillMonster_Region,50,30000,5000,13300,1
3,314,671000000036,672000000012,20208,Count_KillMonster_Region,50,30000,5000,13300,1
3,315,671000000036,672000000012,20207,Count_KillMonster_Region,50,30000,5000,13300,1
4,401,671000000051,672000000051,20301,Count_KillMonsterTarget,50,40000,5000,13400,1
