Rank,RankUpPoint,RankIcon
0,25,Icon_HonorRank_00
1,100,Icon_HonorRank_01
2,435,Icon_HonorRank_02
3,650,Icon_HonorRank_03
4,958,Icon_HonorRank_04
5,1448,Icon_HonorRank_05
6,2053,Icon_HonorRank_06
7,2759,Icon_HonorRank_07
8,3331,Icon_HonorRank_08
9,4146,Icon_HonorRank_09
10,4856,Icon_HonorRank_10
11,5901,Icon_HonorRank_11
12,6605,Icon_HonorRank_11
13,7607,Icon_HonorRank_12
14,9245,Icon_HonorRank_12
15,10107,Icon_HonorRank_13
16,11087,Icon_HonorRank_13
17,12411,Icon_HonorRank_14
18,13557,Icon_HonorRank_14
19,15066,Icon_HonorRank_15
20,16457,Icon_HonorRank_15
21,17376,Icon_HonorRank_16
22,19008,Icon_HonorRank_16
23,20997,Icon_HonorRank_17
24,23257,Icon_HonorRank_17
25,24219,Icon_HonorRank_18
26,26673,Icon_HonorRank_18
27,28427,Icon_HonorRank_19
28,30881,Icon_HonorRank_19
29,32634,Icon_HonorRank_20
30,35088,Icon_HonorRank_20
31,36842,Icon_HonorRank_21
32,39296,Icon_HonorRank_21
33,41050,Icon_HonorRank_22
34,43504,Icon_HonorRank_22
35,45258,Icon_HonorRank_23
36,47712,Icon_HonorRank_23
37,49466,Icon_HonorRank_24
38,51920,Icon_HonorRank_24
39,53674,Icon_HonorRank_25
40,56128,Icon_HonorRank_25
41,57882,Icon_HonorRank_26
42,60336,Icon_HonorRank_26
43,62090,Icon_HonorRank_27
44,64544,Icon_HonorRank_27
45,66297,Icon_HonorRank_28
46,68751,Icon_HonorRank_28
47,70505,Icon_HonorRank_29
48,72959,Icon_HonorRank_29
49,74713,Icon_HonorRank_30
50,0,Icon_HonorRank_30
