Id,OptionGroup,EffectType,EffectParam
1,10101,AttackPowerPhy,7
2,10101,AttackPowerMag,7
3,10101,DefensePowerPhy,9
4,10101,DefensePowerMag,9
5,10101,MaxHP,12
6,10101,MaxMP,12
7,10101,HitValue,5
8,10101,DodgeValue,5
9,10101,Penetration,6
10,10101,Resilience,6
13,10101,CriticalValue,5
14,10101,AntiCriticalValue,7
15,10102,AttackPowerPhy,14
16,10102,AttackPowerMag,14
17,10102,DefensePowerPhy,18
18,10102,DefensePowerMag,18
19,10102,MaxHP,24
20,10102,MaxMP,24
21,10102,HitValue,10
22,10102,DodgeValue,10
23,10102,Penetration,12
24,10102,Resilience,12
27,10102,CriticalValue,10
28,10102,AntiCriticalValue,14
29,10103,AttackPowerPhy,21
30,10103,AttackPowerMag,21
31,10103,DefensePowerPhy,27
32,10103,DefensePowerMag,27
33,10103,MaxHP,36
34,10103,MaxMP,36
35,10103,HitValue,15
36,10103,DodgeValue,15
37,10103,Penetration,18
38,10103,Resilience,18
41,10103,CriticalValue,15
42,10103,AntiCriticalValue,21
43,10104,AttackPowerPhy,28
44,10104,AttackPowerMag,28
45,10104,DefensePowerPhy,36
46,10104,DefensePowerMag,36
47,10104,MaxHP,48
48,10104,MaxMP,48
49,10104,HitValue,20
50,10104,DodgeValue,20
51,10104,Penetration,24
52,10104,Resilience,24
55,10104,CriticalValue,20
56,10104,AntiCriticalValue,28
57,10105,AttackPowerPhy,35
58,10105,AttackPowerMag,35
59,10105,DefensePowerPhy,45
60,10105,DefensePowerMag,45
61,10105,MaxHP,60
62,10105,MaxMP,60
63,10105,HitValue,25
64,10105,DodgeValue,25
65,10105,Penetration,30
66,10105,Resilience,30
69,10105,CriticalValue,25
70,10105,AntiCriticalValue,35
71,10106,AttackPowerPhy,42
72,10106,AttackPowerMag,42
73,10106,DefensePowerPhy,54
74,10106,DefensePowerMag,54
75,10106,MaxHP,72
76,10106,MaxMP,72
77,10106,HitValue,30
78,10106,DodgeValue,30
79,10106,Penetration,36
80,10106,Resilience,36
83,10106,CriticalValue,30
84,10106,AntiCriticalValue,42
85,10107,AttackPowerPhy,49
86,10107,AttackPowerMag,49
87,10107,DefensePowerPhy,63
88,10107,DefensePowerMag,63
89,10107,MaxHP,84
90,10107,MaxMP,84
91,10107,HitValue,35
92,10107,DodgeValue,35
93,10107,Penetration,42
94,10107,Resilience,42
97,10107,CriticalValue,35
98,10107,AntiCriticalValue,49
99,10201,AttackPowerPhy,9
100,10201,AttackPowerMag,9
101,10201,DefensePowerPhy,10
102,10201,DefensePowerMag,10
103,10201,MaxHP,13
104,10201,MaxMP,13
105,10201,HitValue,6
106,10201,DodgeValue,6
107,10201,Penetration,11
108,10201,Resilience,11
111,10201,CriticalValue,11
112,10201,AntiCriticalValue,13
113,10202,AttackPowerPhy,18
114,10202,AttackPowerMag,18
115,10202,DefensePowerPhy,20
116,10202,DefensePowerMag,20
117,10202,MaxHP,26
118,10202,MaxMP,26
119,10202,HitValue,12
120,10202,DodgeValue,12
121,10202,Penetration,22
122,10202,Resilience,22
125,10202,CriticalValue,22
126,10202,AntiCriticalValue,26
127,10203,AttackPowerPhy,27
128,10203,AttackPowerMag,27
129,10203,DefensePowerPhy,30
130,10203,DefensePowerMag,30
131,10203,MaxHP,39
132,10203,MaxMP,39
133,10203,HitValue,18
134,10203,DodgeValue,18
135,10203,Penetration,33
136,10203,Resilience,33
139,10203,CriticalValue,33
140,10203,AntiCriticalValue,39
141,10204,AttackPowerPhy,36
142,10204,AttackPowerMag,36
143,10204,DefensePowerPhy,40
144,10204,DefensePowerMag,40
145,10204,MaxHP,52
146,10204,MaxMP,52
147,10204,HitValue,24
148,10204,DodgeValue,24
149,10204,Penetration,44
150,10204,Resilience,44
153,10204,CriticalValue,44
154,10204,AntiCriticalValue,52
155,10205,AttackPowerPhy,45
156,10205,AttackPowerMag,45
157,10205,DefensePowerPhy,50
158,10205,DefensePowerMag,50
159,10205,MaxHP,65
160,10205,MaxMP,65
161,10205,HitValue,30
162,10205,DodgeValue,30
163,10205,Penetration,55
164,10205,Resilience,55
167,10205,CriticalValue,55
168,10205,AntiCriticalValue,65
169,10206,AttackPowerPhy,54
170,10206,AttackPowerMag,54
171,10206,DefensePowerPhy,60
172,10206,DefensePowerMag,60
173,10206,MaxHP,78
174,10206,MaxMP,78
175,10206,HitValue,36
