Id,SkillId,CastingFireYn,CollisionUnitGroup,CollisionUnitType,CollisionUnitParam,TargetType,EffectType,EffectTypeNameKey,EffectParam,EffectGrowth1,EffectGrowth2,ReductionRate,ExceptNpcGrade,ExceptPlayer,IsPreEffectAction,PointCount
11011,1101,0,,,,,DamagePhy,0,"0, 0, 6720, 6720",1,1,,,0,0,
11021,1102,0,,,,,DamagePhy,0,"0, 0, 5712, 5712",1,1,,,0,0,
11031,1103,0,,,,,DamagePhy,0,"0, 0, 6720, 6720",1,1,,,0,0,
11041,1104,0,,,,,DamagePhy,0,"0, 0, 5712, 5712",1,1,,,0,0,
11051,1105,0,,,,,DamagePhy,0,"0, 0, 5712, 5712",1,1,,,0,0,
11061,1106,0,,,,,DamagePhy,0,"0, 0, 12768, 12768",1,1,,,0,0,
11062,1106,0,,,,,Buff,0,1002,,,,Elite,1,0,
12011,1201,0,,,,,DamagePhy,0,"0, 0, 5712, 5712",1,1,,,0,0,
12021,1202,0,,,,,DamagePhy,0,"0, 0, 4368, 4368",1,1,,,0,0,
12031,1203,0,,,,,DamagePhy,0,"0, 0, 5712, 5712",1,1,,,0,0,
12041,1204,0,,,,,DamagePhy,0,"0, 0, 6384, 6384",1,1,,,0,0,
12051,1205,0,,,,,DamagePhy,0,"0, 0, 7392, 7392",1,1,,,0,0,
12061,1206,0,,,,,DamagePhy,0,"0, 0, 13104, 13104",1,1,,,0,0,
12062,1206,0,,,,,Buff,0,1002,,,,Elite,1,0,
13011,1301,0,,,,,DamagePhy,0,"0, 0, 5040, 5040",1,1,,,0,0,
13021,1302,0,,,,,DamagePhy,0,"0, 0, 5712, 5712",1,1,,,0,0,
13031,1303,0,,,,,DamagePhy,0,"0, 0, 5040, 5040",1,1,,,0,0,
13041,1304,0,,,,,DamagePhy,0,"0, 0, 8400, 8400",1,1,,,0,0,
13051,1305,0,,,,,DamagePhy,0,"0, 0, 6048, 6048",1,1,,,0,0,
13061,1306,0,,,,,DamagePhy,0,"0, 0, 12768, 12768",1,1,,,0,0,
13062,1306,0,,,,,Buff,0,1002,,,,Elite,1,0,
14011,1401,0,,,,,DamagePhy,0,"0, 0, 7728, 7728",1,1,,,0,0,
14021,1402,0,,,,,DamagePhy,0,"0, 0, 5712, 5712",1,1,,,0,0,
14031,1403,0,,,,,DamagePhy,0,"0, 0, 4704, 4704",1,1,,,0,0,
14041,1404,0,,,,,DamagePhy,0,"0, 0, 5712, 5712",1,1,,,0,0,
14051,1405,0,,,,,DamagePhy,0,"0, 0, 6720, 6720",1,1,,,0,0,
14061,1406,0,,,,,DamagePhy,0,"0, 0, 15120, 15120",1,1,,,0,0,
14062,1406,0,,,,,Buff,0,1002,,,,Elite,1,0,
21011,2101,0,,,,,DamagePhy,0,"0, 0, 10150, 10150",1,1,,,0,0,
21021,2102,0,,,,,DamagePhy,0,"0, 0, 5950, 5950",1,1,,,0,0,
21031,2103,0,,,,,DamagePhy,0,"0, 0, 5950, 5950",1,1,,,0,0,
21041,2104,0,,,,,DamagePhy,0,"0, 0, 8050, 8050",1,1,,,0,0,
21051,2105,0,,,,,DamagePhy,0,"0, 0, 11200, 11200",1,1,,,0,0,
21061,2106,0,,,,,DamagePhy,0,"0, 0, 13300, 13300",1,1,,,0,0,
21062,2106,0,,,,,Buff,0,1002,,,,Elite,1,0,
22011,2201,0,,,,,DamagePhy,0,"0, 0, 5250, 5250",1,1,,,0,0,
22021,2202,0,,,,,DamagePhy,0,"0, 0, 4546, 4546",1,1,,,0,0,
22031,2203,0,,,,,DamagePhy,0,"0, 0, 6300, 6300",1,1,,,0,0,
22041,2204,0,,,,,DamagePhy,0,"0, 0, 8746, 8746",1,1,,,0,0,
22051,2205,0,,,,,DamagePhy,0,"0, 0, 9450, 9450",1,1,,,0,0,
22061,2206,0,,,,,DamagePhy,0,"0, 0, 16096, 16096",1,1,,,0,0,
22062,2206,0,,,,,Buff,0,1002,,,,Elite,1,0,
23011,2301,0,,,,,DamagePhy,0,"0, 0, 5595, 5595",1,1,,,0,0,
23021,2302,0,,,,,DamagePhy,0,"0, 0, 4199, 4199",1,1,,,0,0,
23031,2303,0,,,,,DamagePhy,0,"0, 0, 4545, 4545",1,1,,,0,0,
23041,2304,0,,,,,DamagePhy,0,"0, 0, 11201, 11201",1,1,,,0,0,
23051,2305,0,,,,,DamagePhy,0,"0, 0, 11547, 11547",1,1,,,0,0,
23061,2306,0,,,,,DamagePhy,0,"0, 0, 12250, 12250",1,1,,,0,0,
23062,2306,0,,,,,Buff,0,1002,,,,Elite,1,0,
24011,2401,0,,,,,DamagePhy,0,"0, 0, 5950, 5950",1,1,,,0,0,
24021,2402,0,,,,,DamagePhy,0,"0, 0, 11200, 11200",1,1,,,0,0,
24031,2403,0,,,,,DamagePhy,0,"0, 0, 5950, 5950",1,1,,,0,0,
24041,2404,0,,,,,DamagePhy,0,"0, 0, 10150, 10150",1,1,,,0,0,
24051,2405,0,,,,,DamagePhy,0,"0, 0, 7000, 7000",1,1,,,0,0,
24061,2406,0,,,,,DamagePhy,0,"0, 0, 15400, 15400",1,1,,,0,0,
24062,2406,0,,,,,Buff,0,1002,,,,Elite,1,0,
31011,3101,0,,,,,DamagePhy,0,"0, 0, 5950, 5950",1,1,,,0,0,
31021,3102,0,,,,,DamagePhy,0,"0, 0, 5950, 5950",1,1,,,0,0,
31031,3103,0,,,,,DamagePhy,0,"0, 0, 4901, 4901",1,1,,,0,0,
31041,3104,0,,,,,DamagePhy,0,"0, 0, 7000, 7000",1,1,,,0,0,
31051,3105,0,,,,,DamagePhy,0,"0, 0, 8050, 8050",1,1,,,0,0,
31061,3106,0,,,,,DamagePhy,0,"0, 0, 4901, 4901",1,1,,,0,0,
31071,3107,0,,,,,DamagePhy,0,"0, 0, 7000, 7000",1,1,,,0,0,
31081,3108,0,,,,,DamagePhy,0,"0, 0, 11198, 11198",1,1,,,0,0,
31082,3108,0,,,,,Buff,0,1002,,,,Elite,1,0,
32011,3201,0,,,,,DamagePhy,0,"0, 0, 4200, 4200",1,1,,,0,0,
32021,3202,0,,,,,DamagePhy,0,"0, 0, 7350, 7350",1,1,,,0,0,
32031,3203,0,,,,,DamagePhy,0,"0, 0, 10500, 10500",1,1,,,0,0,
32041,3204,0,,,,,DamagePhy,0,"0, 0, 4900, 4900",1,1,,,0,0,
32051,3205,0,,,,,DamagePhy,0,"0, 0, 6300, 6300",1,1,,,0,0,
32061,3206,0,,,,,DamagePhy,0,"0, 0, 6650, 6650",1,1,,,0,0,
32071,3207,0,,,,,DamagePhy,0,"0, 0, 6300, 6300",1,1,,,0,0,
32081,3208,0,,,,,DamagePhy,0,"0, 0, 8750, 8750",1,1,,,0,0,
32082,3208,0,,,,,Buff,0,1002,,,,Elite,1,0,
33011,3301,0,,,,,DamagePhy,0,"0, 0, 5250, 5250",1,1,,,0,0,
33021,3302,0,,,,,DamagePhy,0,"0, 0, 4900, 4900",1,1,,,0,0,
33031,3303,0,,,,,DamagePhy,0,"0, 0, 6300, 6300",1,1,,,0,0,
33041,3304,0,,,,,DamagePhy,0,"0, 0, 6300, 6300",1,1,,,0,0,
33051,3305,0,,,,,DamagePhy,0,"0, 0, 7700, 7700",1,1,,,0,0,
33061,3306,0,,,,,DamagePhy,0,"0, 0, 3850, 3850",1,1,,,0,0,
33071,3307,0,,,,,DamagePhy,0,"0, 0, 5950, 5950",1,1,,,0,0,
33081,3308,0,,,,,DamagePhy,0,"0, 0, 13650, 13650",1,1,,,0,0,
33082,3308,0,,,,,Buff,0,1002,,,,Elite,1,0,
34011,3401,0,,,,,DamagePhy,0,"0, 0, 7346, 7346",1,1,,,0,0,
34021,3402,0,,,,,DamagePhy,0,"0, 0, 6643, 6643",1,1,,,0,0,
34031,3403,0,,,,,DamagePhy,0,"0, 0, 6297, 6297",1,1,,,0,0,
34041,3404,0,,,,,DamagePhy,0,"0, 0, 7346, 7346",1,1,,,0,0,
34051,3405,0,,,,,DamagePhy,0,"0, 0, 8742, 8742",1,1,,,0,0,
34061,3406,0,,,,,DamagePhy,0,"0, 0, 7346, 7346",1,1,,,0,0,
34071,3407,0,,,,,DamagePhy,0,"0, 0, 7346, 7346",1,1,,,0,0,
34081,3408,0,,,,,DamagePhy,0,"0, 0, 9445, 9445",1,1,,,0,0,
34082,3408,0,,,,,Buff,0,1002,,,,Elite,1,0,
41011,4101,0,,,,,DamagePhy,0,"0, 0, 5145, 5145",1,1,,,0,0,
41021,4102,0,,,,,DamagePhy,0,"0, 0, 6248, 6248",1,1,,,0,0,
41031,4103,0,,,,,DamagePhy,0,"0, 0, 6248, 6248",1,1,,,0,0,
41041,4104,0,,,,,DamagePhy,0,"0, 0, 6248, 6248",1,1,,,0,0,
41051,4105,0,,,,,DamagePhy,0,"0, 0, 6248, 6248",1,1,,,0,0,
41061,4106,0,,,,,DamagePhy,0,"0, 0, 8453, 8453",1,1,,,0,0,
41062,4106,0,,,,,Buff,0,1002,,,,Elite,1,0,
42011,4201,0,,,,,DamagePhy,0,"0, 0, 5145, 5145",1,1,,,0,0,
42021,4202,0,,,,,DamagePhy,0,"0, 0, 4778, 4778",1,1,,,0,0,
42031,4203,0,,,,,DamagePhy,0,"0, 0, 5880, 5880",1,1,,,0,0,
42041,4204,0,,,,,DamagePhy,0,"0, 0, 7350, 7350",1,1,,,0,0,
42051,4205,0,,,,,DamagePhy,0,"0, 0, 5513, 5513",1,1,,,0,0,
42061,4206,0,,,,,DamagePhy,0,"0, 0, 11025, 11025",1,1,,,0,0,
42062,4206,0,,,,,Buff,0,1002,,,,Elite,1,0,
43011,4301,0,,,,,DamagePhy,0,"0, 0, 4043, 4043",1,1,,,0,0,
43021,4302,0,,,,,DamagePhy,0,"0, 0, 4410, 4410",1,1,,,0,0,
43031,4303,0,,,,,DamagePhy,0,"0, 0, 5513, 5513",1,1,,,0,0,
43041,4304,0,,,,,DamagePhy,0,"0, 0, 8820, 8820",1,1,,,0,0,
43051,4305,0,,,,,DamagePhy,0,"0, 0, 6615, 6615",1,1,,,0,0,
43061,4306,0,,,,,DamagePhy,0,"0, 0, 9923, 9923",1,1,,,0,0,
43062,4306,0,,,,,Buff,0,1002,,,,Elite,1,0,
44011,4401,0,,,,,DamagePhy,0,"0, 0, 6615, 6615",1,1,,,0,0,
44021,4402,0,,,,,DamagePhy,0,"0, 0, 4410, 4410",1,1,,,0,0,
44031,4403,0,,,,,DamagePhy,0,"0, 0, 7718, 7718",1,1,,,0,0,
44041,4404,0,,,,,DamagePhy,0,"0, 0, 6615, 6615",1,1,,,0,0,
44051,4405,0,,,,,DamagePhy,0,"0, 0, 8820, 8820",1,1,,,0,0,
44061,4406,0,,,,,DamagePhy,0,"0, 0, 9923, 9923",1,1,,,0,0,
44062,4406,0,,,,,Buff,0,1002,,,,Elite,1,0,
51011,5101,0,,,,,DamagePhy,0,"0, 0, 8313, 8313",1,1,,,0,0,
51021,5102,0,,,,,DamagePhy,0,"0, 0, 7315, 7315",1,1,,,0,0,
51031,5103,0,,,,,DamagePhy,0,"0, 0, 8645, 8645",1,1,,,0,0,
51041,5104,0,,,,,DamagePhy,0,"0, 0, 12968, 12968",1,1,,,0,0,
51042,5104,0,,,,,Buff,0,1002,,,,Elite,1,0,
52011,5201,0,,,,,DamagePhy,0,"0, 0, 5985, 5985",1,1,,,0,0,
52021,5202,0,,,,,DamagePhy,0,"0, 0, 8645, 8645",1,1,,,0,0,
52031,5203,0,,,,,DamagePhy,0,"0, 0, 9310, 9310",1,1,,,0,0,
52041,5204,0,,,,,DamagePhy,0,"0, 0, 11970, 11970",1,1,,,0,0,
52042,5204,0,,,,,Buff,0,1002,,,,Elite,1,0,
53011,5301,0,,,,,DamagePhy,0,"0, 0, 6650, 6650",1,1,,,0,0,
