ID,SiegeType,Score,ScoreBuffID,BuffInfoKey,Param1,GradeIcon,GradeNameKey
1,Castle,0,,731000003232,0,Icon_SiegeHeroRank_01,322000000000
2,Castle,5,200003,783000200003,1,Icon_SiegeHeroRank_02,322000000005
3,Castle,15,200004,783000200004,2,Icon_SiegeHeroRank_03,322000000015
4,Castle,30,200005,783000200005,3,Icon_SiegeHeroRank_04,322000000030
5,Castle,60,200006,783000200006,4,Icon_SiegeHeroRank_05,322000000060
6,Castle,90,200007,783000200007,5,Icon_SiegeHeroRank_06,322000000090
7,Castle,125,200008,783000200008,6,Icon_SiegeHeroRank_07,322000000125
8,Castle,150,200009,783000200009,7,Icon_SiegeHeroRank_08,322000000150
9,Fortress,0,,731000003232,0,Icon_SiegeHeroRank_01,322000000000
10,Fortress,5,200003,783000200003,1,Icon_SiegeHeroRank_02,322000000005
11,Fortress,15,200004,783000200004,2,Icon_SiegeHeroRank_03,322000000015
12,Fortress,30,200005,783000200005,3,Icon_SiegeHeroRank_04,322000000030
13,Fortress,60,200006,783000200006,4,Icon_SiegeHeroRank_05,322000000060
14,Fortress,90,200007,783000200007,5,Icon_SiegeHeroRank_06,322000000090
15,Fortress,125,200008,783000200008,6,Icon_SiegeHeroRank_07,322000000125
16,Fortress,150,200009,783000200009,7,Icon_SiegeHeroRank_08,322000000150
17,FreeFortress,0,,731000003232,0,Icon_SiegeHeroRank_01,322000000000
18,FreeFortress,5,200013,783000200003,1,Icon_SiegeHeroRank_02,322000000005
19,FreeFortress,15,200014,783000200004,2,Icon_SiegeHeroRank_03,322000000015
20,FreeFortress,30,200015,783000200005,3,Icon_SiegeHeroRank_04,322000000030
21,FreeFortress,60,200016,783000200006,4,Icon_SiegeHeroRank_05,322000000060
22,FreeFortress,90,200017,783000200007,5,Icon_SiegeHeroRank_06,322000000090
23,FreeFortress,125,200018,783000200008,6,Icon_SiegeHeroRank_07,322000000125
24,FreeFortress,150,200019,783000200009,7,Icon_SiegeHeroRank_08,322000000150
