ID,DungeonID,BossNo,NameKey,Portrait,DescKey,RaceIcon,RaceNameKey,RaceDescKey,SkillGroupID,PosX,PosY
1,100001,1,1101000000001,Icon_MonsterCore_Boranta,1102000000001,Icon_Ability_MagicalCreature,1103000000001,1104000000001,30011,-4300,11290
2,100001,2,1101000000002,Icon_MonsterCore_Ramog,1102000000002,Icon_Ability_MagicalCreature,1103000000001,1104000000002,30012,2520,1550
3,100002,1,1101000000001,Icon_MonsterCore_Boranta,1102000000001,Icon_Ability_MagicalCreature,1103000000001,1104000000001,30021,-4300,11290
4,100002,2,1101000000002,Icon_MonsterCore_Ramog,1102000000002,Icon_Ability_MagicalCreature,1103000000001,1104000000002,30022,2520,1550
5,100003,1,1101000000001,Icon_MonsterCore_Boranta,1102000000001,Icon_Ability_MagicalCreature,1103000000001,1104000000001,30031,-4300,11290
6,100003,2,1101000000002,Icon_MonsterCore_Ramog,1102000000002,Icon_Ability_MagicalCreature,1103000000001,1104000000002,30032,2520,1550
7,100004,1,1101000000001,Icon_MonsterCore_Boranta,1102000000001,Icon_Ability_MagicalCreature,1103000000001,1104000000001,30041,-4300,11290
8,100004,2,1101000000002,Icon_MonsterCore_Ramog,1102000000002,Icon_Ability_MagicalCreature,1103000000001,1104000000002,30042,2520,1550
9,100101,1,1101000000009,Icon_MonsterCore_Leonard,1102000000009,Icon_Ability_MagicalCreature,1103000000001,1104000000009,30111,19633,-4839
10,100101,2,1101000000010,Icon_MonsterCore_Trisha,1102000000010,Icon_Ability_MagicalCreature,1103000000001,1104000000010,30112,27506,-11881
11,100102,1,1101000000009,Icon_MonsterCore_Leonard,1102000000009,Icon_Ability_MagicalCreature,1103000000001,1104000000009,30121,19633,-4839
12,100102,2,1101000000010,Icon_MonsterCore_Trisha,1102000000010,Icon_Ability_MagicalCreature,1103000000001,1104000000010,30122,27506,-11881
13,100103,1,1101000000009,Icon_MonsterCore_Leonard,1102000000009,Icon_Ability_MagicalCreature,1103000000001,1104000000009,30131,19633,-4839
14,100103,2,1101000000010,Icon_MonsterCore_Trisha,1102000000010,Icon_Ability_MagicalCreature,1103000000001,1104000000010,30132,27506,-11881
15,100104,1,1101000000009,Icon_MonsterCore_Leonard,1102000000009,Icon_Ability_MagicalCreature,1103000000001,1104000000009,30141,19633,-4839
16,100104,2,1101000000010,Icon_MonsterCore_Trisha,1102000000010,Icon_Ability_MagicalCreature,1103000000001,1104000000010,30142,27506,-11881
19,100200,1,1101000000011,Icon_MonsterCore_Dike,1102000000011,Icon_Ability_MagicalCreature,1103000000001,1104000000011,30211,9316,-1440
20,100200,2,1101000000012,Icon_MonsterCore_Hagios,1102000000012,Icon_Ability_MagicalCreature,1103000000001,1104000000012,30212,30457,4562
21,100201,1,1101000000011,Icon_MonsterCore_Dike,1102000000011,Icon_Ability_MagicalCreature,1103000000001,1104000000011,30221,9316,-1440
22,100201,2,1101000000012,Icon_MonsterCore_Hagios,1102000000012,Icon_Ability_MagicalCreature,1103000000001,1104000000012,30222,30457,4562
23,100202,1,1101000000011,Icon_MonsterCore_Dike,1102000000011,Icon_Ability_MagicalCreature,1103000000001,1104000000011,30231,9316,-1440
24,100202,2,1101000000012,Icon_MonsterCore_Hagios,1102000000012,Icon_Ability_MagicalCreature,1103000000001,1104000000012,30232,30457,4562
25,100203,1,1101000000011,Icon_MonsterCore_Dike,1102000000011,Icon_Ability_MagicalCreature,1103000000001,1104000000011,30241,9316,-1440
26,100203,2,1101000000012,Icon_MonsterCore_Hagios,1102000000012,Icon_Ability_MagicalCreature,1103000000001,1104000000012,30242,30457,4562
