Key,ValueType,Value
AbilityUpgradeAccessoryCostAdena,UxUInt32,100000
AbilityUpgradeArmorCostAdena,UxUInt32,100000
AbilityUpgradeWeaponCostAdena,UxUInt32,150000
Ability.ApplyConstPower,UxUInt32,88
Ability.ApplyConstWeaponAbility,UxSingle,4
Ability.ApplyConstArmorAbility,UxSingle,4.5
Ability.CharacterAbilityPointMax,UxUInt32,9999
Achievement.NotifyTime,UxUInt32,3
ActivityPointItemInfoId,UxUInt32,490064
AdditionalInventoryExtensionCost,UxUInt32,0
AdminTool.MaxCountAdena,UxUInt32,999999
AdminTool.MaxCountDiamond,UxUInt32,9999
AdminTool.MaxCountEquipment,UxUInt32,1
AdminTool.MaxCountItem,UxUInt32,100
AdminTool.MaxCountMileage,UxUInt32,9999
AdminTool.MaxCountPotion,UxUInt32,9999
AdminTool.MaxCountSoulShot,UxUInt32,9999
AdminTool.MaxCountSupriseBox,UxUInt32,100
AdminTool.MaxCountTopaz,UxUInt32,9999
Aggro.MaxSight,UxSingle,2
Aggro.MinSight,UxSingle,0.1
Aggro.SightLevelGap,UxInt32,10
Ai.FirstAttackDelay,UxUInt32,500
Ai.GetAutoCombatMaximumRadius,UxSingle,3000
Ai.GetAutoCombatMediumRadius,UxSingle,1000
Ai.GetAutoCombatMinimumRadius,UxSingle,120
Ai.MaxUseSkillTendency,UxUInt32,5
Ai.SkillMaxdistanceBuffer,UxSingle,0.6
AnimText.Scale,UxSingle,1.5
Asset.Adena,UxUInt32,490002
Asset.AncientCoin,UxUInt32,490075
Asset.BloodCrystal,UxUInt32,400002
Asset.BraveCoin,UxUInt32,490074
Asset.Cash,UxUInt32,490003
Asset.Exp,UxUInt32,490001
Asset.FestivalCoupon,UxUInt32,490059
Asset.FriendlyPoint,UxUInt32,490034
Asset.GachaMileage,UxUInt32,490035
Asset.GuildCoin,UxUInt32,490006
Asset.GuildRedStarStone,UxUInt32,490065
Asset.HonorCoin,UxUInt32,490073
Asset.PaidCash,UxUInt32,490004
Asset.Rune,UxUInt32,490005
Asset.SoulShot,UxUInt32,400001
Asset.SP,UxUInt32,490033
Asset.Topaz,UxUInt32,490036
Asset.GiantEssence,UxUInt32,510000
Attendance.LastDay,UxUInt8,28
Attendance.ReturnUserTerm,UxUInt8,15
Attendance.WeeklyLastDay,UxUInt8,7
AuctionHouse.AdenaPerDiamond,UxUInt32,5000
AuctionHouse.ExchanageEnrollDuration,UxUInt32,172800
AuctionHouse.ExchangeRollUpTerm,UxUInt32,3600
AuctionHouse.ExchangeRollUpTermAdd,UxUInt32,18000
AuctionHouse.MarketCommission,UxUInt32,1000
AuctionHouse.MaximumPrice,UxUInt32,3000
AuctionHouse.MaxiumLimitFavoriteItem,UxUInt32,10
AuctionHouse.MaxRecordSize,UxUInt16,50
AuctionHouse.MaxSellingPrice,UxUInt32,100000000
AuctionHouse.MaxSellRegisterCount,UxUInt32,15
AuctionHouse.MinimumPrice,UxUInt32,3000
AuctionHouse.MinMarketCommission,UxUInt32,1
AuctionHouse.ModifiedRequiredCount,UxUInt32,100000000
AuctionHouse.PagingSize,UxUInt32,20
AuctionHouse.PlayerMinLevel,UxUInt16,21
AuctionHouse.PlayerMinLevelEN,UxUInt16,21
AuctionHouse.PlayerMinLevelTH,UxUInt16,21
AuctionHouse.RegistrationFeeCost,UxUInt32,0
AuctionHouse.RegistrationItemMaxCount,UxUInt16,99
AuctionHouse.RegistrationMinCost,UxUInt32,2
AuctionHouse.SellAddPriceRatePerUpgrade,UxUInt32,20
AuctionHouse.UnlimitedSellCostEnchantGrade,UxUInt32,100
Auto.HpPotionUseCondition,UxUInt32,4000
Auto.MaxWeightedDistance,UxSingle,1500
Auto.MpPotionUseCondition,UxUInt32,4000
Auto.SoulshotUseCondition,UxUInt32,3000
Auto.WeightForAngle,UxSingle,1
Auto.WeightForDistance,UxSingle,6
Auto.WeightForLastDamageCauser,UxSingle,0.5
BattleDeck.LimitCount,UxInt32,5
Battlefield.Battlefield20vs20AbleLevel,UxUInt32,40
Battlefield.Battlefield3vs3AbleLevel,UxUInt32,40
Battlefield.Battlefield5vs5AbleLevel,UxUInt32,40
Battlefield.BattlefieldPreSeasonPopupCount,UxUInt32,5
Battlefield.BattlefieldSeasonEndNotice,UxUInt32,5
BattlefieldOfBrave.DecayCount,UxInt32,3
BattlefieldOfBrave.DecayDay,UxInt32,7
BattlefieldOfBrave.FinishScore,UxInt32,300
BattlefieldOfBrave.FreyaGadgetId,UxUInt32,3101
BattlefieldOfBrave.FreyaSpawnBeforeNotifyTime,UxUInt32,5
BattlefieldOfBrave.FreyaSpawnStartDelay,UxUInt32,20
BattlefieldOfBrave.FreyaWallGadgetGroupId,UxUInt32,3102
BattlefieldOfBrave.MatchingRangeIncreaseCount,UxInt32,3
BattlefieldOfBrave.MatchingRangeIncreaseTime,UxInt32,10
BattlefieldOfBrave.OccupationAPosX,UxUInt32,-86
BattlefieldOfBrave.OccupationAPosY,UxUInt32,-2482
BattlefieldOfBrave.OccupationBPosX,UxUInt32,-1163
BattlefieldOfBrave.OccupationBPosY,UxUInt32,2461
BattlefieldOfBrave.OccupationCPosX,UxUInt32,976
BattlefieldOfBrave.OccupationCPosY,UxUInt32,2449
BattlefieldOfBrave.OccupationRange,UxUInt32,250
BattlefieldOfBrave.OccupationResetTime,UxUInt32,5
BattlefieldOfBrave.OccupationTime,UxUInt32,10
BattlefieldOfBrave.OccupationTimeSpeedBuff,UxUInt32,2500
BattlefieldOfBrave.PointOfKill,UxUInt32,1
BattlefieldOfBrave.PointOfOccupation1,UxUInt32,1
BattlefieldOfBrave.PointOfOccupation2,UxUInt32,3
BattlefieldOfBrave.PointOfOccupation3,UxUInt32,5
BattlefieldOfHonor.AllKillAcquiredScore,UxInt32,3
BattlefieldOfHonor.DecayCount,UxInt32,3
BattlefieldOfHonor.DecayDay,UxInt32,7
BattlefieldOfHonor.FinishScore,UxInt32,10
BattlefieldOfHonor.KillAcquiredScore,UxInt32,1
BattlefieldOfHonor.MatchingRangeIncreaseCount,UxInt32,5
BattlefieldOfHonor.MatchingRangeIncreaseTime,UxInt32,10
BossWorld.ClosedWorldStayPlayerCheckTime,UxUInt32,60
BossWorld.RestorePlayerWaitTime,UxUInt32,600
Buff.ReductionRemainedTime,UxUInt32,10000
Camera,,
CastleSiege.AltarImprintScore,UxInt32,15
CastleSiege.AnnounceKillComboCount,UxUInt32,5
CastleSiege.AnnounceKillComboKeepTime,UxUInt32,15
CastleSiege.AnnouncePromoteGrade,UxUInt32,3
CastleSiege.AttackerRewardAdena,UxInt32,37500
CastleSiege.AttackerRewardBloodCrystal,UxInt32,50
CastleSiege.AttackerRewardExp,UxInt32,100
CastleSiege.BidCancelFee,UxUInt32,500
CastleSiege.BiddableMinLevel,UxUInt32,5
CastleSiege.DeathScore,UxInt32,-1
CastleSiege.DefenderRewardAdena,UxInt32,37500
CastleSiege.DefenderRewardBloodCrystal,UxInt32,50
CastleSiege.DefenderRewardExp,UxInt32,100
CastleSiege.DefenderTeamId,UxUInt32,1
CastleSiege.EntryBidExtensionBeforeEndSec,UxUInt32,60
CastleSiege.EntryBidExtensionCount,UxUInt32,10
CastleSiege.EntryBidExtensionMaxSec,UxUInt32,1800
CastleSiege.EntryBidExtensionSec,UxUInt32,180
CastleSiege.EntryBidListCount,UxUInt32,5
CastleSiege.EntryBidMinAdena,UxUInt32,1000000
CastleSiege.FestivalTimeSeconds,UxUInt32,75600
CastleSiege.FinishStateDuration,UxInt32,60
CastleSiege.GuardTowerDestructionScore,UxInt32,20
CastleSiege.HolyArtifactImprintScore,UxInt32,50
CastleSiege.KillMasterScore,UxInt32,10
CastleSiege.KillScore,UxInt32,5
CastleSiege.KillWeakScore,UxInt32,3
CastleSiege.LotteryBuyCost,UxUInt32,10
CastleSiege.LotteryChangeCost,UxUInt32,10
CastleSiege.LotteryItemDropInfoGroupId,UxUInt32,9999
CastleSiege.MailCouponCount,UxUInt32,25
CastleSiege.MarketOpen,UxBool,1
CastleSiege.MaxAttackerGuildCount,UxUInt32,3
CastleSiege.MaxLotteryCount,UxUInt32,3
CastleSiege.MinTaxCommission,UxUInt32,90000
CastleSiege.MorianFestivalLosingLotteryReward,UxUInt32,500
CastleSiege.MvpExpBonusRate,UxInt32,5000
CastleSiege.MvpItemRewardCountMultifly,UxInt32,2
CastleSiege.MvpRewardBonusRate,UxInt32,5000
CastleSiege.OffenseTowerAttackNotifyTick,UxUInt32,3000
CastleSiege.OffenseTowerDestructionScore,UxInt32,50
CastleSiege.PreseasonEndDateString,UxString,2017-12-24 23:00:00
CastleSiege.PreseasonStartDateString,UxString,2017-11-24 00:00:00
CastleSiege.ReadyMarketOpen,UxBool,1
CastleSiege.ReceiveBuffAndItem,UxBool,1
CastleSiege.RevivalCoolTime,UxInt32,10
CastleSiege.ReviveBuffIndex1,UxString,"451, 452"
CastleSiege.ReviveBuffIndex2,UxString,"453, 454"
CastleSiege.ReviveBuffIndex3,UxString,"453, 454"
CastleSiege.ReviveBuffIndex4,UxString,"453, 454"
CastleSiege.ReviveBuffInfoId,UxUInt32,453
CastleSiege.TaxEnable,UxBool,1
CastleSiege.TaxRateChangeable,UxBool,1
CastleSiege.WinnerMasterRewardCash,UxInt32,1000
CastleSiege.WinnerRewardAdena,UxInt32,75000
CastleSiege.WinnerRewardBloodCrystal,UxInt32,100
CastleSiege.WinnerRewardExp,UxInt32,100
CastleSiege.ObserverModeNameColorDefenceTeam,EColorType,Blue
CastleSiege.ObserverModeNameColorOffenceTeam1,EColorType,Green
CastleSiege.ObserverModeNameColorOffenceTeam2,EColorType,BrightAqua
CastleSiege.ObserverModeNameColorOffenceTeam3,EColorType,Yellow
CastleSiege.ExpiredInfoUpdateDelayTime,UxSingle,3
CastleANDFortressObserverMode,,
ObserverMode.MaxMember,UxUInt32,100
Channel.ChangeTimeLimit,UxUInt32,180
Channel.ExtendStandardUserCount,UxUInt32,50
Channel.LightTrafficRate,UxSingle,0.7
Channel.MiddleTrafficRate,UxSingle,0.9
Character.ImgDefaultUrl,UxString,http://lineageii.gcdn.netmarble.com/lineageii/KO/Forum/Profile/Class
Character.MaximumNameLength,UxUInt32,16
Character.MinimumNameLength,UxUInt32,4
CharMaxLevel,UxUInt32,260
Chat.ChatDefault,EColorType,ChatDefault
Chat.DiceFreezeTime,UxInt32,1
Chat.DiceRollingTime,UxInt32,2
Chat.EmoticonStandardTime,UxInt64,1496602800
Chat.FriendColor,EColorType,ChatFriend
Chat.GuildColor,EColorType,ChatGuild
Chat.LocalAlbleLevelTW,UxUInt32,15
Chat.LocalColor,EColorType,ChatLocal
Chat.MaxChannelCount,UxInt32,10
Chat.MaxLength,UxInt32,64
Chat.NewMessageStackCount,UxInt32,20
Chat.NormalCoolTime,UxInt32,3
Chat.PartyColor,EColorType,ChatParty
Chat.PromoteCoolTime,UxInt32,20
Chat.PromoteGuildColor,EColorType,ChatGuildPromote
Chat.PromotePartyColor,EColorType,ChatPartyPromote
Chat.QuickTalkCellCount,UxInt32,4
Chat.SummonGemCoolTime,UxInt32,10
Chat.SystemColor,EColorType,ChatSystem
Chat.VoiceGuideTime,UxInt32,10
Chat.WorldAlbleLevelTW,UxUInt32,31
Chat.WorldColor,EColorType,ChatWorld
Chat.WorldCoolTime,UxInt32,10
Chat.LocalAlbleLevel,UxUInt32,15
Chat.WorldAlbleLevel,UxUInt32,31
ClassTransferCameraEffectInfoID,UxUInt32,102
ClassTransferEffectInfoID,UxUInt32,101
ClassTransferLevel,UxUInt32,31
ClassTransferReward,UxUInt32,400101
ClassUISkillUseTerm,UxSingle,1
Combat.AttackConstant,UxSingle,1
Combat.BuffLimitLevelAddValue,UxInt32,999
Combat.CharacterCombatPowerMax,UxUInt32,9999999
Combat.ComboExpirationTime,UxUInt32,3000
Combat.ComboMinCount,UxUInt32,3
Combat.CompressExponent,UxSingle,1
Combat.CriticalMinValueConstant,UxSingle,90
Combat.CriticalTemplateValueConstant,UxSingle,0.14
Combat.CriticalValueConstant,UxSingle,1.5
Combat.DefenseConstant,UxSingle,1
Combat.EvadeCanstant,UxSingle,0.8
Combat.KeepCombatTime,UxUInt32,5000
Combat.MaximumCriticalRate,UxInt32,3500
Combat.MaximumHitRate,UxInt32,9990
Combat.MaxReflectDamageRate,UxUInt32,20000
Combat.MinimumCriticalRate,UxInt32,100
Combat.MinimumHitRate,UxInt32,3500
Combat.PenetrationConst,UxSingle,1
Combat.PvpAttackConstant,UxSingle,1
Combat.PvpCompressExponent,UxSingle,0.45
Combat.PvPDecValue,UxSingle,4
Combat.PvpDefenseConstant,UxSingle,1
Combat.PvPExponent,UxSingle,0.9
Combat.ResilienceConst,UxSingle,1
Combat.ReviveBuffInfoId,UxUInt32,1005
Combat.SkillMissAdjustValue,UxSingle,1
Combat.SoulShotDamageRate,UxInt32,5000
Combat.SoulShotHealRate,UxInt32,2000
Combat.TowerExponent,UxDouble,0.35
Combat.RareSkillDecreaseDamageAdjustMinValue,UxUInt32,0
Combat.RareSkillDecreaseDamageAdjustMaxValue,UxUInt32,45000
Common.AutoReviveStartTime,UxUInt32,30
Common.BroadCastCanvasWidth,UxUInt32,760
Common.BroadCastingDisplayTime,UxUInt32,5
Common.BroadCastSpeed,UxUInt32,150
Common.ByteCheck,UxBool,0
Common.DivideBossHP,UxUInt32,100000
Common.FinishKeepTime,UxSingle,1.5
Common.FinishKeepTimeClearDungeon,UxSingle,5
Common.FinishKeepTimeClearGuildDungeon,UxSingle,5
Common.FinishStayTime,UxSingle,0.7
Common.GiftCardGradeColor1,EColorType,GiftCardGrade1
Common.GiftCardGradeColor2,EColorType,GiftCardGrade2
Common.GiftCardGradeColor3,EColorType,GiftCardGrade3
Common.GiftCardGradeColor4,EColorType,GiftCardGrade4
Common.GiftCardGradeColor5,EColorType,GiftCardGrade5
Common.MaximumEnglishLength,UxUInt32,12
Common.MaximumENLength,UxUInt8,16
Common.MaximumHangeulLength,UxUInt32,8
Common.MaximumKOLength,UxUInt8,12
Common.MaximumMixedLength,UxUInt32,8
Common.MaximumNumberLength,UxUInt32,12
Common.MaximumTHLength,UxUInt8,12
Common.MaximumTWLength,UxUInt8,8
Common.MaximumIDLength,UxUInt8,16
Common.MinimumEnglishLength,UxUInt32,2
Common.MinimumENLength,UxUInt8,2
Common.MinimumHangeulLength,UxUInt32,2
Common.MinimumKOLength,UxUInt8,2
Common.MinimumMixedLength,UxUInt32,2
Common.MinimumNumberLength,UxUInt32,2
Common.MinimumTHLength,UxUInt8,2
Common.MinimumTWLength,UxUInt8,2
Common.MinimumIDLength,UxUInt8,2
Common.ReviveRevengeButtonKeepTime,UxSingle,10
