GroupId,Grade,GradeName,GradeIcon,NextGrade,RequiredCompleteCount,NpcTalkGroupInfoId
1,1,C,UI_Icon_ItemSlotSmall_01,2,5,102
1,2,B,UI_Icon_ItemSlotSmall_02,3,5,103
1,3,A,UI_Icon_ItemSlotSmall_03,4,5,104
1,4,S,UI_Icon_ItemSlotSmall_04,5,5,105
1,5,R,UI_Icon_ItemSlotSmall_05,6,5,106
1,6,SR,UI_Icon_ItemSlotSmall_06,0,5,107
2,1,C,UI_Icon_ItemSlotSmall_01,2,5,0
2,2,B,UI_Icon_ItemSlotSmall_02,3,5,0
2,3,A,UI_Icon_ItemSlotSmall_03,4,5,0
2,4,S,UI_Icon_ItemSlotSmall_04,5,5,0
2,5,R,UI_Icon_ItemSlotSmall_05,6,5,0
2,6,SR,UI_Icon_ItemSlotSmall_06,0,5,0
4,1,C,UI_Icon_ItemSlotSmall_01,2,4,0
4,2,B,UI_Icon_ItemSlotSmall_02,3,4,0
4,3,A,UI_Icon_ItemSlotSmall_03,4,4,0
4,4,S,UI_Icon_ItemSlotSmall_04,5,4,0
4,5,R,UI_Icon_ItemSlotSmall_05,6,4,0
4,6,SR,UI_Icon_ItemSlotSmall_06,0,4,0
5,1,C,UI_Icon_ItemSlotSmall_01,2,5,0
5,2,B,UI_Icon_ItemSlotSmall_02,3,5,0
5,3,A,UI_Icon_ItemSlotSmall_03,4,5,0
5,4,S,UI_Icon_ItemSlotSmall_04,5,5,0
5,5,R,UI_Icon_ItemSlotSmall_05,6,5,0
5,6,SR,UI_Icon_ItemSlotSmall_06,0,5,0
6,1,B,UI_Icon_ItemSlotSmall_02,2,4,0
6,2,A,UI_Icon_ItemSlotSmall_03,3,4,0
6,3,S,UI_Icon_ItemSlotSmall_04,4,4,0
6,4,R,UI_Icon_ItemSlotSmall_05,5,4,0
6,5,SR,UI_Icon_ItemSlotSmall_06,0,4,0
7,1,C,UI_Icon_ItemSlotSmall_01,2,5,0
7,2,B,UI_Icon_ItemSlotSmall_02,3,5,0
7,3,A,UI_Icon_ItemSlotSmall_03,4,5,0
7,4,S,UI_Icon_ItemSlotSmall_04,5,5,0
7,5,R,UI_Icon_ItemSlotSmall_05,6,5,0
7,6,SR,UI_Icon_ItemSlotSmall_06,0,5,0
8,1,C,UI_Icon_ItemSlotSmall_01,2,5,0
8,2,B,UI_Icon_ItemSlotSmall_02,3,5,0
8,3,A,UI_Icon_ItemSlotSmall_03,4,5,0
8,4,S,UI_Icon_ItemSlotSmall_04,5,5,0
8,5,R,UI_Icon_ItemSlotSmall_05,6,5,0
8,6,SR,UI_Icon_ItemSlotSmall_06,0,5,0
