Id,Group,WorldId,SortNum,RewardType,EffectType,RewardQuantity,RewardIndex,PromotePoint,RewardProgress,RewardIcon
10101,1,1,1,Item,AttackPowerPhy,5,1001100,10,20,909
10102,1,1,1,Item,AttackPowerPhy,5,1001100,20,40,909
10103,1,1,1,Item,AttackPowerPhy,5,1001100,30,60,909
10104,1,1,1,Item,AttackPowerPhy,5,1001100,40,80,909
10105,1,1,1,Item,AttackPowerPhy,5,1001100,50,100,909
10201,2,2,2,Item,AttackPowerPhy,5,1001100,12,20,909
10202,2,2,2,Item,AttackPowerPhy,5,1001100,24,40,909
10203,2,2,2,Item,AttackPowerPhy,5,1001100,36,60,909
10204,2,2,2,Item,AttackPowerPhy,5,1001100,48,80,909
10205,2,2,2,Item,AttackPowerPhy,5,1001100,60,100,909
10301,3,200,3,Item,AttackPowerPhy,10,1001100,14,20,909
10302,3,200,3,Item,AttackPowerPhy,10,1001100,28,40,909
10303,3,200,3,Item,AttackPowerPhy,10,1001100,42,60,909
10304,3,200,3,Item,AttackPowerPhy,10,1001100,56,80,909
10305,3,200,3,Item,AttackPowerPhy,10,1001100,70,100,909
10401,4,201,4,Item,AttackPowerPhy,10,1001100,17,20,909
10402,4,201,4,Item,AttackPowerPhy,10,1001100,34,40,909
10403,4,201,4,Item,AttackPowerPhy,10,1001100,51,60,909
10404,4,201,4,Item,AttackPowerPhy,10,1001100,68,80,909
10405,4,201,4,Item,AttackPowerPhy,10,1001100,85,100,909
10501,5,3,5,Item,AttackPowerPhy,10,1001101,19,20,909
10502,5,3,5,Item,AttackPowerPhy,10,1001101,38,40,909
10503,5,3,5,Item,AttackPowerPhy,10,1001101,57,60,909
10504,5,3,5,Item,AttackPowerPhy,10,1001101,76,80,909
10505,5,3,5,Item,AttackPowerPhy,10,1001101,95,100,909
10601,6,4,6,Item,AttackPowerPhy,10,1001101,24,20,909
10602,6,4,6,Item,AttackPowerPhy,10,1001101,48,40,909
10603,6,4,6,Item,AttackPowerPhy,10,1001101,72,60,909
10604,6,4,6,Item,AttackPowerPhy,10,1001101,96,80,909
10605,6,4,6,Item,AttackPowerPhy,10,1001101,120,100,909
10701,7,5,7,Item,AttackPowerPhy,10,1001101,29,20,909
10702,7,5,7,Item,AttackPowerPhy,10,1001101,58,40,909
10703,7,5,7,Item,AttackPowerPhy,10,1001101,87,60,909
10704,7,5,7,Item,AttackPowerPhy,10,1001101,116,80,909
10705,7,5,7,Item,AttackPowerPhy,10,1001101,145,100,909
10801,8,6,8,Item,AttackPowerPhy,10,1001101,34,20,909
10802,8,6,8,Item,AttackPowerPhy,10,1001101,68,40,909
10803,8,6,8,Item,AttackPowerPhy,10,1001101,102,60,909
10804,8,6,8,Item,AttackPowerPhy,10,1001101,136,80,909
10805,8,6,8,Item,AttackPowerPhy,10,1001101,170,100,909
10901,9,202,9,Item,AttackPowerPhy,15,1001101,39,20,909
10902,9,202,9,Item,AttackPowerPhy,15,1001101,78,40,909
10903,9,202,9,Item,AttackPowerPhy,15,1001101,117,60,909
10904,9,202,9,Item,AttackPowerPhy,15,1001101,156,80,909
10905,9,202,9,Item,AttackPowerPhy,15,1001101,195,100,909
11001,10,203,10,Item,AttackPowerPhy,15,1001101,43,20,909
11002,10,203,10,Item,AttackPowerPhy,15,1001101,86,40,909
11003,10,203,10,Item,AttackPowerPhy,15,1001101,129,60,909
11004,10,203,10,Item,AttackPowerPhy,15,1001101,172,80,909
11005,10,203,10,Item,AttackPowerPhy,15,1001101,215,100,909
11101,11,7,11,Item,AttackPowerPhy,10,1001102,51,20,909
11102,11,7,11,Item,AttackPowerPhy,10,1001102,102,40,909
11103,11,7,11,Item,AttackPowerPhy,10,1001102,153,60,909
11104,11,7,11,Item,AttackPowerPhy,10,1001102,204,80,909
11105,11,7,11,Item,AttackPowerPhy,10,1001102,255,100,909
11201,12,8,12,Item,AttackPowerPhy,10,1001102,58,20,909
11202,12,8,12,Item,AttackPowerPhy,10,1001102,116,40,909
11203,12,8,12,Item,AttackPowerPhy,10,1001102,174,60,909
11204,12,8,12,Item,AttackPowerPhy,10,1001102,232,80,909
11205,12,8,12,Item,AttackPowerPhy,10,1001102,290,100,909
11301,13,9,13,Item,AttackPowerPhy,10,1001102,65,20,909
11302,13,9,13,Item,AttackPowerPhy,10,1001102,130,40,909
11303,13,9,13,Item,AttackPowerPhy,10,1001102,195,60,909
11304,13,9,13,Item,AttackPowerPhy,10,1001102,260,80,909
11305,13,9,13,Item,AttackPowerPhy,10,1001102,325,100,909
11401,14,10,14,Item,AttackPowerPhy,10,1001102,72,20,909
11402,14,10,14,Item,AttackPowerPhy,10,1001102,144,40,909
11403,14,10,14,Item,AttackPowerPhy,10,1001102,216,60,909
11404,14,10,14,Item,AttackPowerPhy,10,1001102,288,80,909
11405,14,10,14,Item,AttackPowerPhy,10,1001102,360,100,909
11501,15,204,15,Item,AttackPowerPhy,15,1001102,80,20,909
11502,15,204,15,Item,AttackPowerPhy,15,1001102,160,40,909
11503,15,204,15,Item,AttackPowerPhy,15,1001102,240,60,909
11504,15,204,15,Item,AttackPowerPhy,15,1001102,320,80,909
11505,15,204,15,Item,AttackPowerPhy,15,1001102,400,100,909
11601,16,205,16,Item,AttackPowerPhy,15,1001102,89,20,909
11602,16,205,16,Item,AttackPowerPhy,15,1001102,178,40,909
11603,16,205,16,Item,AttackPowerPhy,15,1001102,267,60,909
11604,16,205,16,Item,AttackPowerPhy,15,1001102,356,80,909
11605,16,205,16,Item,AttackPowerPhy,15,1001102,445,100,909
11701,17,11,17,Item,AttackPowerPhy,10,1001103,99,20,909
11702,17,11,17,Item,AttackPowerPhy,10,1001103,198,40,909
11703,17,11,17,Item,AttackPowerPhy,10,1001103,297,60,909
