Id,Type,ValueKey
1,System,481000000001
2,System,481000000002
3,System,481000000003
4,System,481000000004
5,System,481000000005
6,System,481000000006
7,System,481000000007
8,System,481000000008
9,System,481000000009
10,System,481000000010
11,System,481000000011
12,System,481000000012
13,System,481000000013
14,System,481000000014
15,System,481000000015
16,GuildChat,481000000016
17,System,481000000017
18,System,481000000018
19,System,481000000019
20,System,481000000020
21,System,481000000021
22,System,481000000022
23,System,481000000023
24,System,481000000024
25,System,481000000025
26,System,481000000026
27,System,481000000027
28,System,481000000028
