Id,MarketId
50105,CgkIjuX55KseEAIQCA
51201,CgkIjuX55KseEAIQCQ
21401,CgkIjuX55KseEAIQCg
50301,CgkIjuX55KseEAIQCw
21101,CgkIjuX55KseEAIQDA
41701,CgkIjuX55KseEAIQDQ
21201,CgkIjuX55KseEAIQDg
20701,CgkIjuX55KseEAIQDw
11401,CgkIjuX55KseEAIQEA
12004,CgkIjuX55KseEAIQEQ
10801,CgkIjuX55KseEAIQEg
11001,CgkIjuX55KseEAIQEw
41303,CgkIjuX55KseEAIQFA
30701,CgkIjuX55KseEAIQFQ
21601,CgkIjuX55KseEAIQFg
11501,CgkIjuX55KseEAIQFw
20101,CgkIjuX55KseEAIQGA
21501,CgkIjuX55KseEAIQGQ
10701,CgkIjuX55KseEAIQGg
50801,CgkIjuX55KseEAIQGw
