Id,GuideQuestGroupId,Rank,RequiredId,RequiredLevel,TitleKey,RankTitleKey,DescKey,TaskType,ContentsLock,TaskCount,RewardType,RewardItemInfoId,RewardCount,ContentType,Dungeon,HelpURL
1001,1,1,,1,611000001001,613000001001,612000001001,If_QuestClearByActChapter,,1,Item,440001,20,QuestProgress,,http://guide.netmarble.com/revolutionthm#cont/743
1002,1,1,1001,1,611000001002,613000001001,612000001002,Count_ItemLevelUp,FORGE,5,FreeDiamond,490003,20,BlackSmithLevelUp,,http://guide.netmarble.com/revolutionthm#cont/744
1003,1,1,1002,1,611000001001,613000001001,612000001003,If_QuestClearByActChapter,,1,FreeDiamond,490003,30,QuestProgress,,http://guide.netmarble.com/revolutionthm#cont/745
1004,1,1,1003,1,91000000076,613000001001,612000001004,Count_HeroScore,HEROIC,500,Adena,490002,10000,AchievementBattle,,http://guide.netmarble.com/revolutionthm#cont/746
1005,1,1,1004,1,91000000008,613000001001,612000001005,If_BattlePoint,,8000,Item,480005,1,CharacterPromote,,http://guide.netmarble.com/revolutionthm#cont/747
1006,1,1,1005,1,2011,613000001001,612000001006,Count_Arena,PVP,3,Adena,490002,10000,Pvp,,http://guide.netmarble.com/revolutionthm#cont/748
1007,1,1,1006,1,191000000016,613000001001,612000001002,Count_ItemLevelUp,FORGE,5,FreeDiamond,490003,30,BlackSmithLevelUp,,http://guide.netmarble.com/revolutionthm#cont/749
1008,1,1,1007,1,611000001007,613000001001,612000001007,Count_AcquiredItem,,20,Item,911123,1,EquipDungeon,,http://guide.netmarble.com/revolutionthm#cont/750
1009,1,1,1008,1,611000001008,613000001001,612000001008,Count_PlayInfinityDungeon,INFINITY_DUNGEON,3,Item,440011,20,InfinityDungeon,,http://guide.netmarble.com/revolutionthm#cont/751
1010,1,1,1009,1,191000000022,613000001001,612000001009,Count_RuneLevelup_Success,RUNE,3,Item,480004,1,RuneCarve,,http://guide.netmarble.com/revolutionthm#cont/752
1011,1,1,1010,1,611000001010,613000001001,612000001010,Count_DailyDungeonClear,DAILY_DUNGEON,1,Adena,490002,30000,DailyDungeon,,http://guide.netmarble.com/revolutionthm#cont/753
1012,1,1,1011,1,4009,613000001001,612000001012,Count_Donation,GUILD,3,Item,910133,1,Guild,,http://guide.netmarble.com/revolutionthm#cont/754
2001,1,2,1012,1,3010,613000002001,612000001013,Count_GuildBuffBuy,GUILD,1,Item,440001,20,GuildClanBuff,,http://guide.netmarble.com/revolutionthm#cont/755
2002,1,2,2001,1,2002,613000002001,612000001014,Count_DungeonQuestClear,ELITE_DUNGEON_0,1,Adena,490002,30000,EliteDungeon,,http://guide.netmarble.com/revolutionthm#cont/756
2003,1,2,2002,1,611000001015,613000002001,612000001015,Count_ItemComposition,COMPOSITION,2,Item,910210,1,BlackSmithComposition,,http://guide.netmarble.com/revolutionthm#cont/757
2004,1,2,2003,1,611000001016,613000002001,612000001016,Count_SoulCrystalLevelUp,SOUL_CRYSTAL,3,Item,910211,1,SoulCrystalLevelUp,,http://guide.netmarble.com/revolutionthm#cont/758
2005,1,2,2004,1,611000001001,613000002001,612000001017,If_QuestClearByActChapter,,1,FreeDiamond,490003,150,QuestProgress,,http://guide.netmarble.com/revolutionthm#cont/759
2006,1,2,2005,1,611000002006,613000002001,612000001018,If_TowerFloorClear,INFINITY_DUNGEON,18,Item,490008,1,InfinityDungeon,,http://guide.netmarble.com/revolutionthm#cont/760
2007,1,2,2006,1,731000001729,613000002001,612000002007,Count_ItemEnchant,ENCHANT,2,FreeDiamond,490003,20,BlackSmithEnchant,,http://guide.netmarble.com/revolutionthm#cont/761
2008,1,2,2007,1,2003,613000002001,612000001019,Count_Gathering,COLLECT_DUNGEON,10,Item,910308,1,CollectDungeon,,http://guide.netmarble.com/revolutionthm#cont/762
2009,1,2,2008,1,4003,613000002001,612000002009,Count_CraftingItem,ELIXIR,1,Adena,490002,50000,Elixir,,http://guide.netmarble.com/revolutionthm#cont/763
2010,1,2,2009,1,611000001001,613000002001,612000001020,If_QuestClearByActChapter,,1,Item,490005,1000,QuestProgress,,http://guide.netmarble.com/revolutionthm#cont/846
