Id,TabType,NameKey,TemplateName,TemplateDescKey,TaskType,TaskCondition,GradeGroupId,MoveContentType,IconTexture,CategoryType,Keyword,PromoteGroupId
101001,TopMenu,431000101001,,23,PromoteAverageGrade,10000,1,,Texture/UI_Btn_Character,,,
201001,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,1098,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201002,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,1260,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201003,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,1488,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201004,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,1746,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201005,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,2072,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201006,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,2454,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201007,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,2916,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201008,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,3426,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201009,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,4028,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201010,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,4700,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201011,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,5450,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201012,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,6296,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201013,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,7242,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201014,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,8286,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201015,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,8486,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201016,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,8656,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201017,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,9056,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201018,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,9456,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201019,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,10336,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201020,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,11606,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201021,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,12988,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201022,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,14496,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201023,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,16150,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
201024,PromoteState,431000201001,,432000201001,Count_EquipItemBattlePoint,17936,1,BagAll,Texture/UI_Btn_BattleField,Equipment,Inventory,
