ColorType,MatchColor,Color
White,,0xFFFFFFFF
Black,,0x000000FF
Grey,,0x303943FF
Green,,0x1BBB62FF
Red,,0xC20501FF
Yellow,,0xFFC800FF
Blue,,0x1252FFFF
BrightGrey,,0xEFEFEFFF
Orange,,0xFF8000FF
BrightAqua,,0x1080E4FF
LightBrown,,0xE5A932FF
DarkAqua,,0x699BD7FF
LightOlive,,0xA9CC00FF
DarkRed,,0xCC0000FF
PC,,0xFFFFFFFF
NPC,,0xFFFFFFFF
Monster,,0xFFFFFFFF
MonsterAggressive,,0xFF0000FF
Gadget,,0xFFFFFFFF
Party,,0x00A388FF
Enemy,,0xFF0A0AFF
PkAssault,,0x660066FF
PkChao,,0xFF0000FF
SystemMessageNormal,,0xE4EAD9FF
SystemMessageWarning,,0xF52608FF
SystemMessageSystem,,0x1AADF1FF
SystemMessageGain,,0x6DD223FF
SystemMessageArtifact,,0xFFB400FF
SystemMessageTrap,,0xFF506EFF
SystemMessageShadow,,0x00000099
GuildName,,0x1252FFFF
Arrow,,0x96C8FAFF
ChatWorld,,0xffc600FF
ChatLocal,,0xFFFFFFFF
ChatFriend,,0xfc2f8aFF
ChatGuild,,0x4f9bfbFF
ChatGuildPromote,,0x00A0FFFF
ChatParty,,0x17a388FF
ChatPartyPromote,,0x00A388FF
ChatSystem,,0xFFFF9DFF
MapName,,0xFFB400FF
PartyNameTag,,0x00A388FF
RecommendEquipment,,0x399332FF
MonsterGradeC,,0xFFFFFFFF
MonsterGradeB,,0xFF358BFF
MonsterGradeA,,0x00A388FF
MonsterGradeS,,0x1252FFFF
MonsterGradeR,,0xFFB03BFF
DailyMissionRankC,,0xa09c9cff
DailyMissionRankB,,0x6ba6b7ff
DailyMissionRankA,,0x53A629ff
DailyMissionRankS,,0x2b9172ff
DailyMissionRankR,,0xa955baff
HumanName,,0x4687A4FF
HumanBackground1,,0x248AB76F
HumanBackground2,,0x007EC6FF
ElfName,,0x68964FFF
ElfBackground1,,0x99901E6F
ElfBackground2,,0x00E40DFF
DarkElfName,,0x9A69ABFF
DarkElfBackground1,,0xC561E26F
DarkElfBackground2,,0xCE28D4FF
DwarfName,,0xB48359FF
DwarfBackground1,,0xD0941B6F
DwarfBackground2,,0xFF8400FF
MonsterBookGradeC,,0x1B1B1BFF
MonsterBookGradeB,,0x0A1400FF
MonsterBookGradeA,,0x000A1EFF
MonsterBookGradeS,,0x000A1EFF
MonsterBookGradeR,,0x000A1EFF
GiftCardGrade1,,0x6A6A6AFF
GiftCardGrade2,,0x6F92B7FF
GiftCardGrade3,,0x71A00EFF
GiftCardGrade4,,0x00D0CEFF
GiftCardGrade5,,0xB453FFFF
AutoDisable,,0x303943FF
AutoEnable,,0x4B9AFFFF
RuneOffense,,0xAF53CDFF
RuneDefense,,0x0E9418FF
RuneStemina,,0xD90E00FF
RuneUtility,,0x1F63EEFF
GradeC,,0x6A6A6AFF
GradeB,,0x6F92B7FF
GradeA,,0x71A00EFF
GradeS,,0x00D0CEFF
GradeR,,0xB453FFFF
GradeSR,,0xF3902AFF
GradeUR,,0xF3912AFF
CompleteText,,0x41464CFF
ClearLine,,0xEBFFE6FF
ChapterLine,,0x3B3D3FFF
RewardGet,,0x4791F0FF
RewardDims,,0xFFFFFF33
BeforeOccupation,,0x303943FF
Occupation,,0xFFFFFFFF
CheckedText,,0xFFFFFFFF
UncheckedText,,0xFFFFFF7F
CharacterStatExpended,,0x000000CC
CharacterStatCollapsed,,0x00000066
PvpZoneProtect,,0x50AA1EFF
PvpZoneNormal,,0xFFD74BFF
PvpZoneEnabled,,0xFF506EFF
,,0x1BBB62FF
,,0x1252FFFF
,,0xC20501FF
Alliance,,0xFFFFFFFF
CastleDark,,0x3F0600FF
SystemMessageFestivalTicket,,0xFFC600FF
ChatDefault,,0xFFFFFFFF
AgitQuestPossible,,0x59D1CDFF
AgitQuestImPossible,,0xFF150FFF
BattlefieldWin,,0x078CD1FF
BattlefieldLose,,0xF52608FF
PetGrey,,0x676A72FF
PetLightBlue,,0x89C2FCFF
PetEmpty,,0xFFFFFFB3
JourneyComplete,,0xa09c9cff
JourneyProgress,,0x040201FF
JourneyNotComplete,,0x260E00FF
SubStatGrey,,0x78828CFF
DeepBlue,,0x0105C2FF
Adena,,0xFFC616FF
FreeDiamond,,0xE7354CFF
PayDiamond,,0x1252FFFF
Topaz,,0xFFC516FF
Mileage,,0x00CE26FF
ExpPurchase,,0x00A800FF
Item,,0xF15555FF
