ID,PresetSkillGroupId,SKillinfoId,SkillHide
1,1001,11111,0
2,1001,11112,0
3,1001,11113,0
4,1001,11211,0
5,1001,11212,0
6,1001,11213,0
7,1001,35001,0
8,1001,35002,0
9,1001,20211,0
10,1001,20212,0
11,1001,35011,0
12,1001,30001,0
13,1001,30006,0
14,1001,30011,0
15,1001,30012,0
16,1001,30014,0
17,1001,30015,0
18,1002,11111,0
19,1002,11112,0
20,1002,11113,0
21,1002,11221,0
22,1002,11222,0
23,1002,11223,0
24,1002,35001,0
25,1002,35002,0
26,1002,20221,0
27,1002,21221,0
28,1002,35021,0
29,1002,30001,0
30,1002,30006,0
31,1002,30011,0
32,1002,30012,0
33,1002,30014,0
34,1002,30015,0
35,1003,11121,0
36,1003,11122,0
37,1003,11123,0
38,1003,11231,0
39,1003,11232,0
40,1003,11233,0
41,1003,35003,0
42,1003,35004,0
43,1003,20231,0
44,1003,21231,0
45,1003,35031,0
46,1003,30001,0
47,1003,30006,0
48,1003,30011,0
49,1003,30012,0
50,1003,30014,0
51,1003,30015,0
52,1004,11124,0
53,1004,11125,0
54,1004,11241,0
55,1004,11242,0
56,1004,11243,0
57,1004,11244,0
58,1004,35003,0
59,1004,35004,0
60,1004,20241,0
61,1004,21241,0
62,1004,30001,0
63,1004,30006,0
64,1004,30011,0
65,1004,30012,0
66,1004,30014,0
67,1004,30015,0
68,1005,11131,0
69,1005,11132,0
70,1005,11133,0
71,1005,11251,0
72,1005,11252,0
73,1005,11253,0
74,1005,35005,0
75,1005,35006,0
76,1005,20251,0
77,1005,21251,0
78,1005,30001,0
79,1005,30006,0
80,1005,30011,0
81,1005,30012,0
82,1005,30014,0
83,1005,30015,0
84,1006,11131,0
85,1006,11132,0
86,1006,11133,0
87,1006,11261,0
88,1006,11262,0
89,1006,35005,0
90,1006,35006,0
91,1006,20261,0
92,1006,21261,0
93,1006,21262,0
94,1006,30001,0
95,1006,30006,0
96,1006,30011,0
97,1006,30012,0
98,1006,30014,0
99,1006,30015,0
100,2001,12111,0
101,2001,12112,0
102,2001,12113,0
103,2001,12211,0
104,2001,12212,0
105,2001,12213,0
106,2001,35001,0
107,2001,35002,0
108,2001,20211,0
109,2001,20212,0
110,2001,22211,0
111,2001,35111,0
112,2001,30001,0
113,2001,30006,0
114,2001,30011,0
115,2001,30012,0
116,2001,30014,0
117,2001,30015,0
118,2002,12111,0
119,2002,12112,0
120,2002,12113,0
121,2002,12221,0
122,2002,12222,0
123,2002,12223,0
124,2002,12224,0
125,2002,35001,0
126,2002,35002,0
127,2002,20221,0
128,2002,35121,0
129,2002,35122,0
130,2002,30001,0
131,2002,30006,0
132,2002,30011,0
133,2002,30012,0
134,2002,30014,0
135,2002,30015,0
136,2003,12121,0
137,2003,12122,0
138,2003,12123,0
139,2003,12231,0
140,2003,12232,0
141,2003,12233,0
142,2003,35003,0
143,2003,35004,0
144,2003,20231,0
145,2003,22231,0
146,2003,35131,0
147,2003,30001,0
148,2003,30006,0
149,2003,30011,0
150,2003,30012,0
151,2003,30014,0
152,2003,30015,0
153,2004,12124,0
154,2004,12125,0
155,2004,12241,0
156,2004,12242,0
157,2004,12243,0
158,2004,12244,0
159,2004,35003,0
160,2004,35004,0
161,2004,20241,0
162,2004,35141,0
163,2004,30001,0
164,2004,30006,0
165,2004,30011,0
166,2004,30012,0
167,2004,30014,0
168,2004,30015,0
169,2005,12131,0
170,2005,12132,0
171,2005,12133,0
172,2005,12251,0
173,2005,12252,0
174,2005,35005,0
175,2005,35006,0
176,2005,20251,0
177,2005,35151,0
178,2005,22252,0
179,2005,30001,0
180,2005,30006,0
181,2005,30011,0
182,2005,30012,0
183,2005,30014,0
184,2005,30015,0
185,2006,12131,0
186,2006,12132,0
187,2006,12133,0
188,2006,12261,0
189,2006,12262,0
190,2006,12263,0
191,2006,12264,0
192,2006,35005,0
193,2006,35006,0
194,2006,20261,0
195,2006,35161,0
196,2006,30001,0
197,2006,30006,0
198,2006,30011,0
199,2006,30012,0
200,2006,30014,0
201,2006,30015,0
202,3001,13111,0
203,3001,13112,0
204,3001,13113,0
205,3001,13211,0
206,3001,13212,0
207,3001,13213,0
208,3001,35001,0
209,3001,35002,0
210,3001,20211,0
211,3001,20212,0
212,3001,23211,0
213,3001,30001,0
214,3001,30006,0
215,3001,30011,0
216,3001,30012,0
217,3001,30014,0
218,3001,30015,0
219,3002,13111,0
220,3002,13112,0
221,3002,13113,0
222,3002,13221,0
223,3002,13222,0
224,3002,13223,0
225,3002,13224,0
226,3002,35001,0
227,3002,35002,0
228,3002,20221,0
229,3002,23221,0
230,3002,35221,0
231,3002,30001,0
232,3002,30006,0
233,3002,30011,0
234,3002,30012,0
235,3002,30014,0
236,3002,30015,0
237,3003,13121,0
238,3003,13122,0
239,3003,13123,0
240,3003,13231,0
241,3003,13232,0
242,3003,13233,0
243,3003,35003,0
244,3003,35004,0
245,3003,20231,0
246,3003,23231,0
247,3003,35231,0
248,3003,30001,0
249,3003,30006,0
250,3003,30011,0
251,3003,30012,0
252,3003,30014,0
253,3003,30015,0
254,3004,13124,0
255,3004,13125,0
256,3004,13241,0
257,3004,13242,0
258,3004,13243,0
259,3004,13244,0
260,3004,35003,0
261,3004,35004,0
262,3004,20241,0
263,3004,23241,0
264,3004,30001,0
265,3004,30006,0
266,3004,30011,0
267,3004,30012,0
268,3004,30014,0
269,3004,30015,0
270,3005,13131,0
271,3005,13132,0
272,3005,13133,0
273,3005,13251,0
274,3005,13252,0
275,3005,13253,0
276,3005,35005,0
277,3005,35006,0
278,3005,20251,0
279,3005,23251,0
280,3005,23252,0
281,3005,30001,0
282,3005,30006,0
283,3005,30011,0
284,3005,30012,0
285,3005,30014,0
286,3005,30015,0
287,3006,13131,0
