ItemGrade,EquipmentType,Level,RewardType1,MinRewardCount1
C,Weapon,0,Crystal,3
C,Weapon,1,Crystal,4
C,Weapon,2,Crystal,5
C,Weapon,3,Crystal,6
C,Weapon,4,Crystal,7
C,Weapon,5,Crystal,8
C,Weapon,6,Crystal,9
C,Weapon,7,Crystal,10
C,Weapon,8,Crystal,11
C,Weapon,9,Crystal,13
C,Weapon,10,Crystal,15
C,Weapon,11,Crystal,17
C,Weapon,12,Crystal,19
C,Weapon,13,Crystal,21
C,Weapon,14,Crystal,24
C,Weapon,15,Crystal,27
C,Weapon,16,Crystal,30
C,Weapon,17,Crystal,33
C,Weapon,18,Crystal,37
C,Weapon,19,Crystal,41
C,Weapon,20,Crystal,46
C,Armor,0,Crystal,3
C,Armor,1,Crystal,4
C,Armor,2,Crystal,5
C,Armor,3,Crystal,6
C,Armor,4,Crystal,7
C,Armor,5,Crystal,8
C,Armor,6,Crystal,9
C,Armor,7,Crystal,10
C,Armor,8,Crystal,11
C,Armor,9,Crystal,13
C,Armor,10,Crystal,15
C,Armor,11,Crystal,17
C,Armor,12,Crystal,19
C,Armor,13,Crystal,21
C,Armor,14,Crystal,24
C,Armor,15,Crystal,27
C,Armor,16,Crystal,30
C,Armor,17,Crystal,33
C,Armor,18,Crystal,37
C,Armor,19,Crystal,41
C,Armor,20,Crystal,46
C,Gloves,0,Crystal,1
C,Gloves,1,Crystal,2
C,Gloves,2,Crystal,3
C,Gloves,3,Crystal,4
C,Gloves,4,Crystal,5
C,Gloves,5,Crystal,6
C,Gloves,6,Crystal,7
C,Gloves,7,Crystal,8
C,Gloves,8,Crystal,9
C,Gloves,9,Crystal,10
C,Gloves,10,Crystal,11
C,Gloves,11,Crystal,13
C,Gloves,12,Crystal,15
C,Gloves,13,Crystal,17
C,Gloves,14,Crystal,19
C,Gloves,15,Crystal,21
C,Gloves,16,Crystal,24
C,Gloves,17,Crystal,27
C,Gloves,18,Crystal,30
C,Gloves,19,Crystal,33
C,Gloves,20,Crystal,37
C,Boots,0,Crystal,1
C,Boots,1,Crystal,2
C,Boots,2,Crystal,3
C,Boots,3,Crystal,4
C,Boots,4,Crystal,5
C,Boots,5,Crystal,6
C,Boots,6,Crystal,7
C,Boots,7,Crystal,8
C,Boots,8,Crystal,9
C,Boots,9,Crystal,10
C,Boots,10,Crystal,11
C,Boots,11,Crystal,13
C,Boots,12,Crystal,15
C,Boots,13,Crystal,17
C,Boots,14,Crystal,19
C,Boots,15,Crystal,21
C,Boots,16,Crystal,24
C,Boots,17,Crystal,27
C,Boots,18,Crystal,30
C,Boots,19,Crystal,33
C,Boots,20,Crystal,37
C,Helmet,0,Crystal,2
C,Helmet,1,Crystal,3
C,Helmet,2,Crystal,4
C,Helmet,3,Crystal,5
C,Helmet,4,Crystal,6
C,Helmet,5,Crystal,7
C,Helmet,6,Crystal,8
C,Helmet,7,Crystal,9
C,Helmet,8,Crystal,10
C,Helmet,9,Crystal,11
C,Helmet,10,Crystal,13
C,Helmet,11,Crystal,15
C,Helmet,12,Crystal,17
C,Helmet,13,Crystal,19
C,Helmet,14,Crystal,21
C,Helmet,15,Crystal,24
C,Helmet,16,Crystal,27
C,Helmet,17,Crystal,30
C,Helmet,18,Crystal,33
C,Helmet,19,Crystal,37
C,Helmet,20,Crystal,41
C,Ring1,0,Crystal,3
C,Ring1,1,Crystal,4
C,Ring1,2,Crystal,5
C,Ring1,3,Crystal,6
C,Ring1,4,Crystal,7
C,Ring1,5,Crystal,8
C,Ring1,6,Crystal,9
C,Ring1,7,Crystal,10
C,Ring1,8,Crystal,11
C,Ring1,9,Crystal,13
C,Ring1,10,Crystal,15
C,Ring1,11,Crystal,17
C,Ring1,12,Crystal,19
C,Ring1,13,Crystal,21
C,Ring1,14,Crystal,24
C,Ring1,15,Crystal,27
C,Ring1,16,Crystal,30
C,Ring1,17,Crystal,33
C,Ring1,18,Crystal,37
C,Ring1,19,Crystal,41
C,Ring1,20,Crystal,46
C,Earring1,0,Crystal,3
C,Earring1,1,Crystal,4
C,Earring1,2,Crystal,5
C,Earring1,3,Crystal,6
C,Earring1,4,Crystal,7
C,Earring1,5,Crystal,8
C,Earring1,6,Crystal,9
C,Earring1,7,Crystal,10
C,Earring1,8,Crystal,11
C,Earring1,9,Crystal,13
C,Earring1,10,Crystal,15
