Id,GroupType,SubType,Sort,NameKey,DescriptionKey,UnitKey,PageRowCount
1001,Player,None,2,91000000008,372000000001,91000000008,20
1,Player,None,1,91000000080,372000000002,91000000080,20
2,Player,None,3,91000000001,372000000003,91000000001,20
3,Player,None,5,91000000017,372000000004,91000000017,20
4,Player,None,4,91000000002,372000000005,91000000002,20
5,Player,None,6,91000000018,372000000006,91000000018,20
6,Player,None,7,91000000041,372000000007,91000000041,20
7,Player,None,8,191000000022,372000000008,373000000008,20
8,Player,None,9,1024,372000000009,373000000009,20
9,Player,None,10,191000000027,372000000010,373000000010,20
10,Player,None,11,371000000011,372000000011,91000000080,20
12,PVP,None,2,371000000013,372000000013,373000000012,20
13,PVP,None,4,371000000014,372000000014,373000000008,20
14,PVP,None,3,371000000015,372000000015,373000000013,20
15,PVP,None,5,371000000016,372000000016,373000000008,20
18,Guild,None,3,371000000018,372000000018,373000000014,20
19,Guild,None,4,371000000019,372000000019,373000000014,20
20,Guild,None,5,371000000020,372000000020,373000000015,20
21,Guild,None,6,371000000021,372000000021,373000000015,20
22,Achievement,None,1,371000000022,372000000022,373000000012,20
27,Achievement,None,4,371000000025,372000000025,373000000018,20
28,Item,None,1,371000000026,372000000026,373000000019,20
29,Item,None,2,371000000027,372000000027,373000000008,20
30,Item,None,3,371000000028,372000000028,373000000008,20
31,Item,None,4,371000000029,372000000029,373000000020,20
32,Item,None,5,371000000030,372000000030,373000000008,20
33,Item,None,6,371000000031,372000000031,373000000008,20
34,Item,None,7,371000000032,372000000032,373000000008,20
35,Dungeon,Infinity,1,2006,372000000033,373000000021,20
48,GuildRanking,None,1,371000000041,372000000035,373000000012,20
49,GuildRanking,None,2,371000000042,372000000036,91000000008,20
