Id,ColorType,ColorCode,AcquireGuildLevel,ColorChangeItem,ColorChangeCount
1001,CapeSymbol,0x0A2706FF,1,1305101,3
1002,CapeSymbol,0x00143CFF,1,1305101,3
1003,CapeSymbol,0xBC1A00FF,1,1305101,3
1004,CapeSymbol,0xE67F14FF,10,1305102,3
1005,CapeSymbol,0x2E0021FF,10,1305102,3
1006,CapeSymbol,0x002DDAFF,20,1305102,5
1007,CapeSymbol,0xBC0001FF,20,1305102,5
1008,CapeSymbol,0x450001FF,20,1305103,3
1009,CapeSymbol,0x060606FF,30,1305103,5
1010,CapeSymbol,0xFFFFFFFF,30,1305103,5
2001,CapeBackground,0x0A2706FF,1,1305001,3
2002,CapeBackground,0x00143CFF,1,1305001,3
2003,CapeBackground,0xBC1A00FF,1,1305001,3
2004,CapeBackground,0xE67F14FF,10,1305002,3
2005,CapeBackground,0x2E0021FF,10,1305002,3
2006,CapeBackground,0x002DDAFF,20,1305002,5
2007,CapeBackground,0xBC0001FF,20,1305002,5
2008,CapeBackground,0x450001FF,20,1305003,3
2009,CapeBackground,0x060606FF,30,1305003,5
2010,CapeBackground,0xFFFFFFFF,30,1305003,5
