Level,ExpEazy,ExpNormal,ExpHard,ExpHell,ExpDifficulty5,ExpDifficulty6
1,308,473,715,1100,1100,2200
2,308,473,715,1100,1100,2200
3,308,473,715,1100,1100,2200
4,308,473,715,1100,1100,2200
5,308,473,715,1100,1100,2200
6,308,473,715,1100,1100,2200
7,308,473,715,1100,1100,2200
8,308,473,715,1100,1100,2200
9,411,631,954,1467,1467,2934
10,411,631,954,1467,1467,2934
11,514,789,1192,1834,1834,3668
12,514,789,1192,1834,1834,3668
13,514,789,1192,1834,1834,3668
14,616,946,1430,2201,2201,4402
15,616,946,1430,2201,2201,4402
16,616,946,1430,2201,2201,4402
17,719,1104,1669,2568,2568,5136
18,822,1262,1907,2934,2934,5868
19,924,1419,2146,3301,3301,6602
20,924,1419,2146,3301,3301,6602
21,1199,1841,2782,4280,4280,8560
22,1298,1994,3014,4637,4637,9274
23,1498,2301,3478,5350,5350,10700
24,1598,2454,3710,5707,5707,11414
25,1798,2761,4173,6421,6421,12842
26,1927,2959,4473,6881,6881,13762
27,2196,3373,5099,7844,7844,15688
28,2292,3520,5320,8185,8185,16370
29,2408,3699,5591,8602,8602,17204
30,2483,3813,5764,8867,8867,17734
31,2674,4106,6207,9549,9549,19098
32,2701,4148,6270,9647,9647,19294
33,2742,4211,6365,9792,9792,19584
34,2822,4334,6552,10080,10080,20160
35,2822,4334,6552,10080,10080,20160
36,2903,4458,6739,10368,10368,20736
37,12500,12500,12500,12500,12500,25000
38,12750,12750,12750,12750,12750,25500
39,13250,13250,13250,13250,13250,26500
40,13500,13500,13500,13500,13500,27000
41,13750,13750,13750,13750,13750,27500
42,13750,13750,13750,13750,13750,27500
43,14000,14000,14000,14000,14000,28000
44,14094,14094,14094,14094,14094,28188
45,14094,14094,14094,14094,14094,28188
46,14094,14094,14094,14094,14094,28188
47,14094,14094,14094,14094,14094,28188
48,14094,14094,14094,14094,14094,28188
49,14094,14094,14094,14094,14094,28188
50,14094,14094,14094,14094,14094,28188
51,14094,14094,14094,14094,14094,28188
52,16000,16000,16000,16000,16000,32000
53,16000,16000,16000,16000,16000,32000
54,16000,16000,16000,16000,16000,32000
55,16000,16000,16000,16000,16000,32000
56,16000,16000,16000,16000,16000,32000
57,16000,16000,16000,16000,16000,32000
58,16000,16000,16000,16000,16000,32000
59,16000,16000,16000,16000,16000,32000
60,10400,16000,16000,16000,16000,32000
61,10400,16000,16000,16000,16000,32000
62,10400,16000,16000,16000,16000,32000
63,10400,16000,16000,16000,16000,32000
64,10400,16000,16000,16000,16000,32000
65,10400,16000,16000,16000,16000,32000
66,10400,16000,16000,16000,16000,32000
67,10400,16000,16000,16000,16000,32000
68,10400,16000,16000,16000,16000,32000
69,10400,16000,16000,16000,16000,32000
70,10400,16000,16000,16000,16000,32000
71,10400,16000,16000,16000,16000,32000
72,10400,16000,16000,16000,16000,32000
73,10400,16000,16000,16000,16000,32000
74,10400,16000,16000,16000,16000,32000
75,10400,16000,16000,16000,16000,32000
76,10400,16000,16000,16000,16000,32000
77,10400,16000,16000,16000,16000,32000
78,10400,16000,16000,16000,16000,32000
79,10400,16000,16000,16000,16000,32000
80,10400,16000,16000,16000,16000,32000
81,10400,16000,16000,16000,16000,32000
82,10400,16000,16000,16000,16000,32000
83,10400,16000,16000,16000,16000,32000
84,10563,16250,16250,16250,16250,32500
85,10563,16250,16250,16250,16250,32500
86,10563,16250,16250,16250,16250,32500
87,10563,16250,16250,16250,16250,32500
88,10888,16750,16750,16750,16750,33500
89,10888,16750,16750,16750,16750,33500
90,11050,17000,17000,17000,17000,34000
91,11050,17000,17000,17000,17000,34000
92,11050,17000,17000,17000,17000,34000
93,11538,17750,17750,17750,17750,35500
94,11538,17750,17750,17750,17750,35500
95,11538,17750,17750,17750,17750,35500
96,11700,18000,18000,18000,18000,36000
97,11700,18000,18000,18000,18000,36000
98,11700,18000,18000,18000,18000,36000
99,11700,18000,18000,18000,18000,36000
100,7955,12025,18500,18500,18500,37000
101,8063,12188,18750,18750,18750,37500
102,8278,12513,19250,19250,19250,38500
103,8385,12675,19500,19500,19500,39000
104,8385,12675,19500,19500,19500,39000
105,8493,12838,19750,19750,19750,39500
106,8708,13163,20250,20250,20250,40500
107,8815,13325,20500,20500,20500,41000
108,8923,13488,20750,20750,20750,41500
109,9245,13975,21500,21500,21500,43000
110,9245,13975,21500,21500,21500,43000
111,9245,13975,21500,21500,21500,43000
112,9245,13975,21500,21500,21500,43000
113,9245,13975,21500,21500,21500,43000
114,9245,13975,21500,21500,21500,43000
115,9568,14463,22250,22250,22250,44500
116,9568,14463,22250,22250,22250,44500
117,9568,14463,22250,22250,22250,44500
118,9568,14463,22250,22250,22250,44500
119,9568,14463,22250,22250,22250,44500
120,9568,14463,22250,22250,22250,44500
121,9568,14463,22250,22250,22250,44500
122,9568,14463,22250,22250,22250,44500
123,9568,14463,22250,22250,22250,44500
124,9568,14463,22250,22250,22250,44500
125,9568,14463,22250,22250,22250,44500
126,9568,14463,22250,22250,22250,44500
127,9568,14463,22250,22250,22250,44500
128,9568,14463,22250,22250,22250,44500
129,9568,14463,22250,22250,22250,44500
130,9675,14625,22500,22500,22500,45000
131,9675,14625,22500,22500,22500,45000
132,9675,14625,22500,22500,22500,45000
133,9675,14625,22500,22500,22500,45000
134,9783,14788,22750,22750,22750,45500
135,9783,14788,22750,22750,22750,45500
136,9783,14788,22750,22750,22750,45500
137,9783,14788,22750,22750,22750,45500
138,9783,14788,22750,22750,22750,45500
139,9783,14788,22750,22750,22750,45500
140,9783,14788,22750,22750,22750,45500
141,9783,14788,22750,22750,22750,45500
142,9783,14788,22750,22750,22750,45500
143,9783,14788,22750,22750,22750,45500
144,9783,14788,22750,22750,22750,45500
145,9783,14788,22750,22750,22750,45500
146,9783,14788,22750,22750,22750,45500
147,9783,14788,22750,22750,22750,45500
148,9783,14788,22750,22750,22750,45500
149,9783,14788,22750,22750,22750,45500
150,6370,9783,14788,22750,22750,45500
151,6370,9783,14788,22750,22750,45500
152,6370,9783,14788,22750,22750,45500
153,6370,9783,14788,22750,22750,45500
154,6370,9783,14788,22750,22750,45500
155,6370,9783,14788,22750,22750,45500
156,6370,9783,14788,22750,22750,45500
157,6370,9783,14788,22750,22750,45500
158,6370,9783,14788,22750,22750,45500
159,6370,9783,14788,22750,22750,45500
160,6370,9783,14788,22750,22750,45500
161,6370,9783,14788,22750,22750,45500
162,6510,9998,15113,23250,23250,46500
163,6510,9998,15113,23250,23250,46500
164,6510,9998,15113,23250,23250,46500
165,6510,9998,15113,23250,23250,46500
166,6510,9998,15113,23250,23250,46500
167,6510,9998,15113,23250,23250,46500
168,6510,9998,15113,23250,23250,46500
169,6510,9998,15113,23250,23250,46500
170,6510,9998,15113,23250,23250,46500
171,6510,9998,15113,23250,23250,46500
172,6510,9998,15113,23250,23250,46500
173,6510,9998,15113,23250,23250,46500
174,6510,9998,15113,23250,23250,46500
175,6510,9998,15113,23250,23250,46500
176,6510,9998,15113,23250,23250,46500
177,6510,9998,15113,23250,23250,46500
178,6510,9998,15113,23250,23250,46500
179,6510,9998,15113,23250,23250,46500
180,6510,9998,15113,23250,23250,46500
181,6510,9998,15113,23250,23250,46500
182,6510,9998,15113,23250,23250,46500
183,6510,9998,15113,23250,23250,46500
184,6510,9998,15113,23250,23250,46500
185,6510,9998,15113,23250,23250,46500
186,6510,9998,15113,23250,23250,46500
187,6510,9998,15113,23250,23250,46500
188,6510,9998,15113,23250,23250,46500
189,6510,9998,15113,23250,23250,46500
190,6510,9998,15113,23250,23250,46500
191,6510,9998,15113,23250,23250,46500
192,6510,9998,15113,23250,23250,46500
193,6510,9998,15113,23250,23250,46500
194,6510,9998,15113,23250,23250,46500
195,6510,9998,15113,23250,23250,46500
196,6580,10105,15275,23500,23500,47000
197,6580,10105,15275,23500,23500,47000
198,6580,10105,15275,23500,23500,47000
199,6580,10105,15275,23500,23500,47000
200,6580,10105,15275,23500,28200,56400
201,6720,10320,15600,24000,28800,57600
202,6720,10320,15600,24000,28800,57600
203,6720,10320,15600,24000,28800,57600
204,6720,10320,15600,24000,28800,57600
205,6720,10320,15600,24000,28800,57600
206,6720,10320,15600,24000,28800,57600
207,6720,10320,15600,24000,28800,57600
208,6720,10320,15600,24000,28800,57600
209,6790,10428,15763,24250,29100,58200
210,6790,10428,15763,24250,29100,58200
211,6790,10428,15763,24250,29100,58200
212,6790,10428,15763,24250,29100,58200
213,6790,10428,15763,24250,29100,58200
214,6860,10535,15925,24500,29400,58800
215,6860,10535,15925,24500,29400,58800
216,6860,10535,15925,24500,29400,58800
217,6860,10535,15925,24500,29400,58800
218,6860,10535,15925,24500,29400,58800
219,7070,10858,16413,25250,30300,60600
220,7070,10858,16413,25250,30300,60600
221,7070,10858,16413,25250,30300,60600
222,7140,10965,16575,25500,30600,61200
223,7140,10965,16575,25500,30600,61200
224,7140,10965,16575,25500,30600,61200
225,7140,10965,16575,25500,30600,61200
226,7140,10965,16575,25500,30600,61200
227,7140,10965,16575,25500,30600,61200
228,7140,10965,16575,25500,30600,61200
229,7210,11073,16738,25750,30900,61800
230,7210,11073,16738,25750,30900,61800
231,7210,11073,16738,25750,30900,61800
232,7210,11073,16738,25750,30900,61800
233,7210,11073,16738,25750,30900,61800
234,7210,11073,16738,25750,30900,61800
235,7210,11073,16738,25750,30900,61800
236,7350,11288,17063,26250,31500,63000
237,7350,11288,17063,26250,31500,63000
238,7350,11288,17063,26250,31500,63000
239,7350,11288,17063,26250,31500,63000
240,7350,11288,17063,26250,31500,63000
241,7350,11288,17063,26250,31500,63000
242,7350,11288,17063,26250,31500,63000
243,7350,11288,17063,26250,31500,63000
244,7350,11288,17063,26250,31500,63000
245,7350,11288,17063,26250,31500,63000
246,7350,11288,17063,26250,31500,63000
247,7350,11288,17063,26250,31500,63000
248,7350,11288,17063,26250,31500,63000
249,7350,11288,17063,26250,31500,63000
250,7350,11288,17063,26250,31500,63000
251,7350,11288,17063,26250,31500,63000
252,7350,11288,17063,26250,31500,63000
253,7350,11288,17063,26250,31500,63000
254,7350,11288,17063,26250,31500,63000
255,7350,11288,17063,26250,31500,63000
256,7350,11288,17063,26250,31500,63000
