Leve,RewardExp,RewardAdena
1,690,1000
2,880,1000
3,980,1000
4,1080,1000
5,1370,1000
6,1670,1000
7,2250,1000
8,3140,1000
9,4210,1000
10,5880,1000
11,8400,1000
12,10500,1000
13,2500,1000
14,2800,1000
15,3400,1000
16,4200,1000
17,5100,1000
18,6100,1000
19,7200,1000
20,8300,1000
21,9400,1000
22,10500,1000
23,11500,1000
24,12400,1000
25,13100,1000
26,13200,1000
27,13100,1000
28,12400,1000
29,14500,1000
30,17000,1000
31,17400,1000
32,18600,1000
33,19400,1000
34,19700,1000
35,19800,1500
36,20900,1500
37,21900,1500
38,22000,1500
39,22800,1500
40,23400,1500
41,24000,1500
42,24500,1500
43,24900,1500
44,24900,1500
45,25200,1500
46,25400,1500
47,25400,1500
48,25600,1500
49,25700,1500
50,25800,1500
51,25900,1500
52,25900,1500
53,26000,1500
54,26000,1500
55,26000,1500
56,26000,1500
57,26000,1500
58,26000,1500
59,26000,1500
60,26100,1500
61,26100,1500
62,26100,1500
63,26100,1500
64,26100,1500
65,26100,1500
66,26100,1500
67,26100,1500
68,26100,1500
69,26100,1500
70,26100,1500
71,26100,1500
72,26100,1500
73,26200,1500
74,26200,1500
75,26300,1500
76,26300,1500
77,26400,1500
78,26500,1500
79,26700,1500
80,26800,1500
81,27000,1500
82,27000,1500
83,27000,1500
84,27100,1500
85,27200,1500
86,27400,1500
87,27500,1500
88,27700,1500
89,28000,1500
90,28300,1500
91,28600,1500
92,29000,1500
93,29500,1500
94,30000,2000
95,30600,2000
96,31200,2000
97,31900,2000
98,32600,2000
99,33500,2000
100,34400,2000
101,35300,2000
102,36400,2000
103,37500,2000
104,38700,2000
105,40000,2000
106,41300,2000
107,42800,2000
108,44400,2000
109,46000,2000
110,47600,2000
111,49000,2000
112,50300,2000
113,51500,2000
114,52500,2000
115,53400,2000
116,54200,2000
117,54800,2000
118,55400,2000
119,55900,2000
120,56200,2000
121,56500,2000
122,56700,2000
123,56800,2000
124,56900,2000
125,57400,2000
126,57900,2000
127,58400,2000
128,58800,2000
129,59200,2000
130,59500,2000
131,59800,2000
132,60100,2000
133,60400,2000
134,60600,2000
135,60800,2000
136,60900,2000
137,61100,2000
138,61200,2000
139,61300,2000
140,61400,2000
141,61500,2000
142,61500,2000
143,61600,2000
144,61600,2000
145,61600,2000
146,61700,2000
147,61700,2000
148,61700,2000
149,61700,2000
150,61700,2000
151,61700,2000
152,61700,2000
153,61700,2000
154,61700,2000
155,61700,2000
156,61700,2000
157,61700,2000
158,61700,2000
159,61700,2000
160,61700,2000
161,61700,2000
162,61700,2000
163,61700,2000
164,61700,2000
165,61700,2000
166,61700,2000
167,61700,2000
168,61700,2000
169,61800,2000
170,61800,2000
171,61800,2000
172,61800,2000
173,61800,2000
174,61800,2000
175,61900,2000
176,61900,2000
177,62000,2000
178,62000,2000
179,62100,2000
180,62100,2000
181,62200,2000
182,62300,2000
183,62400,2000
184,62500,2000
185,62600,2000
186,62800,2000
187,62900,2000
188,63100,2000
189,63300,2000
190,63500,2000
191,63700,2000
192,64000,2000
193,64200,2000
194,64500,2000
195,64900,2000
196,65200,2000
197,65600,2500
198,66000,2500
199,66400,2500
200,66900,2500
201,67400,2500
202,67900,2500
203,68400,2500
204,69100,2500
205,69700,2500
206,70400,2500
207,70400,2500
208,70400,2500
209,70500,2500
210,70600,2500
211,70700,2500
212,70900,2500
213,71100,2500
214,71300,2500
215,71600,2500
216,71900,2500
217,72200,2500
218,72500,2500
219,72900,2500
220,73300,2500
221,73800,2500
222,74200,2500
223,74700,2500
224,75300,2500
225,75800,2500
226,76400,2500
227,77100,2500
228,77700,2500
229,78400,2500
230,79100,2500
231,79800,2500
232,80600,2500
233,81300,2500
234,82100,2500
235,82900,2500
236,83400,2500
237,83900,2500
238,84300,2500
239,84500,2500
240,84700,2500
241,84700,2500
242,86000,2500
243,87200,2500
244,88400,2500
245,89500,2500
246,90600,2500
247,91600,2500
248,92600,2500
249,93500,2500
250,94400,2500
251,95200,2500
252,96000,2500
253,96800,2500
254,97500,2500
255,98200,2500
256,98900,2500
257,99500,2500
258,100000,2500
259,100600,2500
260,101100,2500
261,101600,2500
262,102100,2500
263,102500,2500
264,102900,2500
265,103300,2500
266,103600,2500
267,104000,2500
268,104300,2500
269,104600,2500
270,104800,2500
271,105100,2500
272,105300,2500
273,105500,2500
274,105700,2500
275,105900,2500
276,106100,2500
277,106200,2500
278,106400,2500
279,106500,2500
280,106600,2500
281,106700,2500
282,106800,2500
283,106900,2500
284,107000,2500
285,107100,2500
286,107100,2500
287,107200,2500
288,107200,2500
289,107300,2500
290,107300,2500
291,107300,2500
292,107400,2500
293,107400,2500
294,107400,2500
295,107400,2500
296,107400,2500
297,107500,2500
298,107500,2500
299,107500,2500
300,107500,2500
301,107500,2500
302,107500,2500
303,107500,2500
304,107500,2500
305,107500,2500
306,107500,2500
307,107500,2500
308,107500,2500
309,107500,2500
310,107500,2500
311,107500,2500
312,107500,2500
313,107500,2500
314,107500,2500
315,107500,2500
316,107500,2500
317,107500,2500
318,107500,2500
319,107500,2500
320,107500,2500
321,107500,2500
322,107500,2500
323,107500,2500
324,107500,2500
325,107500,2500
326,107500,2500
327,107500,2500
328,107500,2500
329,107500,2500
330,107500,2500
331,107500,2500
332,107600,2500
333,107600,2500
334,107600,2500
335,107600,2500
336,107600,2500
337,107700,2500
338,107700,2500
339,107700,2500
340,107800,2500
341,107800,2500
342,107800,2500
343,107900,2500
344,107900,2500
345,108000,2500
346,108000,2500
347,108100,2500
348,108200,2500
349,108300,2500
350,108300,2500
351,108400,2500
352,108500,2500
353,108600,2500
354,108700,2500
355,108900,2500
356,109000,2500
357,109100,2500
358,109300,2500
359,109400,2500
360,109600,2500
361,109800,2500
362,110000,2500
363,110200,2500
364,110400,2500
365,110600,2500
366,110800,2500
367,111100,2500
368,111300,2500
369,111600,2500
370,111900,2500
371,112200,2500
372,112500,2500
373,112900,2500
