ShopId,Id,RequiredId,TitleKey,DescKey,TaskType,TaskCount,RewardItemInfoId
8001,1001,,461000001001,462000001001,If_Level_Character,1,1
8001,1002,1001,461000001002,462000001002,If_Level_Character,10,2
8001,1003,1002,461000001003,462000001003,If_Level_Character,20,3
8001,1004,1003,461000001004,462000001004,If_Level_Character,30,4
8001,1005,1004,461000001005,462000001005,If_Level_Character,45,5
8001,1006,1005,461000001006,462000001006,If_Level_Character,70,6
8001,1007,1006,461000001007,462000001007,If_Level_Character,120,7
8002,10011,,461000001001,462000001001,Count_GameAttendanceCheck,1,11
8002,10012,10011,461000010012,462000010012,Count_GameAttendanceCheck,1,12
8002,10013,10012,461000010013,462000010013,Count_GameAttendanceCheck,2,13
8002,10014,10013,461000010014,462000010014,Count_GameAttendanceCheck,3,14
8002,10015,10014,461000010015,462000010015,Count_GameAttendanceCheck,4,15
8002,10016,10015,461000010016,462000010016,Count_GameAttendanceCheck,5,16
8002,10017,10016,461000010017,462000010017,Count_GameAttendanceCheck,6,17
8002,10018,10017,461000010018,462000010018,Count_GameAttendanceCheck,7,18
10008002,10000001,,461000001001,462000001001,Count_GameAttendanceCheck,1,10000001
10008002,10000002,10000001,461000010012,462000010012,Count_GameAttendanceCheck,1,10000002
10008002,10000003,10000002,461000010013,462000010013,Count_GameAttendanceCheck,2,10000003
10008002,10000004,10000003,461000010014,462000010014,Count_GameAttendanceCheck,3,10000004
10008002,10000005,10000004,461000010015,462000010015,Count_GameAttendanceCheck,4,10000005
10008002,10000006,10000005,461000010016,462000010016,Count_GameAttendanceCheck,5,10000006
10008002,10000007,10000006,461000010017,462000010017,Count_GameAttendanceCheck,6,10000007
10008002,10000008,10000007,461000010018,462000010018,Count_GameAttendanceCheck,7,10000008
8003,10021,,461000001001,0,Count_AcquiredEqItemGrade,0,20
8003,10022,,461000010022,462000010022,Count_AcquiredEqItemGrade,1,21
8003,10023,,461000010023,462000010023,Count_AcquiredEqItemGrade,1,22
8003,10024,,461000010024,462000010024,Count_AcquiredEqItemGrade,1,23
8003,10025,,461000010025,462000010025,Count_AcquiredEqItemGrade,1,24
8003,10026,,461000010026,462000010026,Count_AcquiredEqItemGrade,1,25
8003,10027,,461000010027,462000010027,Count_AcquiredEqItemGrade,1,26
8003,10028,,461000010028,462000010028,Count_AcquiredEqItemGrade,1,27
8003,10029,,461000010029,462000010029,Count_AcquiredEqItemGrade,1,28
8004,10031,,461000001001,0,If_QuestClearByActChapter,0,30
8004,10032,10031,461000010032,462000010032,If_QuestClearByActChapter,1,31
8004,10033,10032,461000010033,462000010033,If_QuestClearByActChapter,1,32
8004,10034,10033,461000010034,462000010034,If_QuestClearByActChapter,1,33
8004,10035,10034,461000010035,462000010035,If_QuestClearByActChapter,1,34
8004,10036,10035,461000010036,462000010036,If_QuestClearByActChapter,1,35
8004,10037,10036,461000010037,462000010037,If_QuestClearByActChapter,1,36
8004,10038,10037,461000010038,462000010038,If_QuestClearByActChapter,1,37
8004,10039,10038,461000010039,462000010039,If_QuestClearByActChapter,1,38
8004,10040,10039,461000010040,462000010040,If_QuestClearByActChapter,1,39
