Id,RequiredId,Type,GroupType,Param1,NameKey,DescKey,TaskType,TaskCondition,CompleteNotifyType,AchievementGroupId,TaskCount,RewardPoint,RewardGem,RewardAdena,RewardItemInfoId,RewardCount,RewardCountDesc,RewardIcon,AchievementIcon
10100,,Hero,Battle,1,821000010100,822000010100,Count_KillMonster,All,Immediately,101,30,30,,1000,,,,,Icon_HeroicAchievement_01
10101,10100,Hero,Battle,2,821000010100,822000010100,Count_KillMonster,All,Immediately,101,1400,30,,1000,,,,,Icon_HeroicAchievement_01
10102,10101,Hero,Battle,3,821000010100,822000010100,Count_KillMonster,All,Immediately,101,10370,30,,,400001,5,,Icon_SoulShot_01,Icon_HeroicAchievement_01
10103,10102,Hero,Battle,4,821000010100,822000010100,Count_KillMonster,All,Immediately,101,58320,50,,1000,,,,,Icon_HeroicAchievement_01
10104,10103,Hero,Battle,5,821000010100,822000010100,Count_KillMonster,All,Immediately,101,349920,100,,1500,,,,,Icon_HeroicAchievement_01
10105,10104,Hero,Battle,6,821000010100,822000010100,Count_KillMonster,All,Immediately,101,1574640,180,,,400001,10,,Icon_SoulShot_01,Icon_HeroicAchievement_01
10106,10105,Hero,Battle,7,821000010100,822000010100,Count_KillMonster,All,Immediately,101,5248800,300,,3000,,,,,Icon_HeroicAchievement_01
10107,10106,Hero,Battle,8,821000010100,822000010100,Count_KillMonster,All,Immediately,101,8458560,470,,4500,,,,,Icon_HeroicAchievement_01
10108,10107,Hero,Battle,9,821000010100,822000010100,Count_KillMonster,All,Immediately,101,12156480,690,,6000,,,,,Icon_HeroicAchievement_01
10109,10108,Hero,Battle,10,821000010100,822000010100,Count_KillMonster,All,Immediately,101,16342560,970,,,400001,10,,Icon_SoulShot_01,Icon_HeroicAchievement_01
10110,10109,Hero,Battle,11,821000010100,822000010100,Count_KillMonster,All,Immediately,101,21016800,1320,,10500,,,,,Icon_HeroicAchievement_01
10111,10110,Hero,Battle,12,821000010100,822000010100,Count_KillMonster,All,Immediately,101,26179200,1760,,14000,,,,,Icon_HeroicAchievement_01
10112,10111,Hero,Battle,13,821000010100,822000010100,Count_KillMonster,All,Immediately,101,31829760,2170,,17000,,,,,Icon_HeroicAchievement_01
10113,10112,Hero,Battle,14,821000010100,822000010100,Count_KillMonster,All,Immediately,101,37968480,2630,,,400001,20,,Icon_SoulShot_01,Icon_HeroicAchievement_01
10114,10113,Hero,Battle,15,821000010100,822000010100,Count_KillMonster,All,Immediately,101,44595360,3150,,24500,,,,,Icon_HeroicAchievement_01
10115,10114,Hero,Battle,16,821000010100,822000010100,Count_KillMonster,All,Immediately,101,51710400,3710,,28500,,,,,Icon_HeroicAchievement_01
10116,10115,Hero,Battle,17,821000010100,822000010100,Count_KillMonster,All,Immediately,101,59313600,4330,,33500,,,,,Icon_HeroicAchievement_01
10117,10116,Hero,Battle,18,821000010100,822000010100,Count_KillMonster,All,Immediately,101,64195200,5010,,,400001,30,,Icon_SoulShot_01,Icon_HeroicAchievement_01
10118,10117,Hero,Battle,19,821000010100,822000010100,Count_KillMonster,All,Immediately,101,69076800,5740,,44000,,,,,Icon_HeroicAchievement_01
10119,10118,Hero,Battle,20,821000010100,822000010100,Count_KillMonster,All,Immediately,101,73958400,6520,,49500,,,,,Icon_HeroicAchievement_01
10120,10119,Hero,Battle,21,821000010100,822000010100,Count_KillMonster,All,Immediately,101,78840000,7360,,56000,,,,,Icon_HeroicAchievement_01
10501,,Hero,Battle,1,821000010501,822000010501,Count_KillMonster,Elite,Immediately,105,20,30,,1000,,,,,Icon_HeroicAchievement_01
10502,10501,Hero,Battle,2,821000010501,822000010501,Count_KillMonster,Elite,Immediately,105,50,30,,,440011,10,,Icon_MpPotion_01,Icon_HeroicAchievement_01
10503,10502,Hero,Battle,3,821000010501,822000010501,Count_KillMonster,Elite,Immediately,105,130,50,,1000,,,,,Icon_HeroicAchievement_01
10504,10503,Hero,Battle,4,821000010501,822000010501,Count_KillMonster,Elite,Immediately,105,440,100,,1500,,,,,Icon_HeroicAchievement_01
10505,10504,Hero,Battle,5,821000010501,822000010501,Count_KillMonster,Elite,Immediately,105,780,180,,2000,,,,,Icon_HeroicAchievement_01
10506,10505,Hero,Battle,6,821000010501,822000010501,Count_KillMonster,Elite,Immediately,105,2380,300,,,490013,1,,Icon_Box_Dia_04,Icon_HeroicAchievement_01
10507,10506,Hero,Battle,7,821000010501,822000010501,Count_KillMonster,Elite,Immediately,105,7020,470,,4500,,,,,Icon_HeroicAchievement_01
