Id,Hidden,GroupId,UseType,StringKey,DefaultValueForAOS,DefaultValueForIOS,UserData,StartValue,IsPercentage,DescriptionKey
1,0,Dev,Quality,OPTION_DEV_RESOLUTION,-1,-1,,,0,960000000001
2,0,Dev,Quality,OPTION_DEV_VIEW_DISTANCE,3,3,,,0,960000000002
3,0,Dev,Quality,OPTION_DEV_ANTI_ALIASING,0,0,,,0,960000000003
4,0,Dev,Quality,OPTION_DEV_POST_PROCESSING,1,1,,,0,960000000004
5,0,Dev,Quality,OPTION_DEV_SHADOWS_QUALITY,1,1,,,0,960000000005
6,0,Dev,ToggleButton,OPTION_DEV_VSYNC,0,0,,,0,960000000006
7,0,Dev,Quality,OPTION_DEV_SHADOWS_RESOLUTION,3,3,,,0,960000000007
8,0,Dev,Quality,OPTION_DEV_TEXTUES,-1,-1,,,0,960000000008
9,0,Dev,Quality,OPTION_DEV_TEXTURE_LOD_LEVEL,0,0,,,0,960000000009
10,0,Dev,Quality,OPTION_DEV_RESOLUTION_RATIO,3,3,,,0,960000000010
11,0,Dev,ToggleButton,OPTION_DEV_SLATE_SKIP_SECOND_PREPASS,0,0,,,0,960000000011
12,0,Dev,ToggleButton,OPTION_DEV_MY_SHADOW_ONLY,0,0,,,0,960000000012
13,0,Game,Quality,OPTION_GAME_FRAME_RATE,1,1,,,0,960000000013
14,0,Game,Quality,OPTION_GAME_GQ_APU_USAGE,1,1,,,0,960000000014
15,0,Game,Quality,OPTION_GAME_GQ_MEM_USAGE,1,1,,,0,960000000015
16,0,Game,Quality,OPTION_GAME_SOUND_CHANNEL_QUALITY,2,2,,,0,960000000016
17,0,Game,EffectVisibility,OPTION_GAME_EFFECT_VISIBILITY,2,2,2,,0,960000000017
18,0,Game,FloatingVisibility,OPTION_GAME_OTHER_FLOATING,2,2,,,0,960000000055
19,0,Game,Quality,OPTION_GAME_VISIBLE_PC_MAX_COUNT,3,3,,,0,960000000018
20,0,Game,Quality,OPTION_GAME_VISIBLE_EQUIP,3,3,,,0,960000000019
21,0,Game,EffectVisibility,OPTION_GAME_VISIBLE_CAPE,2,2,2,,0,960000000056
22,0,Game,EffectVisibility,OPTION_GAME_ITEM_ENCHANT_MESSAGE,2,2,2,,0,960000000057
23,0,Game,ToggleButton,OPTION_GAME_ERIKA_TOGGLE,1,1,,,0,960000000101
24,0,Game,ToggleButton,OPTION_GAME_CUTSCENE_SHOW,1,1,,,0,960000000047
25,0,Device,Slider,OPTION_DEVICE_SOUND_MASTER,75,75,100,,0,960000000020
26,0,Device,Slider,OPTION_DEVICE_SOUND_BGM,75,75,100,,0,960000000021
27,0,Device,Slider,OPTION_DEVICE_SOUND_EFFECT,75,75,100,,0,960000000022
28,0,Device,Slider,OPTION_DEVICE_SOUND_VOICE,75,75,100,,0,960000000023
29,0,Device,ToggleButton,OPTION_DEVICE_VIBRATION,1,1,,,0,960000000024
30,0,Device,ToggleButton,OPTION_DEVICE_KEEP_SCREEN_AWAKE,1,1,,,0,960000000025
31,0,Device,MultiToggleCheckBox,OPTION_DEVICE_VOICE_AUTO_PLAY,0,0,,,0,960000000030
32,0,Notice,ToggleButton,OPTION_DEVICE_PUSH,1,1,10000,,0,960000000026
33,0,Notice,ToggleButton,OPTION_DEVICE_PUSH_GAME,1,1,,,0,960000000027
34,0,Notice,ToggleButton,OPTION_DEVICE_PUSH_NOTICE,1,1,,,0,960000000028
35,0,Notice,ToggleButton,OPTION_DEVICE_PUSH_NIGHT,0,0,,,0,960000000029
36,0,Notice,ToggleButton,OPTION_ALARM_TOAST,1,1,,,0,960000000058
37,0,Notice,ToggleButton,OPTION_ALARM_TOAST_FRIEND,1,1,,,0,960000000059
38,0,Notice,ToggleButton,OPTION_ALARM_TOAST_GUILD,1,1,,,0,960000000060
39,0,Notice,ToggleButton,OPTION_ALARM_TOAST_PARTY,1,1,,,0,960000000061
46,0,Combat,Slider,OPTION_COMBAT_AUTO_POTION_HP,70,70,100,,1,960000000037
47,0,Combat,Slider,OPTION_COMBAT_AUTO_POTION_MP,70,70,100,,1,960000000038
48,0,Combat,Slider,OPTION_COMBAT_AUTO_HEALING_HP,80,80,100,,1,960000000039
49,0,Combat,GradeToggleButton,OPTION_COMBAT_POTION_HP_GRADE,1,1,,,0,960000000040
50,0,Combat,GradeToggleButton,OPTION_COMBAT_POTION_MP_GRADE,1,1,,,0,960000000041
51,0,Combat,ToggleButton,OPTION_COMBAT_BASICSKILL_VISIBILITY,,,,,0,960000000050
52,0,Combat,CombatRadius,OPTION_COMBAT_AUTO_RADIUS,2,2,2,,0,960000000042
53,0,Combat,LootGrade,OPTION_COMBAT_LOOT_GRADE,1,1,,,0,960000000043
54,0,Combat,ToggleButton,OPTION_COMBAT_TARGET_OF_TARGET,1,1,,,0,960000000053
55,0,Combat,HpDisplayMode,OPTION_COMBAT_TARGET_HP_DISPLAY_MODE,1,1,,,0,960000000054
56,0,Combat,CheckBox,OPTION_COMBAT_EVADE_ON_ELITE,0,0,,,0,960000000044
57,0,Combat,CheckBox,OPTION_COMBAT_COUNTER_ATTACK,1,1,,,0,960000000045
58,0,Custom,Value,OPTION_SOCIAL_ACTION_FIRST_ALARM,1,1,1,,0,0
59,1,Combat,CheckBox,OPTION_COMBAT_AUTO_USE_COMMON_SKILL,1,1,,,0,960000000046
60,0,Combat,CheckBox,OPTION_COMBAT_AUTO_USE_UNIQUE_SKILL,1,1,,,0,960000000046
