Id,RaceType,SkillId
1,Human,1101
1,Human,1102
1,Human,1103
1,Human,1104
1,Human,1105
1,Human,1106
2,Human,2101
2,Human,2102
2,Human,2103
2,Human,2104
2,Human,2105
2,Human,2106
3,Human,3101
3,Human,3102
3,Human,3103
3,Human,3104
3,Human,3105
3,Human,3106
3,Human,3107
3,Human,3108
4,Human,4101
4,Human,4102
4,Human,4103
4,Human,4104
4,Human,4105
4,Human,4106
5,Human,5101
5,Human,5102
5,Human,5103
5,Human,5104
6,Human,6101
6,Human,6102
6,Human,6103
6,Human,6104
1,Elf,1201
1,Elf,1202
1,Elf,1203
1,Elf,1204
1,Elf,1205
1,Elf,1206
2,Elf,2201
2,Elf,2202
2,Elf,2203
2,Elf,2204
2,Elf,2205
2,Elf,2206
3,Elf,3201
3,Elf,3202
3,Elf,3203
3,Elf,3204
3,Elf,3205
3,Elf,3206
3,Elf,3207
3,Elf,3208
4,Elf,4201
4,Elf,4202
4,Elf,4203
4,Elf,4204
4,Elf,4205
4,Elf,4206
5,Elf,5201
5,Elf,5202
5,Elf,5203
5,Elf,5204
6,Elf,6201
6,Elf,6202
6,Elf,6203
6,Elf,6204
1,DarkElf,1301
1,DarkElf,1302
1,DarkElf,1303
1,DarkElf,1304
1,DarkElf,1305
1,DarkElf,1306
2,DarkElf,2301
2,DarkElf,2302
2,DarkElf,2303
2,DarkElf,2304
2,DarkElf,2305
2,DarkElf,2306
3,DarkElf,3301
3,DarkElf,3302
3,DarkElf,3303
3,DarkElf,3304
3,DarkElf,3305
3,DarkElf,3306
3,DarkElf,3307
3,DarkElf,3308
4,DarkElf,4301
4,DarkElf,4302
4,DarkElf,4303
4,DarkElf,4304
4,DarkElf,4305
4,DarkElf,4306
5,DarkElf,5301
5,DarkElf,5302
5,DarkElf,5303
5,DarkElf,5304
6,DarkElf,6301
6,DarkElf,6302
6,DarkElf,6303
6,DarkElf,6304
1,Dwarf,1401
1,Dwarf,1402
1,Dwarf,1403
1,Dwarf,1404
1,Dwarf,1405
1,Dwarf,1406
2,Dwarf,2401
2,Dwarf,2402
2,Dwarf,2403
2,Dwarf,2404
2,Dwarf,2405
2,Dwarf,2406
3,Dwarf,3401
3,Dwarf,3402
3,Dwarf,3403
3,Dwarf,3404
3,Dwarf,3405
3,Dwarf,3406
3,Dwarf,3407
3,Dwarf,3408
4,Dwarf,4401
4,Dwarf,4402
4,Dwarf,4403
4,Dwarf,4404
4,Dwarf,4405
4,Dwarf,4406
5,Dwarf,5401
5,Dwarf,5402
5,Dwarf,5403
5,Dwarf,5404
6,Dwarf,6401
6,Dwarf,6402
6,Dwarf,6403
6,Dwarf,6404
