Id,Keyword,ConditionType,ConditionValue,ConditionSubValue,ShowInProgressBar,SortNum,ContentsDescKey,NameKey,ContentIcon,BadgeType,ClientString,EsportsBlock
1,FORGE,CompletedQuest,1011,0,1,1,721000000001,722000000001,UI_Btn_EquipmentEnhancement,EquipmentEnhancement,,1
2,SOULSHOT,CompletedQuest,1017,0,1,2,721000000002,722000000002,UI_Icon_Soulshot2,Max,,0
3,DUNGEON,CompletedQuest,1025,0,0,,0,722000000003,UI_Btn_Dungeon,Dungeon,,1
4,DAILY_DUNGEON,CompletedQuest,1025,0,1,3,721000000004,722000000004,UI_Btn_Dungeon,DailyDungeon,,1
5,HEROIC,CompletedQuest,1036,0,1,5,721000000005,722000000005,UI_Btn_Achievement,Achievement,,1
8,GACHA_PREMIUM,CompletedQuest,1041,0,1,6,721000000008,722000000008,UI_Btn_DiaShop,NormalShopPremiumEquipment,,1
10,PVP,CompletedQuest,1106,0,1,8,721000000010,2011,UI_Btn_BattleField,Battle,,1
12,COMPOSITION,CompletedQuest,1111,0,1,9,721000000012,722000000012,UI_Btn_EquipmentEnhancement,BlacksmithComposition,,1
13,ENCHANT,CompletedQuest,1115,0,1,14,721000000013,722000000013,UI_Btn_EquipmentEnhancement,BlacksmithEnchant,,1
14,GUILD,CharacterLevel,10,,0,,0,722000000014,UI_Btn_Guild,Guild,,1
15,INFINITY_DUNGEON,CompletedQuest,1120,0,1,10,721000000015,2006,UI_Btn_Dungeon,InfinityDungeon,,1
16,RUNE,CompletedQuest,1120,5,1,11,721000000016,722000000016,UI_Btn_Rune,Rune,,1
17,UPGRADE,CompletedQuest,1125,0,1,12,721000000017,722000000017,UI_Btn_EquipmentEnhancement,BlacksmithUpgrade,,1
18,DAILY_ACTIVITY,CompletedQuest,1132,0,0,,0,722000000018,UI_Btn_Mission,Activity,,1
19,MISSION_REQUEST,CompletedQuest,2005,0,0,,0,722000000019,UI_Btn_QuestProgress,Max,,1
20,REQUEST_WEEKLY,CompletedQuest,2010,0,0,,0,722000000020,UI_Btn_QuestProgress,Max,,1
21,SOUL_CRYSTAL,CompletedQuest,2118,0,1,15,721000000021,722000000021,UI_Btn_JewelCraft,Soulcrystal,,0
22,ELITE_DUNGEON_0,CompletedQuest,2102,0,1,13,721000000022,2002,UI_Btn_Dungeon,EliteDungeon,,1
23,ELITE_DUNGEON_1,CompletedQuest,2102,0,0,,0,722000000023,UI_Btn_Dungeon,Max,,1
24,MONSTER_BOOK,CompletedQuest,2122,3,1,16,721000000024,722000000024,UI_Btn_MonsterBook,MonsterBook,,1
25,UNIQUE_SKILL,CompletedQuest,2126,0,1,17,721000000025,722000000025,UI_Btn_Skill,Max,,0
28,ELIXIR,CompletedQuest,3324,6,1,18,721000000028,722000000028,UI_Btn_MiscCraft,Max,,1
29,COLLECT_DUNGEON,CompletedQuest,3326,0,1,19,721000000029,2003,UI_Btn_Dungeon,CollectDungeon,,1
