RaceType,ClassType,RequiredPcLv,PcLvIntervalToNextLv,SkillId,SkillTier
Human,Human_F1,1,5,11111,1
Human,Human_F1,1,5,11112,1
Human,Human_F1,1,5,11113,1
Human,Human_F1,1,5,21001,1
Human,Human_F1,1,5,21111,1
Human,Human_F1,1,5,21112,1
Human,Human_R1,1,5,11121,1
Human,Human_R1,1,5,11122,1
Human,Human_R1,1,5,11123,1
Human,Human_R1,1,5,11124,1
Human,Human_R1,1,5,11125,1
Human,Human_R1,1,5,21001,1
Human,Human_R1,1,5,21121,1
Human,Human_R1,1,5,21122,1
Human,Human_M1,1,5,11131,1
Human,Human_M1,1,5,11132,1
Human,Human_M1,1,5,11133,1
Human,Human_M1,1,5,21001,1
Human,Human_M1,1,5,21131,1
Human,Human_M1,1,5,21132,1
Human,Human_F21,31,5,11211,2
Human,Human_F21,31,5,11212,2
Human,Human_F21,31,5,11213,2
Human,Human_F21,31,5,20211,2
Human,Human_F21,31,5,20212,2
Human,Human_F21,31,5,21211,2
Human,Human_F22,31,5,11221,2
Human,Human_F22,31,5,11222,2
Human,Human_F22,31,5,11223,2
Human,Human_F22,31,5,20221,2
Human,Human_F22,31,5,21221,2
Human,Human_F22,31,5,21222,2
Human,Human_R21,31,5,11231,2
Human,Human_R21,31,5,11232,2
Human,Human_R21,31,5,11233,2
Human,Human_R21,31,5,20231,2
Human,Human_R21,31,5,21231,2
Human,Human_R21,31,5,21232,2
Human,Human_R22,31,5,11241,2
Human,Human_R22,31,5,11242,2
Human,Human_R22,31,5,11243,2
Human,Human_R22,31,5,11244,2
Human,Human_R22,31,5,20241,2
Human,Human_R22,31,5,21241,2
Human,Human_M21,31,5,11251,2
Human,Human_M21,31,5,11252,2
Human,Human_M21,31,5,11253,2
Human,Human_M21,31,5,20251,2
Human,Human_M21,31,5,21251,2
Human,Human_M22,31,5,11261,2
Human,Human_M22,31,5,11262,2
Human,Human_M22,31,5,20261,2
Human,Human_M22,31,5,21261,2
Human,Human_M22,31,5,21262,2
Elf,Elf_F1,1,5,12111,1
Elf,Elf_F1,1,5,12112,1
Elf,Elf_F1,1,5,12113,1
Elf,Elf_F1,1,5,22001,1
Elf,Elf_F1,1,5,22111,1
Elf,Elf_F1,1,5,22112,1
Elf,Elf_R1,1,5,12121,1
Elf,Elf_R1,1,5,12122,1
Elf,Elf_R1,1,5,12123,1
Elf,Elf_R1,1,5,12124,1
Elf,Elf_R1,1,5,12125,1
Elf,Elf_R1,1,5,22001,1
Elf,Elf_R1,1,5,22121,1
Elf,Elf_R1,1,5,22122,1
Elf,Elf_M1,1,5,12131,1
Elf,Elf_M1,1,5,12132,1
Elf,Elf_M1,1,5,12133,1
Elf,Elf_M1,1,5,22001,1
Elf,Elf_M1,1,5,22131,1
Elf,Elf_M1,1,5,22132,1
Elf,Elf_F21,31,5,12211,2
Elf,Elf_F21,31,5,12212,2
Elf,Elf_F21,31,5,12213,2
Elf,Elf_F21,31,5,20211,2
Elf,Elf_F21,31,5,20212,2
Elf,Elf_F21,31,5,22211,2
Elf,Elf_F21,31,5,22212,2
Elf,Elf_F22,31,5,12221,2
Elf,Elf_F22,31,5,12222,2
Elf,Elf_F22,31,5,12223,2
Elf,Elf_F22,31,5,12224,2
Elf,Elf_F22,31,5,20221,2
Elf,Elf_F22,31,5,22221,2
Elf,Elf_F22,31,5,22222,2
Elf,Elf_R21,31,5,12231,2
Elf,Elf_R21,31,5,12232,2
Elf,Elf_R21,31,5,12233,2
Elf,Elf_R21,31,5,20231,2
Elf,Elf_R21,31,5,22231,2
Elf,Elf_R21,31,5,22232,2
Elf,Elf_R22,31,5,12241,2
Elf,Elf_R22,31,5,12242,2
Elf,Elf_R22,31,5,12243,2
Elf,Elf_R22,31,5,12244,2
Elf,Elf_R22,31,5,20241,2
Elf,Elf_R22,31,5,22241,2
Elf,Elf_M21,31,5,12251,2
Elf,Elf_M21,31,5,12252,2
Elf,Elf_M21,31,5,20251,2
Elf,Elf_M21,31,5,22251,2
Elf,Elf_M21,31,5,22252,2
Elf,Elf_M22,31,5,12261,2
Elf,Elf_M22,31,5,12262,2
Elf,Elf_M22,31,5,12263,2
Elf,Elf_M22,31,5,12264,2
Elf,Elf_M22,31,5,20261,2
Elf,Elf_M22,31,5,22261,2
DarkElf,Dark_F1,1,5,13111,1
DarkElf,Dark_F1,1,5,13112,1
DarkElf,Dark_F1,1,5,13113,1
DarkElf,Dark_F1,1,5,23001,1
DarkElf,Dark_F1,1,5,23111,1
DarkElf,Dark_F1,1,5,23112,1
DarkElf,Dark_R1,1,5,13121,1
DarkElf,Dark_R1,1,5,13122,1
DarkElf,Dark_R1,1,5,13123,1
DarkElf,Dark_R1,1,5,13124,1
DarkElf,Dark_R1,1,5,13125,1
DarkElf,Dark_R1,1,5,23001,1
DarkElf,Dark_R1,1,5,23121,1
DarkElf,Dark_R1,1,5,23122,1
DarkElf,Dark_M1,1,5,13131,1
DarkElf,Dark_M1,1,5,13132,1
DarkElf,Dark_M1,1,5,13133,1
DarkElf,Dark_M1,1,5,23001,1
DarkElf,Dark_M1,1,5,23131,1
