Id,Grade,Type,NameKey,StartClass,RaceType,TransferRewardGroupId,RequiredClassInfoId,RequiredClassLv,BasicAttackSkillInfoId,Resource,IconTexture,StatusBarIconTexture,DescKey,UsableWeapon,UsableArmor,MainWeapon1,MainWeapon2,MainWeapon3,MainArmor,RepresentSkill1,RepresentSkill2,RepresentSkill3,RepresentSkill4,RepresentSkill5,LibraryPath
1,0,HumanExplorer,751000000001,1,Human,,0,0,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Common_01,CharacterSelect.Icon_Class_Common_01,752000000001,,,,,,,,,,,,
2,1,Human_F1,751000000002,1,Human,,1,0,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Common_02,CharacterSelect.Icon_Class_Common_02,752000000002,000111,001,1114,1314,1224,2210,11112,11113,21111,21112,,LIB_PreviewCharacter_Human_Human_F1
3,1,Human_R1,751000000003,1,Human,,1,0,1,BP_CharacterElf,CharacterSelect.Icon_Class_Common_03,CharacterSelect.Icon_Class_Common_03,752000000003,011000,010,1424,1534,,2220,11122,11123,11124,11125,,LIB_PreviewCharacter_Human_Human_R1
4,1,Human_M1,751000000004,1,Human,,1,0,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Common_04,CharacterSelect.Icon_Class_Common_04,752000000004,100000,100,1644,,,2230,11132,11133,11131,21132,,LIB_PreviewCharacter_Human_Human_M1
5,2,Human_F21,751000000005,0,Human,5,2,31,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Human_01,CharacterSelect.Icon_Class_Human_01,752000000005,000001,001,1146,,,2210,11211,11212,11213,21211,,LIB_PreviewCharacter_Human_Human_F21
6,2,Human_F22,751000000006,0,Human,6,2,31,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Human_02,CharacterSelect.Icon_Class_Human_02,752000000006,000110,001,1326,1216,,2210,11221,11222,11223,21221,,LIB_PreviewCharacter_Human_Human_F22
7,2,Human_R21,751000000007,0,Human,7,3,31,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Human_03,CharacterSelect.Icon_Class_Human_03,752000000007,001000,010,1426,,,2220,11231,11232,11233,20231,,LIB_PreviewCharacter_Human_Human_R21
8,2,Human_R22,751000000008,0,Human,8,3,31,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Human_04,CharacterSelect.Icon_Class_Human_04,752000000008,010000,010,1536,,,2220,11241,11242,11243,11244,,LIB_PreviewCharacter_Human_Human_R22
9,2,Human_M21,751000000009,0,Human,9,4,31,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Human_05,CharacterSelect.Icon_Class_Human_05,752000000009,100000,100,1636,,,2230,11251,11252,11253,20251,,LIB_PreviewCharacter_Human_Human_M21
10,2,Human_M22,751000000010,0,Human,10,4,31,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Human_06,CharacterSelect.Icon_Class_Human_06,752000000010,100000,100,1626,,,2230,11261,11262,21261,20261,,LIB_PreviewCharacter_Human_Human_M22
