Id,Difficulty,NpcHpRate,ClearRank,RankRewardItemID1,RankRewardItemCount1,RankRewardItemID2,RankRewardItemCount2,RankRewardItemID3,RankRewardItemCount3
1,Easy,30,C,490066,1,,,,
2,Easy,50,B,490066,2,,,,
3,Easy,65,A,490066,3,,,,
4,Easy,75,S,490066,4,,,,
5,Easy,95,SS,490066,5,,,,
6,Easy,100,SSS,490066,1,,,,
7,Normal,30,C,490066,1,,,,
8,Normal,50,B,490066,2,,,,
9,Normal,65,A,490066,3,,,,
10,Normal,75,S,490066,4,,,,
11,Normal,95,SS,490066,5,,,,
12,Normal,100,SSS,490066,1,,,,
13,Hard,30,C,490066,1,,,,
14,Hard,50,B,490066,2,,,,
15,Hard,65,A,490066,3,,,,
16,Hard,75,S,490066,4,,,,
17,Hard,95,SS,490066,5,,,,
18,Hard,100,SSS,490066,1,,,,
19,Hell,30,C,490066,1,,,,
20,Hell,50,B,490066,2,,,,
21,Hell,65,A,490066,3,,,,
22,Hell,75,S,490066,4,,,,
23,Hell,95,SS,490066,5,,,,
24,Hell,100,SSS,490066,1,,,,
