Id,MainCoreId,NameKey,OrderNumber,Image,CostItemType,Cost,EffectType1,EffectParam1,EffectType2,EffectParam2,EffectType3,EffectParam3,EffectType4,EffectParam4
1,500,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
2,500,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
3,501,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
4,501,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
5,502,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
6,502,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
7,502,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
11,600,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
12,600,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
13,601,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
14,601,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
15,602,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
16,602,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
17,602,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
21,700,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
22,700,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
23,701,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
24,701,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
25,702,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
26,702,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
27,702,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
31,800,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
32,800,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
33,801,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
34,801,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
35,802,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
36,802,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
