Id,TitleNameKey,TitleNameColor,GainDetialCondition,TitleBackgroundPath,TitleIconPath
1001,211000001001,B455D2FF,1,CharacterTitle/UI_CharacterTitle05_Frame_CastleGuardian,CharacterTitle/UI_CharacterTitle05_Icon_CastleRuler_Gludior
1002,211000001002,B455D2FF,2,CharacterTitle/UI_CharacterTitle05_Frame_CastleGuardian,CharacterTitle/UI_CharacterTitle05_Icon_CastleRuler_Dion
1003,211000001003,B455D2FF,3,CharacterTitle/UI_CharacterTitle05_Frame_CastleGuardian,CharacterTitle/UI_CharacterTitle05_Icon_CastleRuler_Dion
1004,211000001004,B455D2FF,4,CharacterTitle/UI_CharacterTitle05_Frame_CastleGuardian,CharacterTitle/UI_CharacterTitle05_Icon_CastleRuler_Dion
2001,211000002001,FFD74BFF,1001,CharacterTitle/UI_CharacterTitle05_Frame_CastleGuardian,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2002,211000002002,FFD74BFF,1002,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2003,211000002003,FFD74BFF,1003,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2004,211000002004,FFD74BFF,1004,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2005,211000002005,FFD74BFF,2001,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2006,211000002006,FFD74BFF,2002,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2007,211000002007,FFD74BFF,2003,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2008,211000002008,FFD74BFF,2004,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2009,211000002009,FFD74BFF,3001,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2010,211000002010,FFD74BFF,3002,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2011,211000002011,FFD74BFF,3003,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2012,211000002012,FFD74BFF,3004,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2013,211000002013,FFD74BFF,3005,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2014,211000002014,FFD74BFF,4001,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2015,211000002015,FFD74BFF,4002,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2016,211000002016,FFD74BFF,4003,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2017,211000002017,FFD74BFF,5001,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2018,211000002018,FFD74BFF,5002,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2019,211000002019,FFD74BFF,5003,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2020,211000002020,FFD74BFF,5004,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2021,211000002021,FFD74BFF,5005,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2022,211000002022,FFD74BFF,5006,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2023,211000002023,FFD74BFF,5007,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
2024,211000002024,FFD74BFF,5008,CharacterTitle/UI_CharacterTitle05_Frame_FortressKing,CharacterTitle/UI_CharacterTitle05_Icon_FortressKing
