Group2,Day,RewardType1,RewardItemInfoId1,RewardCount1,RewardIcon1,RewardType2,RewardItemInfoId2,RewardCount2,RewardIcon2,RewardType3,RewardItemInfoId3,RewardCount3,RewardIcon3
101,1,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02,Adena,,10000,Icon_Box_Adena_03
101,2,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02,Adena,,10000,Icon_Box_Adena_03
101,3,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02,Adena,,10000,Icon_Box_Adena_03
101,4,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02,Adena,,10000,Icon_Box_Adena_03
101,5,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02,Adena,,10000,Icon_Box_Adena_03
101,6,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02,Adena,,10000,Icon_Box_Adena_03
101,7,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02,Adena,,10000,Icon_Box_Adena_03
101,8,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02,Adena,,10000,Icon_Box_Adena_03
101,9,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02,Adena,,10000,Icon_Box_Adena_03
101,10,Item,490090,3,Icon_DailyDungeonSweepTicket,Item,10900006,1,Icon_Shop_Gacha_Weapon_01,Item,10900007,1,Icon_Shop_Gacha_Armor_01
111,1,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02,,,,
111,2,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02,,,,
111,3,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02,,,,
111,4,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02,,,,
111,5,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02,,,,
111,6,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02,,,,
111,7,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02,,,,
111,8,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02,,,,
111,9,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02,,,,
111,10,Item,490090,3,Icon_DailyDungeonSweepTicket,Item,911056,1,Icon_GachaItem_WeaponSR,,,,
121,1,Item,490090,3,Icon_DailyDungeonSweepTicket,,,,,,,,
121,2,Item,490090,3,Icon_DailyDungeonSweepTicket,,,,,,,,
121,3,Item,490090,3,Icon_DailyDungeonSweepTicket,,,,,,,,
121,4,Item,490090,3,Icon_DailyDungeonSweepTicket,,,,,,,,
121,5,Item,490090,3,Icon_DailyDungeonSweepTicket,,,,,,,,
121,6,Item,490090,3,Icon_DailyDungeonSweepTicket,,,,,,,,
121,7,Item,490090,3,Icon_DailyDungeonSweepTicket,,,,,,,,
121,8,Item,490090,3,Icon_DailyDungeonSweepTicket,,,,,,,,
121,9,Item,490090,3,Icon_DailyDungeonSweepTicket,,,,,,,,
121,10,Item,490090,3,Icon_DailyDungeonSweepTicket,,,,,,,,
102,1,FreeDiamond,,100,Icon_Asset_Diamond_02,,,,,,,,
102,2,FreeDiamond,,100,Icon_Asset_Diamond_02,,,,,,,,
102,3,FreeDiamond,,100,Icon_Asset_Diamond_02,,,,,,,,
102,4,FreeDiamond,,100,Icon_Asset_Diamond_02,,,,,,,,
102,5,FreeDiamond,,100,Icon_Asset_Diamond_02,,,,,,,,
102,6,FreeDiamond,,100,Icon_Asset_Diamond_02,,,,,,,,
102,7,FreeDiamond,,100,Icon_Asset_Diamond_02,,,,,,,,
102,8,FreeDiamond,,100,Icon_Asset_Diamond_02,,,,,,,,
102,9,FreeDiamond,,100,Icon_Asset_Diamond_02,,,,,,,,
102,10,FreeDiamond,,100,Icon_Asset_Diamond_02,,,,,,,,
103,1,Adena,,10000,Icon_Box_Adena_03,,,,,,,,
103,2,Adena,,10000,Icon_Box_Adena_03,,,,,,,,
103,3,Adena,,10000,Icon_Box_Adena_03,,,,,,,,
103,4,Adena,,10000,Icon_Box_Adena_03,,,,,,,,
103,5,Adena,,10000,Icon_Box_Adena_03,,,,,,,,
103,6,Adena,,10000,Icon_Box_Adena_03,,,,,,,,
103,7,Adena,,10000,Icon_Box_Adena_03,,,,,,,,
103,8,Adena,,10000,Icon_Box_Adena_03,,,,,,,,
103,9,Adena,,10000,Icon_Box_Adena_03,,,,,,,,
103,10,Adena,,10000,Icon_Box_Adena_03,,,,,,,,
201,1,Item,490090,3,Icon_DailyDungeonSweepTicket,FreeDiamond,,100,Icon_Asset_Diamond_02,Adena,,10000,Icon_Box_Adena_03
