Id,ActNo,ChapterNo,ActImg,ActNameKey,ChapterNameKey,RewardExp,RewardAdena,RewardParam1,RewardCount1,RewardParam2,RewardCount2,RewardParam3,RewardCount3
1,1,1,UI_Map_QuestProgress_01,391000000001,392000000001,300,400,911102,1,480002,1,440011,7
2,1,2,UI_Map_QuestProgress_01,391000000001,392000000002,350,500,911103,1,480002,1,440011,10
3,1,3,UI_Map_QuestProgress_01,391000000001,392000000003,400,600,911103,1,480001,1,400001,50
4,1,4,UI_Map_QuestProgress_01,391000000001,392000000004,500,600,440011,3,480002,1,400001,50
5,1,5,UI_Map_QuestProgress_01,391000000001,392000000005,600,700,490011,1,911122,1,400001,50
6,1,6,UI_Map_QuestProgress_01,391000000001,392000000006,700,700,440011,5,480002,1,400001,50
7,1,7,UI_Map_QuestProgress_01,391000000001,392000000007,800,800,911103,1,480002,1,400001,50
8,1,8,UI_Map_QuestProgress_01,391000000001,392000000008,900,800,440011,5,911124,1,400001,50
9,1,9,UI_Map_QuestProgress_01,391000000001,392000000009,1000,900,490005,30,480002,1,400001,50
10,1,10,UI_Map_QuestProgress_01,391000000001,392000000010,1200,900,400002,30,480002,1,400001,50
11,1,11,UI_Map_QuestProgress_01,391000000001,392000000011,1400,1000,911122,1,480003,1,400001,50
12,2,1,UI_Map_QuestProgress_02,391000000002,392000000012,1800,1000,911103,1,480002,1,400001,70
13,2,2,UI_Map_QuestProgress_02,391000000002,392000000013,2200,1100,911103,1,480002,1,400001,70
14,2,3,UI_Map_QuestProgress_02,391000000002,392000000014,2600,1200,910006,1,480001,1,400001,70
15,2,4,UI_Map_QuestProgress_02,391000000002,392000000015,3400,1200,490011,1,480002,1,400001,70
16,2,5,UI_Map_QuestProgress_02,391000000002,392000000016,4000,1200,911103,1,480002,1,400001,70
17,2,6,UI_Map_QuestProgress_02,391000000002,392000000017,4800,1300,910201,1,480001,1,400001,70
18,2,7,UI_Map_QuestProgress_02,391000000002,392000000018,6000,1400,910201,1,911125,1,400001,70
19,3,1,UI_Map_QuestProgress_03,391000000003,392000000019,7200,1400,410002,1,480005,1,400001,70
20,3,2,UI_Map_QuestProgress_03,391000000003,392000000020,8500,1400,460008,1,480005,1,400001,70
21,3,3,UI_Map_QuestProgress_03,391000000003,392000000021,10000,1600,490011,1,480004,1,400001,70
22,3,4,UI_Map_QuestProgress_03,391000000003,392000000022,12500,1800,900012,1,480005,1,400001,70
23,3,5,UI_Map_QuestProgress_03,391000000003,392000000023,15000,2000,500302,2,480005,1,400001,70
24,3,6,UI_Map_QuestProgress_03,391000000003,392000000024,18600,2000,410001,1,480006,1,400001,70
25,3,7,UI_Map_QuestProgress_03,391000000003,392000000025,23000,2100,460008,1,480005,1,400001,70
26,3,8,UI_Map_QuestProgress_03,391000000003,392000000026,26000,2200,500302,2,480005,1,400001,70
27,3,9,UI_Map_QuestProgress_03,391000000003,392000000027,29700,2200,460008,1,480004,1,400001,70
28,3,10,UI_Map_QuestProgress_03,391000000003,392000000028,32000,2300,500302,2,911126,1,400001,70
29,4,1,UI_Map_QuestProgress_04,391000000004,392000000029,35000,2400,910008,1,480005,1,400001,90
30,4,2,UI_Map_QuestProgress_04,391000000004,392000000030,38900,2400,460008,1,480005,1,400001,90
31,4,3,UI_Map_QuestProgress_04,391000000004,392000000031,38900,2600,910202,1,480004,1,400001,90
32,4,4,UI_Map_QuestProgress_04,391000000004,392000000032,38900,2900,500402,2,480005,1,400001,90
33,4,5,UI_Map_QuestProgress_04,391000000004,392000000033,38900,3000,910202,1,480005,1,400001,90
34,4,6,UI_Map_QuestProgress_04,391000000004,392000000034,38900,3100,460008,1,480006,1,400001,90
35,4,7,UI_Map_QuestProgress_04,391000000004,392000000035,38900,3600,500402,2,480005,1,400001,90
36,4,8,UI_Map_QuestProgress_04,391000000004,392000000036,38900,3900,460008,1,480005,1,400001,90
37,4,9,UI_Map_QuestProgress_04,391000000004,392000000037,38900,4000,410003,1,480006,1,400001,90
38,4,10,UI_Map_QuestProgress_04,391000000004,392000000038,38900,4100,500402,2,911127,1,400001,90
39,5,1,UI_Map_QuestProgress_05,391000000005,392000000039,40200,4100,460008,1,480005,1,400001,90
40,5,2,UI_Map_QuestProgress_05,391000000005,392000000040,40200,4100,500502,2,480005,1,400001,90
