Id,Difficulty,Score,ClearRank,RankRewardItemID1,RankRewardItemCount1,RankRewardItemID2,RankRewardItemCount2,RankRewardItemID3,RankRewardItemCount3
1,Easy,0,C,900025,4,,,,
2,Easy,10001,B,900025,6,,,,
3,Easy,20001,A,900025,8,,,,
4,Easy,30001,S,900025,10,,,,
5,Easy,40001,SS,900025,12,911024,10,,
6,Easy,50001,SSS,900025,14,911024,20,,
7,Normal,0,C,900025,10,,,,
8,Normal,10001,B,900025,12,,,,
9,Normal,20001,A,900025,14,,,,
10,Normal,30001,S,900025,16,,,,
11,Normal,40001,SS,900025,18,911024,20,,
12,Normal,50001,SSS,900025,20,911024,30,,
13,Hard,0,C,900025,14,,,,
14,Hard,10001,B,900025,16,,,,
15,Hard,20001,A,900025,18,,,,
16,Hard,30001,S,900025,20,,,,
17,Hard,40001,SS,900025,22,911024,30,,
18,Hard,50001,SSS,900025,24,911024,40,,
19,Hell,0,C,911024,52,,,,
20,Hell,10001,B,911024,56,,,,
21,Hell,20001,A,911024,60,,,,
22,Hell,30001,S,911024,64,,,,
23,Hell,40001,SS,911024,68,911024,40,,
24,Hell,50001,SSS,911024,72,911024,60,,
25,Difficulty5,,C,911024,60,,,,
26,Difficulty5,10001,B,911024,64,,,,
27,Difficulty5,20001,A,911024,68,,,,
28,Difficulty5,30001,S,911024,72,,,,
29,Difficulty5,40001,SS,911024,78,911024,60,,
30,Difficulty5,50001,SSS,911024,80,911024,80,,
31,Difficulty6,0,C,911024,100,,,,
32,Difficulty6,10001,B,911024,106,,,,
33,Difficulty6,20001,A,911024,114,,,,
34,Difficulty6,30001,S,911024,120,,,,
35,Difficulty6,40001,SS,911024,130,911024,80,,
36,Difficulty6,50001,SSS,911024,132,911024,100,,
