GroupID,RewardType,RewardItemInfoId,RewardCount,RewardIcon
5,Item,500401,3,Icon_QuestScroll_S
5,Item,911200,1,Icon_Box_BossReward
5,Item,910256,1,Icon_Box_SP_03
5,Item,490020,1,Icon_Box_Rune_02
5,Item,910255,1,Icon_Shop_Gacha_Armor_01
6,Item,500401,3,Icon_QuestScroll_S
6,Item,911200,1,Icon_Box_BossReward
6,Item,910256,1,Icon_Box_SP_03
6,Item,490020,1,Icon_Box_Rune_02
6,Item,910255,1,Icon_Shop_Gacha_Armor_01
7,Item,500401,3,Icon_QuestScroll_S
7,Item,911200,1,Icon_Box_BossReward
7,Item,910256,1,Icon_Box_SP_03
7,Item,490020,1,Icon_Box_Rune_02
7,Item,910255,1,Icon_Shop_Gacha_Armor_01
8,Item,500401,3,Icon_QuestScroll_S
8,Item,911200,1,Icon_Box_BossReward
8,Item,910256,1,Icon_Box_SP_03
8,Item,490020,1,Icon_Box_Rune_02
8,Item,910255,1,Icon_Shop_Gacha_Armor_01
9,Item,500401,3,Icon_QuestScroll_S
9,Item,911200,1,Icon_Box_BossReward
9,Item,910256,1,Icon_Box_SP_03
9,Item,490020,1,Icon_Box_Rune_02
9,Item,910255,1,Icon_Shop_Gacha_Armor_01
10,Item,500401,3,Icon_QuestScroll_S
10,Item,911200,1,Icon_Box_BossReward
10,Item,910256,1,Icon_Box_SP_03
10,Item,490020,1,Icon_Box_Rune_02
10,Item,910255,1,Icon_Shop_Gacha_Armor_01
35,Item,500401,3,Icon_QuestScroll_S
35,Item,911200,1,Icon_Box_BossReward
35,Item,910256,1,Icon_Box_SP_03
35,Item,490020,1,Icon_Box_Rune_02
35,Item,910255,1,Icon_Shop_Gacha_Armor_01
36,Item,500401,3,Icon_QuestScroll_S
36,Item,911200,1,Icon_Box_BossReward
36,Item,910256,1,Icon_Box_SP_03
36,Item,490020,1,Icon_Box_Rune_02
36,Item,910255,1,Icon_Shop_Gacha_Armor_01
37,Item,500401,3,Icon_QuestScroll_S
37,Item,911200,1,Icon_Box_BossReward
37,Item,910256,1,Icon_Box_SP_03
37,Item,490020,1,Icon_Box_Rune_02
37,Item,910255,1,Icon_Shop_Gacha_Armor_01
38,Item,500401,3,Icon_QuestScroll_S
38,Item,911200,1,Icon_Box_BossReward
38,Item,910256,1,Icon_Box_SP_03
38,Item,490020,1,Icon_Box_Rune_02
38,Item,910255,1,Icon_Shop_Gacha_Armor_01
39,Item,500401,3,Icon_QuestScroll_S
39,Item,911200,1,Icon_Box_BossReward
39,Item,910256,1,Icon_Box_SP_03
39,Item,490020,1,Icon_Box_Rune_02
39,Item,910255,1,Icon_Shop_Gacha_Armor_01
40,Item,500401,3,Icon_QuestScroll_S
40,Item,911200,1,Icon_Box_BossReward
40,Item,910256,1,Icon_Box_SP_03
40,Item,490020,1,Icon_Box_Rune_02
40,Item,910255,1,Icon_Shop_Gacha_Armor_01
65,Item,500401,3,Icon_QuestScroll_S
65,Item,911200,1,Icon_Box_BossReward
65,Item,910256,1,Icon_Box_SP_03
65,Item,490020,1,Icon_Box_Rune_02
65,Item,910255,1,Icon_Shop_Gacha_Armor_01
66,Item,500401,3,Icon_QuestScroll_S
66,Item,911200,1,Icon_Box_BossReward
66,Item,910256,1,Icon_Box_SP_03
66,Item,490020,1,Icon_Box_Rune_02
66,Item,910255,1,Icon_Shop_Gacha_Armor_01
67,Item,500401,3,Icon_QuestScroll_S
67,Item,911200,1,Icon_Box_BossReward
67,Item,910256,1,Icon_Box_SP_03
