Id,Type,Priority,FormatKey1,FormatKey2,FormatKey3,FormatKey4,IsAllScenePrint
1,First_CharacterLevelUp,1,BROADCAST_CHARACTER_LEVELUP,,BROADCAST_CHARACTER_LEVELUP_GUILD,,1
2,First_InfinityFloorClear,1,BROADCAST_INFINITYFLOOR_CLEAR,,BROADCAST_INFINITYFLOOR_CLEAR_GUILD,,1
3,Acquire_GachaItemGrade,1,BROADCAST_ACQUIRE_ITEMGRADE,BROADCAST_ACQUIRE_ITEMGRADE_MONSTER,BROADCAST_ACQUIRE_ITEMGRADE_GUILD,BROADCAST_ACQUIRE_ITEMGRADE_MONSTER_GUILD,1
4,Acquire_ItemGrade,1,BROADCAST_ACQUIRE_ITEMGRADE,BROADCAST_ACQUIRE_ITEMGRADE_MONSTER,BROADCAST_ACQUIRE_ITEMGRADE_GUILD,BROADCAST_ACQUIRE_ITEMGRADE_MONSTER_GUILD,1
5,If_ItemEnchantSuccess,1,BROADCAST_ITEM_ENCHANT_SUCCESS,,BROADCAST_ITEM_ENCHANT_SUCCESS_GUILD,,1
6,If_ItemEnchantFail,1,BROADCAST_ITEM_ENCHANT_FAIL,,BROADCAST_ITEM_ENCHANT_FAIL_GUILD,,1
7,If_ItemLimitBreakCount,1,BROADCAST_ITEM_LIMITBREAK_COUNT,,BROADCAST_ITEM_LIMITBREAK_COUNT_GUILD,,1
8,If_AchievementLevel,1,BROADCAST_ACHIEVEMENT_LEVEL,,BROADCAST_ACHIEVEMENT_LEVEL_GUILD,,1
9,If_PvpHonorRank,1,BROADCAST_PVP_HONOR_RANK,,BROADCAST_PVP_HONOR_RANK_GUILD,,1
10,If_PvpWinRank,1,BROADCAST_PVP_WIN_RANK,,BROADCAST_PVP_WIN_RANK_GUILD,,1
11,If_ShopRewardDailyCharge,1,BROADCAST_SHOPREWARD_DAILYCHARGE,,BROADCAST_SHOPREWARD_DAILYCHARGE_GUILD,,1
12,If_ShopRewardDailyConsume,1,BROADCAST_SHOPREWARD_DAILYCONSUME,,BROADCAST_SHOPREWARD_DAILYCONSUME_GUILD,,1
13,If_ClassTransfer,1,BROADCAST_CLASS_TRANSFER,,BROADCAST_CLASS_TRANSFER_GUILD,,0
14,First_GuildLevelUp,1,BROADCAST_FIRST_GUILD_LEVELUP,,,,1
15,If_CastleSiegeAttackWin,5,BROADCAST_CASTLESIEGE_ATTACK_WIN,,,,1
16,If_CastleSiegeDefenceWin,5,BROADCAST_CASTLESIEGE_DEFENCE_WIN,,,,1
17,End_BattlefieldOfHonorSeason,5,BROADCAST_BATTLEFIELD_RANK_WIN,,BROADCAST_BATTLEFIELD_RANK_WIN_GUILD,,1
18,End_BattlefieldOfBraveSeason,5,BROADCAST_BATTLEFIELD_RANK_WIN,,BROADCAST_BATTLEFIELD_RANK_WIN_GUILD,,1
19,BattlefieldTime_BeforeStart,5,BROADCAST_BATTLEFIELD_BEFORE_START,,,,1
20,BattlefieldTime_Start,5,BROADCAST_BATTLEFIELD_START,,,,1
21,BattlefieldTime_EndRank,5,BROADCAST_BATTLEFIELD_DAILY_END_RANK,,BROADCAST_BATTLEFIELD_DAILY_END_RANK_GUILD,,1
