Server,Name
th,Effervesce
th,REVO
th,SoLmAtE
th,Revolution
th,Impossible
th,Muramasa
th,THEKillER
th,Zeus
th,TheGuardians
th,HUNGERS
th,HarmoNious
th,GJALLARHORN
th,LEGENDS
th,Azazel
th,iNDyTHAi
th,MonsieurTH
th,SWAT
th,STOS
th,EMPEROR
th,IEGa
th,AzazelBaBy
th,NIRVANA
th,GENESIS
th,DarkPower
th,FATG
th,Sakura
th,TheGangTH
th,จอกศักดิ์สิทธิ์
th,EQUALIZE
th,Guillotine
th,GuSaiHa
th,l3lackl3ird
th,สยามยุทธ
th,BangYai
th,NemesiS
th,TheBigBlack
th,Empire
th,DarkArden
th,Pendragon
th,Elysian
tw,朝偉家族
th,Ethereal
tw,西瓜大哇哩泥鰍肥
tw,血盟的名稱如果越長表示血盟越厲害
en,REVOLUTION
tw,絕之領域
tw,嗜血梅杜莎
tw,不受控制
tw,花都殿堂
tw,十二奧丁
tw,末日戰狼
tw,武道天魂
tw,一居酒屋一
tw,NoBLe
tw,神話不敗
tw,EternalWing
tw,湛藍星空
tw,與世無爭
tw,乂王者乂
en,Mystic
tw,LMO羅貓窩
th,MaFiaBoy
th,LennoX
th,IKONIKONIC
tw,永恆聖域
tw,TYS硬漢幫
tw,尋風追憶
th,Magicshadow
tw,歃血盟約
th,Legend
tw,保護傘無限公司
tw,醉心神居
tw,NeverLand
en,IndoArmy
tw,永恆連盟
tw,聖域騎士團
tw,秋之境地
tw,三千世界
en,Niflheim
tw,不良集團
tw,恭喜發財
tw,創世神域
tw,MVP俱樂部
tw,血染的風采
tw,小熊餅乾
tw,金門防衛司令部
tw,草帽海賊團
tw,湛藍海域
tw,榮耀傳說
tw,雄霸天下
tw,盧恩聖殿
tw,拉菲爾之淚
tw,不滅皇朝
tw,玩命再現
th,Bigboss
tw,上帝禁區
tw,絕色鋒芒
th,CRITICALTH
tw,月萌之淚
tw,月之國度
tw,酒空會館
tw,玖肆捌柒玖肆團
tw,Revolution
th,THEoEND
tw,破刃之劍
tw,宇宙聯盟
tw,九天回音
tw,LOGHORIZON
th,ReCyCle
th,DayBreaks
th,Angel
tw,我叫MT
tw,醉生夢死
tw,雲蹤仙境
tw,童話世界
tw,遊戲人生
tw,緋色星空
tw,銀色黎明ㄧ破曉
tw,一凌雲閣一
tw,路人天團
tw,轉角遇到萌
tw,女王我最大
tw,闇十字軍團
tw,未來昔日
tw,諸神黃昏
tw,天下布武丶天機
tw,移動殮房
tw,傑尼斯聯盟
th,UnD0
th,รถธังฝั่งธน
th,OLYMPUS
